COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3001 
 NOMBRE    : AEROPUERTO VIEJO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 24.15 ° 
 LONGITUD  : -110.2833333 ° 
 ALTITUD   : 20 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	9	0	0	0	2.6	0	23	60	10		74	20	198.6	18.1	11
1973	17	9.8	0	0	0	0	67	19	47.5	0	0	0	160.3	13.4	12
1974	1	0	0	0	0	0	12	16.6	10.5	25.4	40.2	10.5	116.2	9.7	12
1975	12.5	8.8	0	0	0	0	5	16	14.7	0.6	0	0	57.6	4.8	12
1976		0	0	0	0.7	0	0	0.5	85.5	29	0	0	115.7	10.5	11
1977	0	0	0	0	0	0	0	26.2	4.7	0	0		30.9	2.8	11
1978	0	4	1.3	0	0	0	4	33	27				69.3	7.7	9
1982												15	15	15	1
MÍNIMA	0	0	0	0	0	0	0	0.5	4.7	0	0	0	15	2.8	1
MÁXIMA	17	9.8	1.3	0	2.6	0	67	60	85.5	29	74	20	198.6	18.1	12
MEDIA	6.6	3.2	0.2	0	0.5	0	15.9	24.5	28.6	11	19	7.6	95.4	10.2	9.9
DESV.ST	7.3	4.4	0.5	0	1	0	24	18.6	29	14.8	31.4	8.8	63.7	5.2	3.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	11	0	0	0	2.6	0	55	108.5	27		74	24.6	302.7	27.5	11
1973	20	20.4	0	0	0	0	76	30	52.5	0	0	0	198.9	16.6	12
1974	1	0	0	0	0	0	20.1	19.8	21.5	25.4	61.6	22	171.4	14.3	12
1975	25.4	8.8	0	0	0	0	5	44.2	30.2	0.6	0	0	114.2	9.5	12
1976		0	0	0	0.7	0	0	0.5	217.7	48.4	0	0	267.3	24.3	11
1977	0	0	0	0	0	0	0	30.2	4.7	0	0		34.9	3.2	11
1978	0	4	1.3	0	0	0	8	50.4	51.3				115	12.8	9
1982												25.5	25.5	25.5	1
MÍNIMA	0	0	0	0	0	0	0	0.5	4.7	0	0	0	25.5	3.2	1
MÁXIMA	25.4	20.4	1.3	0	2.6	0	76	108.5	217.7	48.4	74	25.5	302.7	27.5	12
MEDIA	9.6	4.7	0.2	0	0.5	0	23.4	40.5	57.8	14.9	22.6	12	153.7	16.7	9.9
DESV.ST	11.1	7.7	0.5	0	1	0	30.1	34.1	72.4	21.7	35.2	13.2	100.8	8.5	3.7

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	126.4	149.3	229	261.7	267.3	300.4	311.5	205.3	215.2		51.8	98.6	2216.5	201.5	11
1973	22.3	127.8	181.5	245.3	298	315.7	319.2	274.6	224.9	19.4	168.9	139.9	2337.5	194.8	12
1974	135.5	176	228.3	295.4	314.5	337.1	280.9	308.1	204.7	217.3	113.4	102.7	2713.9	226.2	12
1975	118.1	131.7	179.8	182.8	292.9	310.3	287.3	274.2	217	206	80.9		2281	207.4	11
1976		162.1	220.2	224	290.9	300.8	325.1	269.6	204	120.6	76	74.2	2267.5	206.1	11
1977	87	151.1	192.2	237.4	272.2	332.6	334.4	253.4	287.2	221.8	158.4		2527.7	229.8	11
1978	137.8	146	225.6	269.5	307.7	355.1	337.9	312	219.5				2311.1	256.8	9
MÍNIMA	22.3	127.8	179.8	182.8	267.3	300.4	280.9	205.3	204	19.4	51.8	74.2	2216.5	194.8	9
MÁXIMA	137.8	176	229	295.4	314.5	355.1	337.9	312	287.2	221.8	168.9	139.9	2713.9	256.8	12
MEDIA	104.5	149.1	208.1	245.2	291.9	321.7	313.8	271	224.6	157	108.2	103.8	2379.3	217.5	11
DESV.ST	44.3	16.6	22.6	36	17.3	20.5	22.2	35.8	28.6	87.3	47.3	27.1	177.5	21.5	1

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	23.5	26.2	30.4	32.3	33.9	34.2	36.9	34.9	35.9		26.5	24.8		30.9	11
1973	23.2	24.6	26.1	30	34.4	35.3	38	37.1	36.1	34.3	30.1	26.1		31.3	12
1974	24.8	26.5	29.1	33.7	34.5	37.7	36.5	38.3	35.4	34.2	27.8	23.2		31.8	12
1975	24	24.2	28.4	29.8	33.8	36.5	37.3	37.7	35.7	34.1	29.4	25.3		31.4	12
1976		27.5	27.8	29.8	34.3	38.2	38.6	38.3	34.9	31.2	27.9	25.3		32.2	11
