COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3002 
 NOMBRE    : BAHIA TORTUGAS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.68888889 ° 
 LONGITUD  : -114.8972222 ° 
 ALTITUD   : 15 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	0.01	0	0	0	0	0	0	0	12	13	0	30	55.01	4.6	12
1962	155	22.5	0	0	0	0	0	0	23	0	0	4	204.5	17	12
1963	12	1	0	0	0	0	0	0	0	0	20	0	33	2.8	12
1964	0	0	0	0	0	0	25	0	0	0	7.7	0	32.7	2.7	12
1965	9.3	2	4.7	0	0	0	0	0	3	0	0.01	40	59.01	4.9	12
1966	1	0.4	0	0	0	0	0	0	0.5	0			1.9	0.2	10
1967											0	0.3	0.3	0.1	2
1968	0	0.5	0.6	0	0	0		0	0	0	0	0.5	1.6	0.1	11
1969		15	0			0	0	0	0		20	0	35	4.4	8
1970	0	2	0	6	0	0	0	0	3.5		3	2.5	17	1.5	11
1971	0	0	0	0	0	0	0	0	9	5	0	0	14	1.2	12
1972	0	0	0	0	2	0	0	16	0	33	5	1	57	4.8	12
1973	2	20	4.5	0	20.5	0	0	0	0	0	0	0	47	3.9	12
1974	32	0	0	0	0	2	0	0	0	0	0	0	34	2.8	12
1975	0	0	3	3	0	0	0	0	0		0	0	6	0.5	11
1976	0	7	1	1.5	0	0	0	0	70	0	1.5	33	114	9.5	12
1977	7.5	0	2	0	2	0	0	16	0	98	0	0	125.5	10.5	12
