COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3003 
 NOMBRE    : BOCA DEL SALADO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.28861111 ° 
 LONGITUD  : -109.4377778 ° 
 ALTITUD   : 20 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1957							6	0.01	14	13	0	13	46.01	7.7	6
1958	6.5	0.01	3.5	0	0.01	1	39	1	56	59	9	10	185.02	15.4	12
1959	35	5.5	0	0	0	0.01	0.01	77	106	16.5	0	160.5	400.52	33.4	12
1960	50.5	0.01	0	0	0	0	12.5	42.5	43.5	63	0.01	2	214.02	17.8	12
1961	54.5	0	0	0	0	0.01	0.01	7	0.01	1	0.01	18	80.54	6.7	12
1962	0	0	0	0	0	0	0.01	29.5	82.5	37	0.01	5	154.02	12.8	12
1963	1	0	0	0	0	0	5.5	33	32	25.5		16	113	10.3	11
1964	0	0	0	0	0	15	9	24	101	143.5	0	0	292.5	24.4	12
1965	0	4	0	0	0	0	0	28.5	47	0	0	19.5	99	8.2	12
1966	6.5	0	0	0	0	0	19	8.5	22.5	0	0	7	63.5	5.3	12
1967	0	0	0	0	0	0	0	88.5	14	24.5	0	6	133	11.1	12
1968	40		0	0	0	0	0	12	29	3	0		84	8.4	10
1969		0				0	3	16	0		0	17	36	5.1	7
1970		4	0	0	0	0	17	10.5	38	0	39	0	108.5	9.9	11
1971	2	0	0	0	0	0	0	47	25	31	0	12	117	9.8	12
1972	10	0	0	0	41	0	0	77.5	0	81	0	27.5	237	19.8	12
1973	4	38	0	0	0	0	0	0	36	16	0	0	94	7.8	12
1974	0	0	0	0	0	0	19	15	4	0	292	13	343	28.6	12
1975	0	11	0	0	0	0	0	4	20	1	0	0	36	3	12
1976	0	0	0	0	0	0	0	23	106	18.5	21.5	8	177	14.8	12
1977	4.5	0	0	0	0	0	2	40	0	123	0	0	169.5	14.1	12
1978	0	0	0	0	0	0	10	0	85.5	22	0	0	117.5	9.8	12
1979	30.5	2.5	0	0	0	0	5	0	66.5	0	0	14	118.5	9.9	12
1980	0	0	0	0	0	0	3	0	7.5	17.5	0	0	28	2.3	12
1981	30.5	0	1	0	0	0	4.5	56.5	155	80	0	0	327.5	27.3	12
1982	0	0	0	1	0	0	7	4.5	138	0	2	60.5	213	17.8	12
1983	0	0	2	0	0	0	11	45.5	17	71.5	6	5.5	158.5	13.2	12
1984	32	0	0	0	0	0	17	17.5	20	0	5.5	42	134	11.2	12
1985	36	0	0	0	0	0	16.5	22	42	124	0.01	0	240.51	20	12
1986	0	3	0	9	0	0	8	16	34	55.5	0	0.01	125.51	10.5	12
1987	0	10	0	2	0.01	0	12.5	18.5	8.5	40	17	8	116.51	9.7	12
1988	0	0	0	0	0	0	3	3.5	2	0	0		8.5	0.8	11
1989	22	8	0	0	0	0	30	91	12		28	50.5	241.5	22	11
