COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3008 
 NOMBRE    : COMONDU 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.05833333 ° 
 LONGITUD  : -111.825 ° 
 ALTITUD   : 300 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1934											0.01	28	28.01	14	2
1935	4.5	11.5	0	0									16	4	4
1936		0	0	0	0	0	0	0	0	0	4.5	0	4.5	0.4	11
1937	0	0	0	0	0	0	0.01	19	2	3	0	0.01	24.02	2	12
1938	3	0	0	0	0	0	6.5	16.3	82.5	0	0	0	108.3	9	12
1939	5	4	0	0	0	0	4.3	9	27.3	9	8.5	0	67.1	5.6	12
1940	0	9	7.5	0	0	0	9.9	38	27	10	0	18	119.4	9.9	12
1941	0.01	9.5	0	0	0	0	1.5	0	45	0	0	17.8	73.81	6.2	12
1942	0	0.01	0	0	0	0	0	2.5	0	0	0	0.01	2.52	0.2	12
1943	8	0	0	0	0	0	0	12	22	42	0	9.2	93.2	7.8	12
1944	30.2	7	2.7	11.5	0	0	0	27	2	0	15	28.5	123.9	10.3	12
1945	0.8	0	0	0	0	0	5	10	0	20	0	0	35.8	3	12
1946	7	0	0.2	0	0	0	0	45	50	6	0	5	113.2	9.4	12
1947	0	1	9	0	0	0	0	7	14	0	4	0	35	2.9	12
1948	0	0	0	0	0	0.01	12	8	22	0.01	0	52	94.02	7.8	12
1949	20.5	0	0	0	0	0	1	0.01	34	0	0	19.5	75.01	6.3	12
1950	3.4	3.3	0	0	0	0.01	5	0.7	0	0.01	0	0	12.42	1	12
1951	5	0	6.2	0	0	0	0.01	20	0.3	30	0	0.5	62.01	5.2	12
1952	0	0.4	0.9	0	0	0	0.7	10.3	0.5	0.8	0.2	60.6	74.4	6.2	12
1953	0	15	0	0	0	0	5.3	25	9	1	3	16.5	74.8	6.2	12
1954	19.4	0	1.5	0	0	0	20	29	25	6.5	0	5.7	107.1	8.9	12
1955	7	0.01	0	0	0.01	0	5	14	30	37	0.01	0	93.03	7.8	12
1956	7	0	0	0	0	0.01	11	65	14	0	0.01	0.01	97.03	8.1	12
1957	31	0	17	0	0	0	6.3	15.5	18.5	10.5	0	6	104.8	8.7	12
1958	30	10.5	9.8	0.01	0.01	0	0.01	5.5	21.5	54	0	0	131.33	10.9	12
1959	0	0.1	0.01	0	0	3.2	3.5	22	4.4	3	27	3.5	66.71	5.6	12
1960	47	0.01	0.01	0	0	0.01	0.01	42	26.3	1	0.01	48	164.35	13.7	12
1961	35	0	0	0	0	0	28	20	14	5	8	8	118	9.8	12
