COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3009 
 NOMBRE    : EL AGUAJITO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.83888889 ° 
 LONGITUD  : -111.1272222 ° 
 ALTITUD   : 200 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	1	0	0	0	0	0	1.2	2.7	0.3	0	0	0.2	5.4	0.4	12
1962	2	0.3	0	0	0	0	0.4	0.7	5.5	0.3	0	3.2	12.4	1	12
1963	0	0	0	0	0	0	2.1	3.6	5.9	0.7	1.5	0.2	14	1.2	12
1964	0	0	0.2	0	0	0	0.4	2.9	0.3	0.8	0	0.1	4.7	0.4	12
1965	0.1	0.8	0.8	0	0	0	1	2.3	1.2	0.1	0	3.3	9.6	0.8	12
1966	0	0.5	0	0	0	0	0.1	4.7	2.7	0	0	2	10	0.8	12
1967	0	0	0	0	0	0	0	4	2.5	3.1	1.9	1	12.5	1	12
1968	6.5	0.7	1.2	0	0	0	2.9	2.7	0	31	0		45	4.1	11
1969		7	0			0	0	6	19		0	8	40	5	8
1970	0	1	15	1	0	0	5	48	24	2	0	0	96	8	12
1971	0	0	0	0	0	0	0	101.2	40	3	0	7	151.2	12.6	12
1972	5	0	0	0	1	0	11	18	26	62	12	10	145	12.1	12
1973	19	22	1	0		0	31	14	37	0	0	0	124	11.3	11
1974	12	0	0	0	0	0	28	11	6	0	27	7	91	7.6	12
1975	9	0	0	0	0	0	12	5	45	0	0	6	77	6.4	12
1976	0	2	0	0	0	0	0	27	46.5	7	1	6	89.5	7.5	12
1977	2	0	0	0	0	0	3	39	10	30	4	0	88	7.3	12
1978	0	6	0	0	0	0	7	9	77	3	0	37	139	11.6	12
1979	39	8	0	0	12	0	1	8	61	10	0	5	144	12	12
1980	0	31	0	0	0	0	0	25	9	10	0	10	85	7.1	12
1981	41	7	14	0	3	0	9	48	8	6	0	0	136	11.3	12
1982	2	0	0	0	0		34	0	74	0		40	150	15	10
1983	8	3	22	0	0	0	66	100.4	35	1	1		236.4	21.5	11
1984	18	20	0	0	0	10	34	36	72	2	0	40	232	19.3	12
1985	21	0	2	0	0	0	9.5	5	22	42	7	0	108.5	9	12
1986	3	10	0	12	0	0	33	30	146	0	0	4	238	19.8	12
1987	0	4		0	0	0	9	40	31	13	12	1	110	10	11
1988	0	0	0	0	0	0	19	17	15	0	0	20	71	5.9	12
1989	14	40	0	0	0	0	40	20	32	12	13	28	199	16.6	12
1990	0	0	6	0	0	0	22	19	5				52	5.8	9
1991	4	6	0	0	0	0	0	11	11				32	3.6	9
