COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3011 
 NOMBRE    : EL CAJONCITO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.14583333 ° 
 LONGITUD  : -110.2055556 ° 
 ALTITUD   : 200 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964					0	0	12.5	9.5	26	31	0	10.5	89.5	11.2	8
1965	0	5.5	0	0	0	0	9	26.5	11	5	0	26.5	83.5	7	12
1966	3	5.5	0	0	0	0	10	24	51	0	0	32	125.5	10.5	12
1967	0	0	0	0	0	0	20	31	3		0		54	5.4	10
1968	7	34	7	0	0	0	14	1.2	0	0.7	0	0.3	64.2	5.3	12
1969	0	12	0			0	10	17	0		0	46	85	9.4	9
1970	0	0	0	0	0	0	6	0	33	0	3	0	42	3.5	12
1971	0	0	0	0	0	0	1	20	35	7	19	13	95	7.9	12
1972	36	0	0	0	0	0	12	18	4	30	63	12	175	14.6	12
1973	16	21	0	0	0	0	1	14	130	0	0	0	182	15.2	12
1974	0	0	0	0	0	0	13	14	17	19	61	8	132	11	12
1975	17	4	0	0	0	0	7	25	33	11	0	0	97	8.1	12
1976	0	0	0	0	0	0	0	53	180	42	9	7	291	24.2	12
1977	0	0	0	0	0	0	0	35	0	0	0	0	35	2.9	12
1978	0	7.5	3	0	0	0	56	39	40	17	0	3.5	166	13.8	12
1979	14.5	13	0	0	43	0	13.3	8.6	18.5	0	0	0	110.9	9.2	12
1980	0	0	0	0	0	0	5.7	1.6	21	8	0	1	37.3	3.1	12
1981	25	0	18	0	0	0	27	18	29	171	0	0	288	24	12
1982	0	0	0	0	0	0	20	22.1	237.5	0	21.5	39.4	340.5	28.4	12
1983	15	8.2	22.7	0	0	0	13	64.5	30	14	1.8	18	187.2	15.6	12
1984		0	0	0	0	5.5	11.5	61.9	21.5	16.6	0	42.2	159.2	14.5	11
1985	16.9	1.5	0	0	0	0	23	24	19.1	11.5	5.5	0	101.5	8.5	12
1986	0	0	0	3.8	0	0	37	32	13	25.3	0	22	133.1	11.1	12
1987	0	0	0	0	0.01		43	19.8	31.3	18	0	0	112.11	10.2	11
1988	0	0	0.01	0	0	0	0.01	8.8	1	0	0		9.82	0.9	11
1989	37.2	17.2	0	0	0	0	8.5	30	19.5	5	1	28.5	146.9	12.2	12
1990	0	4	0			0	28	29.7	35				96.7	13.8	7
1991	0.01	5	0	0	0	0							5.01	0.8	6
1992		23	12.5	0			5	52.5	11	1	1	0	106	11.8	9
1993	30	5	0	0	0	1	0	9.5	20	0	9.5		75	6.8	11
1994	0	0	0	0	0	0	1	72.5	15	3			91.5	9.2	10
1995	5	0	0	0	0	0	33	35	41	0	0.01	0	114.01	9.5	12
1996	0	0	0	1	0	0	0	68	96	0	8	0	173	14.4	12
1997	21	0	0	0	0	17	4	71.1	21	0	9	17	160.1	13.3	12
1998	0	3	0	0	0	0.01	18	20					41.01	5.1	8
1999	0	0	0	1	0	9.5	10	16	20	0			56.5	5.7	10
2000	0	0	3.5	0	0	1		10.5	11	13	0	0	39	3.5	11
2001	0.01	0	0	0	0	0	45	13	200	24.5	0	0	282.51	23.5	12
2002	3	17	0	0	0	0	0	20	47	0	0	0	87	7.2	12
2003	8	23	0	0	0	0	20	110.6	170	15	0		346.6	31.5	11
2004				0	0	0	25	12.5	33	6.5	0	2.5	79.5	8.8	9
2005	5	37	0	0	0	0	2.4	39.5	26	0	0	0	109.9	9.2	12
2006	5.5	0	0	0	0	0	34.5	83	84	87	0	0	294	24.5	12
2007	14.5	0	0	0	0	0	0	23.5	347.5	0	0	19.5	405	33.8	12
2008	0	0	0	0	0	0	14.5	52	30.5	12.5	0	0	109.5	9.1	12
2009	0	0	0	0	2.5	0	13	94	7.5	32.5	0	0	149.5	12.5	12
2010	6.5	5.5	0	0	0	0	0	6	28.5	0	0	0	46.5	3.9	12
2011	0	0	0	0	0	0	4.5	27.5	10.5	14	20.5	0	77	6.4	12
2012	0	2	0	0	0	5	5.5	34	85	14.5	0	18.5	164.5	13.7	12
2013	0	0	0	0	0	0	2	15	61	22	0	1	101	8.4	12
2014	0	0	0	0	0	0	50	32.5	98	22	0	0	202.5	16.9	12
2015	11.5	5	25.5	1.5	0	0	14.5	25.5	52	55	0.5	0	191	15.9	12
2016	0	0	0	5.5	1	0	9	49.5	83	0	0	0	148	12.3	12
2017	0	10.5	2.5	0	0	0	0	277	25	0	0	0	315	26.2	12
2018	0	2	0	0	0	51	1	16.5	76.6	0	50.5		197.6	18	11
2019	13	0	0	0	0	0	0	36	45	111	70	0	275	22.9	12
2020	0		1	0	0	8	2.5	7	39	6		2.5	66	6.6	10
2021	3	0	0	0	0	0	0	41	126.1	31	0	0	201.1	16.8	12
2022	0	0	0	0	0	0.5	15	27	52	0	0	0	94.5	7.9	12
2023	3	0	0	0	0	0	2.5	37	12	386	0	0	440.5	36.7	12
2024	0.5	3.5	0	0	0								4	0.8	5
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	4	0.8	5
MÁXIMA	37.2	37	25.5	5.5	43	51	56	277	347.5	386	70	46	440.5	36.7	12
MEDIA	5.6	4.7	1.6	0.2	0.8	1.7	12.6	35.3	52	23.4	6.6	7.4	142.4	12.4	11.2
DESV.ST	9.4	8.5	5.2	0.9	5.6	7.2	13.8	39.6	64.6	58	16.5	12.5	98.7	8.1	1.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964					0	0	31.5	18.5	43.5	64.5	0	16.8	174.8	21.9	8
1965	0	5.5	0	0	0	0	9	62	23.5	5	0	82	187	15.6	12
1966	3	8	0	0	0	0	10	66	120	0	0	36	243	20.2	12
1967	0	0	0	0	0	0	26	71	3		0		100	10	10
1968	19	50	16	0	0	0	14.6	2.3	0	0.7	0	0.3	102.9	8.6	12
1969	0	16	0			0	10	17	0		0	46	89	9.9	9
1970	0	0	0	0	0	0	6	0	58	0	3	0	67	5.6	12
1971	0	0	0	0	0	0	1	40	62	24	19	25	171	14.2	12
1972	62	0	0	0	0	0	15	33	4	88	63	25.8	290.8	24.2	12
1973	24	33	0	0	0	0	1	32	130	0	0	0	220	18.3	12
1974	0	0	0	0	0	0	19	25	38	37	85	15	219	18.2	12
1975	32	4	0	0	0	0	8	66	60	11	0	0	181	15.1	12
1976	0	0	0	0	0	0	0	90	344	53	15	8	510	42.5	12
1977	0	0	0	0	0	0	0	59	0	0	0	0	59	4.9	12
1978	0	14.5	3	0	0	0	62	78.5	71	23.2	0	8.6	260.8	21.7	12
1979	41.2	23.1	0	0	43	0	16.8	12.1	69.9	0	0	0	206.1	17.2	12
1980	0	0	0	0	0	0	5.7	1.6	32.2	10.5	0	1	51	4.2	12
1981	50.2	0	18	0	0	0	34.6	31.6	55.2	196	0	0	385.6	32.1	12
1982	0	0	0	0	0	0	42.2	22.1	299.3	0	35.5	47.5	446.6	37.2	12
1983	22.7	10.2	26.1	0	0	0	16.9	137.4	49	17.3	1.8	18	299.4	25	12
1984		0	0	0	0	5.51	26.05	104.61	38.01	16.6	0	68.2	258.98	23.5	11
1985	18.9	1.5	0	0	0	0	29.22	38.2	32.81	15.2	5.53	0	141.36	11.8	12
1986	0	0	0	5	0	0	52.31	70.52	15.01	62.8	0	23	228.64	19.1	12
1987	0	0	0	0	0.01		69.9	50.3	90.6	23	0	0	233.81	21.3	11
1988	0	0	0.01	0	0	0	0.01	10.11	1.02	0	0		11.15	1	11
1989	73.9	24.9	0	0	0	0	12.6	81.71	19.52	5	1.01	45.71	264.35	22	12
1990	0	8	0			0	83.05	33.71	39				163.76	23.4	7
1991	0.02	5.01	0	0	0	0							5.03	0.8	6
1992		26	12.51	0			8.8	56.7	20.2	1	1	0	126.21	14	9
1993	50	8	0	0	0	1	0	14	67.5	0	9.5		150	13.6	11
1994	0	0	0	0	0	0	1	118.5	15	5			139.5	13.9	10
1995	10	0	0	0	0	0	33	50	41	0	0.01	0	134.01	11.2	12
1996	0	0	0	1	0	0	0	171	107	0	8	0	287	23.9	12
1997	46.01	0	0	0	0	17	6	142.24	89.5	0	9	17.02	326.77	27.2	12
1998	0	4	0	0	0	0.01	32.02	32.04					68.07	8.5	8
1999	0	0	0	1	0	18.51	10	27.51	27.2	0			84.22	8.4	10
2000	0	0	3.5	0	0	1.01		25.5	11	13	0	0	54.01	4.9	11
2001	0.01	0	0	0	0	0	74.5	24	353.01	24.5	0	0	476.02	39.7	12
2002	3	17	0	0	0	0	0	20	79	0	0	0	119	9.9	12
2003	8	23	0	0	0	0	20	172.6	294	15	0		532.6	48.4	11
2004				0	0	0	79	28.3	52.5	19.5	0	2.5	181.8	20.2	9
2005	8.5	69	0	0	0	0	3.4	54	44.5	0	0	0	179.4	14.9	12
2006	5.5	0	0	0	0	0	51	132	110	124	0	0	422.5	35.2	12
2007	23	0	0	0	0	0	0	26.5	401.5	0	0	22.5	473.5	39.5	12
2008	0	0	0	0	0	0	23	191	56.5	22.5	0	0	293	24.4	12
