COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3012 
 NOMBRE    : EL PASO DE IRITU 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.77972222 ° 
 LONGITUD  : -111.15 ° 
 ALTITUD   : 140 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1941	4	0	0	0	0	0	0	13	26	0	0	7	50	4.2	12
1942	0	0	0	0	0	0	0	8	0	0	0	0	8	0.7	12
1943	0	0	0	0	0	0	0	5	81	5	0	16.5	107.5	9	12
1944	10	20	1.5	0	16	0	0	10	27	8	0	3.5	96	8	12
1945	0	0	0	0	0	0	0	13.3	16	80.5	0	0	109.8	9.2	12
1946	9.3	0	1	0	0	0	30.5	0	18.5	2.5	0	4	65.8	5.5	12
1947	1	0	12	0	0	0	0	2.5	15.5	0	3	0	34	2.8	12
1948	0	16.5	0	0	0	0	26	8	45	13.5	0	22	131	10.9	12
1949	25.8	4.5	0	0	0.1	0	0	0	125	0	0	14.9	170.3	14.2	12
1950	3.3	0	0	0	0	0	14.6	15.5	10.3	18.5	0	0	62.2	5.2	12
1951	0	0	6.7	0	0	2	21	42.7	12.6	35.1	0	25.5	145.6	12.1	12
1952	0	0	0	13	0	0	16.4	17.5	17.3	0	12.2	5	81.4	6.8	12
1953	0	0.1	0	0	0	0	2.2	13.7	35	31	5.1	7.2	94.3	7.9	12
1954	18.2	0	0	0	0	0	72.5	10.5	7	1.2	0	0	109.4	9.1	12
1955	14.3	0	0	0	0	0	0	14.7	10.2	20	1.5	0	60.7	5.1	12
1956	1	0	0	0	0	3.3	30	42.4	44.5	10.9		0	132.1	12	11
1957	0	0	12.4	0	0	0	15.8	27	6	25.5	0	5	91.7	7.6	12
1958	20.7	5	5	0	0	0.6	96.2	67.3	25.6	38.2	0	0	258.6	21.6	12
1959	0	4	0	0	0	0	0	25	45.1	0	0	50	124.1	10.3	12
1960	47.7	0	0	0	0	0	5.2	52.5	19.7	12.6	0	10.9	148.6	12.4	12
1961	21.2	0	0	0	0	0	8.5	16.5	1.2	0	0	1	48.4	4	12
1962	21.5	3	0	0	0	0	0	1.9	76	0	0	21.5	123.9	10.3	12
