COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3015 
 NOMBRE    : EL ROSARIO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.86111111 ° 
 LONGITUD  : -110.6555556 ° 
 ALTITUD   : 45 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961											0.01	3	3.01	1.5	2
1962	13	0	0	0	0	0	0	6	63	0.01	0.01	3	85.02	7.1	12
1963	0.01	0.01	0		0	0	4	8	4	8	4	0	28.02	2.5	11
1964	0	0	4	0	0	0	9	0.01	26	0.01	0	7	46.02	3.8	12
1965	2	8	0.01	0	0	0	0.01	26	10	0.01	0	28	74.03	6.2	12
1966	0	8	0	0	0	0	12	0	26	0	0	30	76	6.3	12
1967	0	0	0	0	0	0	0	42	0	7	0	4	53	4.4	12
1968	9	41	3	0	0	0	0.01	0	16	56	0	0	125.01	10.4	12
1969	0	2	0			0	0	4	7		0	0	13	1.4	9
1970	0	0	0	0	0	0	2	0	10	0	0	0	12	1	12
1971		0	0	0	0	0	0	6	3	3	0	6	18	1.6	11
1972	44	0	0	0	0	0	0	0	0	64	37	0	145	12.1	12
1973	34	8	0	0	0	0	0	7	76	0	0	0	125	10.4	12
1974	2	0	2	0	0	0	23	0	14	0	80	16	137	11.4	12
1975	18	0	0	0	0	0	0	3	51	0	0	3	75	6.2	12
1976	0	0	0	0	0	0	0	8	69	10	17	8	112	9.3	12
1977	0	0	0	0	0	0	0	40	0	23	0	0	63	5.2	12
1978	0	7	0	0	0	0	8	0	25	41	0	3	84	7	12
1979		13	0	0	20	0	35	0	90	0	0	0	158	14.4	11
1980	0	0	0	0	0	11	0	0	0	0	0	0	11	0.9	12
1981	31	0	8	0	0	0	0	3	13	0	0	0	55	4.6	12
1982	0	0	0	0	0		4	8	20	0	10	5	47	4.3	11
1983	7.5	0	15	0	0	0	23	100	4	0	0	0	149.5	12.5	12
1984	5	0	0	0	0	0	25	10	9	0	0	24	73	6.1	12
1985	5	0	0	0	0	0	0	0	4	0	20	0	29	2.4	12
1986	0	0	0	0	0	0	0	17	7	2	0	14	40	3.3	12
1987	0	0	0	0		0	0	0	3	8	0	0	11	1	11
1988	0	0	0	0	0	0	0	1.5	0	0	0	8	9.5	0.8	12
1989	22	6	0	0	0	0	0	45	0	0	0	8.2	81.2	6.8	12
1990	5	0	0	0	0	0	8	45	2.5				60.5	6.7	9
1991	0	4.5	0	0	0	0	0	0	10	18.5	19	27.5	79.5	6.6	12
1992	21	9	0	0	0	0	17	0	0	0	0	28	75	6.2	12
1993	35.5	9	0	0		0	0	66	14	0	0	0	124.5	11.3	11
1994		0	0	0	0	0	0	0	0	15	8	54	77	7	11
1995	0	0	0	0		0	0	0	54				54	6.8	8
1996	0	0	0	0	0	0	0	31	121	0	0	0	152	12.7	12
1997	30	0	0	0	0	0	0	13	20				63	7	9
1998	0	0		0	0	0	0	52	65	0	0	0	117	10.6	11
1999	0	0	0	0	0								0	0	5
2000	0	0	0	0	0	0	0	0	36	11	0	0	47	3.9	12
2001	0	0	0	0	0	0	0	0	493	0	0	0	493	41.1	12
2002	0	0	0	0		0	0	0	0	0	0	0	0	0	11
2003	0	19	0	0	0	0	0	25	60	0	0		104	9.5	11
2004	0	6	9	0	0	0	0	0	59	0		0	74	6.7	11
2005	6	0	5	0	0	0	0	0	7.5	7		0	25.5	2.3	11
