COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3017 
 NOMBRE    : EL TABLON 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 27.76666667 ° 
 LONGITUD  : -113.35 ° 
 ALTITUD   : 90 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956					0.01	10	0.01	4.5	2	0	0.01	0	16.53	2.1	8
1957	9	0	0	0	0	0.01	0	0.01	0	0	0	0.01	9.03	0.8	12
1958	4		8	0	0.01	0	4.5	0.01	0	34.5	15	0	66.02	6	11
1959	0	5	0	0	0	0	2.5	35	10	0	11.5	38.5	102.5	8.5	12
1960	73.5	1.5	2.5		0	0	0	3.5	25	35	0.01	0.01	141.02	12.8	11
1961	2.5	0	0	0	0	0	0	0.01	15	0.01	0.01	25	42.53	3.5	12
1962	25	16.5	0.01	0	0	0	0	0	26.5	0	0	0	68.01	5.7	12
1963	7	10.5	0	0	0	0	0	18.5	0	1	35	0.01	72.01	6	12
1964	0	0	0	2	0	45	0	4.5	5	2.5	0.01	4	63.01	5.3	12
1965	0.2	0	0.01	0.01	0	0	0	3	0	0	0	5.1	8.32	0.7	12
1966	0.7	1.3	0	0	0	0.01	0.4	0.3	1.3	0.5	0	2	6.51	0.5	12
1967	0.5	0	0	0.01	0.01	9.5	1.1	0	6.5	2.3	1.5	4.7	26.12	2.2	12
1968	0.6	0.7	0.8	0	0	0	0.01	3.8	0	0.01	0.01	0.6	6.53	0.5	12
1969		8				0	0	0	42		10	42	102	14.6	7
1970	0	0	19.5	0	0	0	0	0	13.5	0	0	0	33	2.8	12
1971	0	2.5	0	0	0	0	2.5	5.5	12.5	0	25	2.5	50.5	4.2	12
1972	0	0	0	0	0	0	0	87.5	0	20.5	0	13.5	121.5	10.1	12
1973	2.5	70.5	5.5	0	18.6	0	0	0	0	0	0	0	97.1	8.1	12
1974	5	0	5.5	0	0	0	7.5	0	10.5				28.5	3.2	9
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	6.51	0.5	7
MÁXIMA	73.5	70.5	19.5	2	18.6	45	7.5	87.5	42	35	35	42	141.02	14.6	12
MEDIA	7.7	6.9	2.5	0.1	1	3.4	1	8.7	8.9	5.7	5.4	7.7	55.8	5.1	11.3
DESV.ST	18	17.1	5.1	0.5	4.4	10.5	2	20.9	11.6	12	10.2	13.4	41.7	4.1	1.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956					0.02	10	0.02	4.5	2.01	0	0.01	0	16.56	2.1	8
1957	11.82	0	0	0	0	0.01	0	0.01	0	0	0	0.02	11.86	1	12
1958	4.01		19.03	0	0.01	0	4.51	0.02	0	34.52	15.02	0	77.12	7	11
1959	0	5	0	0	0	0	3.8	35	14.01	0	21	79.53	158.34	13.2	12
1960	131.4	1.5	2.5		0	0	0	3.51	28.54	35	0.01	0.01	202.47	18.4	11
1961	4.21	0	0	0	0	0	0	0.02	16.01	0.01	0.01	35.52	55.78	4.6	12
1962	37	16.52	0.04	0	0	0	0	0	48.01	0	0	0	101.57	8.5	12
1963	12	10.5	0	0	0	0	0	18.5	0	1	35	0.01	77.01	6.4	12
1964	0	0	0	2.01	0	60	0	4.51	5.05	2.5	0.01	6.01	80.09	6.7	12
1965	0.42	0	0.01	0.01	0	0	0	3.4	0	0	0	7.52	11.36	0.9	12
