COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3018 
 NOMBRE    : EL TRIUNFO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.80222222 ° 
 LONGITUD  : -110.1091667 ° 
 ALTITUD   : 500 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961				0	0	0	20	58	35	20	0	11	144	16	9
1962	12	0	0	0	0	0	0	18.2	70	9	0.01	0.01	109.22	9.1	12
1963	7	0	0	0	0	0	70	30	45		0	75	227	20.6	11
1964	0	0	0	0		0	11	40	12	45	0	0	108	9.8	11
1965	0.01	0	0	0	0	20	40	60	0.01	5	0	25	150.02	12.5	12
1966	10	10	0	0	0	0	40	30	30	0	0	20	140	11.7	12
1967	15	0	0	0	0	5	1.8	45	5	20	0.01	21	112.81	9.4	12
1968	18	5	15	0	0	0	15	60	20	20	15	5	173	14.4	12
1969	0	0				0	20	12			0	4.5	36.5	5.2	7
1970	15	5	2	0	0	0	7	82	40	0	0	0	151	12.6	12
1971	0	0	0	0	0	16	0	62	49	9	0	0	136	11.3	12
1972	24	0	0	0	0	0	61	88	67	64	19	43	366	30.5	12
1973	11	23	0	0	0	0	21	53	98	0	0	0	206	17.2	12
1974	0	0	0	0	0	0	19	84	41	17	44	16	221	18.4	12
1975	18	0	0	0	0	0	17	26	42	0	0	0	103	8.6	12
1976	0	0	0	0	0	0	8	45	259	16	14	14	356	29.7	12
1977	0	0	0	0	0	0	0	37	90	0	9	0	136	11.3	12
1978	0	0	0	0	0	0	14	36	52	14		0	116	10.5	11
1979	44	14	0	0	27	0	7	57	81	0	0	0	230	19.2	12
1980	0	0	0	0	0	0	1.9	21	38	0		0	60.9	5.5	11
1981	44	0	7	0	0	0	27		38	29	0	0	145	13.2	11
1982	2	0	0	0	0	0	23.2	69	170	2	23	61	350.2	29.2	12
1983	14	9	28	0	0	0	16	95	24	0	5	34.5	225.5	18.8	12
1984	27	0	0	0	0	33	36	36	57	0	0	26	215	17.9	12
1985		0	0	0	0	0	24	39	35	26	8	0	132	12	11
1986	0	0	0	11	0	0			18	38	0	20	87	8.7	10
1987	1	0	0	0	8	0	120	7	42	0	0	1	179	14.9	12
1988	0	0	0	0	0	0	20	20	10	13	0	0	63	5.2	12
1989	40	11	0	0		0	45	123	40	3	5	26	293	26.6	11
1990	27	6	1	0	0	0	71	44.5	100				249.5	27.7	9
1991		0	0	0	0	0	0	40					40	5.7	7
1993	20	0	0										20	6.7	3
1995							24	22			0	16	62	15.5	4
1996	0	0	0	0	0	0	19	114	162	6	0.4	0	301.4	25.1	12
1997	21	0	3	2	0	6	67	45	48	17	33	6	248	20.7	12
1998	0	5	0	0			17	41	192	15	0	0	270	27	10
1999	0	0	0	2	0	14	21	73	21	0.01	0.01	0	131.02	10.9	12
2000	0	0	4	0	0	2	31	86	22	64	19	0	228	19	12
2001	0	0.01	0	0	0	0	53	5	157	16	13	0.01	244.02	20.3	12
2002	3	19	0	0	0.01	0	59	12	44	5	4	0.01	146.02	12.2	12
2003	0	19	0	0.01	0	0	24	97	214	20	0.01	0	374.02	31.2	12
2004	22	12	6	0	0	0	33		34	11	0.01	0.01	118.02	10.7	11
2005	11	36	11	0	0	0	19	21	46	0	0	0	144	12	12
2006	12	0	0	0	0	0	46	44	138	36	0	0	276	23	12
2007	9	0	0	0	0	0	62	7	23	0	0	0	101	8.4	12
2008	0	0	0	0	0	0	9	46	96	33	0	0.6	184.6	15.4	12
2009	0	0	0	0	0	0	6	37	49	0	42	16	150	12.5	12
2010	0	0	0	0	0	0	0	77	56	0	0	0	133	11.1	12
2011	0	0	0	0	0	0	22	18	16	0	26	0	82	6.8	12
2012	0	0	0	0	0	0	23	47	62	26	0	16	174	14.5	12
2013	0.01	0	0	0	0	4	26	56	83	24	0.01	3	196.02	16.3	12
2014	2	0	0	0	2.5	0.01	97	47	216	52	0	0	416.51	34.7	12
2015	13	5.5	42	0.01	0.01	8.5	139	100.6	37	36	4	0.01	385.63	32.1	12
2016	0	0	8	0.01	0	0	38	78	58	42	17	0.01	241.02	20.1	12
2017	0	17	0.01	0	0	0	13	38	45	75	0	0	188.01	15.7	12
2018	6.5	0.01	0	0		37							43.51	8.7	5
2019	14	0	7.5	0	0	0	11	27	62	58	32	0	211.5	17.6	12
2020	32	33	0.01	0	0	8.5	42	18	19	6.5	0	0	159.01	13.3	12
2021											0	0	0	0	2
2022	0	0	0	0	0.01	14	36	104	50	6	0	0	210.01	17.5	12
2023	0	38	0	0	0	0	77	58	56	37.7	0	0	266.7	22.2	12
2024	0	0	0	0	0								0	0	5
MÍNIMA	0	0	0	0	0	0	0	5	0.01	0	0	0	0	0	2
MÁXIMA	44	38	42	11	27	37	139	123	259	75	44	75	416.51	34.7	12
MEDIA	8.7	4.5	2.3	0.3	0.7	2.9	31.1	49.8	65.7	17.7	6	8.1	176.9	15.6	10.9
DESV.ST	12	9.2	7	1.5	3.8	7.6	29.1	29	57.6	19.7	11.3	15.4	97.4	7.9	2.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
