COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3020 
 NOMBRE    : IRAKY 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.82861111 ° 
 LONGITUD  : -111.2188889 ° 
 ALTITUD   : 140 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	12.5	0	0	0.01	0	0.01	0.5		2.5	3.5	0	1	20.02	1.8	11
1962	20.6	1.1	0	0	0	0	5.7	7.9	96.3	10	0.01	25.9	167.51	14	12
1963	0.01	0.2	0	0.01	0	0	40.5	16.3	3	27.9	23	0.4	111.32	9.3	12
1964	0.01	0	0.3	0	0	0.01	10.2	6.4	2.7	14.7	0	22.2	56.52	4.7	12
1965	2.5	8.1	0	0	0	0	5.8	34.3	20.3	1	0	70.9	142.9	11.9	12
1966	0.01	5.4	0.01	0.01	0.01	0	0.3	73	28.8	0	0	19.5	127.04	10.6	12
1967	0.01	0	0	0	0	0.01	18	24	23	10	21	25	121.02	10.1	12
1968	12	8	6	0.01	0	0	25	4.7	0	32	2.5	1	91.21	7.6	12
1969		10	0	0		0	0	23	0		1	3	37	4.1	9
1970	1	0	13	1	0	0	3.5	64	44	1.5	0	2.5	130.5	10.9	12
1971	0	0	0	0	0	0	0	89	3	0	0	8.5	100.5	8.4	12
1972	7	0	0	0	0	0	12	19	20	70	0	10	138	11.5	12
1973	22	15.5	0	0	0	0	27.5	4	30	0	0	0	99	8.2	12
1974	16	0	0	0	0	0	33	9	10	6	30.9	0	104.9	8.7	12
1975	7.5	0	0	0	0	0	3	36	54	0	0	6	106.5	8.9	12
1976	0	5	0	0	0	0	0	10	30	7	14	7	73	6.1	12
1977	3	0	0	0	0	0	5	34	42	20.7	3	0	107.7	9	12
1978	0	6	0	0	0	0	30	25	32	9	0	53	155	12.9	12
1979	41	7	0	0	27	0	7	8	77	0	0	2	169	14.1	12
1980	0	16	0	0	0	0	4	27.5	4.5	22	0	7	81	6.8	12
1981	13	2.5	10	4.5	3	0	13	21.5	26.5	0	0	0	94	7.8	12
1982	2	0	0	0	0	0	11	5	18	0		38.5	74.5	6.8	11
1983	8	5	19	0	0	0	51	108	38	0	0	39	268	22.3	12
1991	6	8	0	0	0	0	0	3	51	0	7	76	151	12.6	12
1992	29	16	12	6	0	0	17	93	0	0	1	5	179	14.9	12
1993	72	25	0	0	0	0	0	33	25	20	15.5	4.5	195	16.2	12
1994	1	0	0.01	0	0	0.01	0	35	8	17	22	52	135.02	11.3	12
1995	0.01	17	0	0	0	0	5	2	12	0	6	8.5	50.51	4.2	12
1996		0	0	1	0	0	0	21	33	0	0	0	55	5	11
1997	23	0	0	0	8.5	1	1	37.5	17	2.3	4	6.5	100.8	8.4	12
1998	0.01	0.01	0	0	0	0.01	39.5	45	23	0.01	9.5	0	117.04	9.8	12
1999	0		0	0	0	2.2	4.5	22.8	3	0	0	0	32.5	3	11
2000	0	0	2.9	0	0	0.01	4	47	45.6	52	1	0	152.51	12.7	12
2001	0.01	0.01	0	0	0	0.01	13	11	37	0	0	0	61.03	5.1	12
2002	2	16.5	0	0	0	0	3.5	6.5	6	0	5.5	9.5	49.5	4.1	12
