COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3021 
 NOMBRE    : LA AGUJA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 23.98333333 ° 
 LONGITUD  : -110.8833333 ° 
 ALTITUD   : 27 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	0												0	0	1
1962	0	0	0	0	0	0							0	0	6
1963									0	0	0	0	0	0	4
1964	0	0	0	0		0	0	0	0	0	0	0	0	0	11
1965	0.6	0	0	0	0	0	0						0.6	0.1	7
1966		0.7	0	0	0	0	2	0	4.7	0	0	2.9	10.3	0.9	11
1967	0	0	0	0	0	0	0.2	40	0	15.5		7	62.7	5.7	11
1968	6.5	40	5.5	0	0	0	0	0	0	32.2	0	0	84.2	7	12
1969		0	0	0	0		0	0					0	0	6
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	6.5	40	5.5	0	0	0	2	40	4.7	32.2	0	7	84.2	7	12
MEDIA	1.2	5.8	0.8	0	0	0	0.4	8	0.9	9.5	0	2	17.5	1.5	7.7
DESV.ST	2.6	15.1	2.1	0	0	0	0.8	17.9	2.1	14.3	0	3.1	32.3	2.8	3.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	0												0	0	1
1962	0	0	0	0	0	0							0	0	6
1963									0	0	0	0	0	0	4
1964	0	0	0	0		0	0	0	0	0	0	0	0	0	11
1965	1.2	0	0	0	0	0	0						1.2	0.2	7
