COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3022 
 NOMBRE    : LA ANGOSTURA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.05333333 ° 
 LONGITUD  : -111.1222222 ° 
 ALTITUD   : 280 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	12.5	0	0	0	0	0	3.5	30	22.5	0	0	5	73.5	6.1	12
1962	22	6.5	0	0	0	0.01	0	5	29	1	0	35	98.51	8.2	12
1963	0	2	0	0	0	0	78.5	21	26	6	1.5	4	139	11.6	12
1964	0	0	4	0		0	24.5	17	6	32	0	16.5	100	9.1	11
1965	3	8	0.5	0	0	0	3	39	25	0	0	36	114.5	9.5	12
1966	0.5	9	0.01	0		0	0	39	20	0	0	4	72.51	6.6	11
1967	3.5	0	0	0	0	0	6	35.5	30	53	18	31	177	14.8	12
1968	35	7	5	0	0	0	11	20.8	0	24	0	0	102.8	8.6	12
1969	1.5	1.2			0		22	0			0	2.2	26.9	3.8	7
1970	0	0	13	0	0	0	0	1.6	21	1	0	1	37.6	3.1	12
1971	0	0	0	0	0	0	0	32	0	5	0	8	45	3.8	12
1972	3	0	0	0	0	0	4	59	18	57	15	15	171	14.2	12
1973	2	30	0	0	0	0	3	7	53	0	0	0	95	7.9	12
1974	10	0	0	0	0	0	2	3	10	0	5	4	34	2.8	12
1975	9	0	0	0	0	0	9	19	51	0	0	3	91	7.6	12
1976	0	0	0	0	0	0	0	50	32	0	0	7	89	7.4	12
1977	0	0	0	0	0	0	0	3.8	0.9	0.6	9	0	14.3	1.2	12
1978	0	0	0	0	0	0	29	17	52	0.5	0	10	108.5	9	12
1979	39	6	0	0	22	0	9	18	87	0	0	7	188	15.7	12
1980	0	1.7	0	0	0	2	20	40	30	19	0	0	112.7	9.4	12
1981	25	2	13	0	2	0	69	65	37	21	0	0	234	19.5	12
1982	0	0	0	0	0	0	17	10	64	0			91	9.1	10
1983	13	5	35	0	0	0	58	56	37	0	1	41	246	20.5	12
1984	18	0	0	0	0	10.2	63	48	14	9	1.5	27	190.7	15.9	12
1985	17	0	0	0	0	0	17	8	1	0	5	0	48	4	12
1986	0.1	8	0	1.5	0	0	65		9	2	0	5	90.6	8.2	11
1987	0	0	0	0	0	0	41	20	28	14	8	1	112	9.3	12
1988	0	0	0	0	0	0	0	43	50	32	0	20	145	12.1	12
1989	13	27	1	0	0	0	2	8	27	5	10	26	119	9.9	12
1990	0	0	3	0	0	0	53	75	15				146	16.2	9
1991	10	0	16	0	0	0	0	9	32	0	26	95	188	15.7	12
1992	40	14	0	0	0	0	45	14	7	0	0	26	146	12.2	12
1993	54	2	0	0	0	0	0	35	15	15	20	1	142	11.8	12
1994	0	0	0	0	0	0	0	27	18	2	6	78	131	10.9	12
1995	0	20	0	0	0	0	5	0	21	0	9	11	66	5.5	12
1996	0	0	0	0	0	0	9	27	43	0	0	0	79	6.6	12
1997	29	0	0	0	2	1	22	51	33	0	20	1	159	13.2	12
1998	0	4	0	0	0	0	11	24	22	0	7	0	68	5.7	12
1999	0	0	0	0	0	3	32	34	3	0	0	0	72	6	12
2000	0	0	1	0	0	4	1	24	10	13		2	55	5	11
2001	0	0	0	0	0	0	3	23	56	4	0	0	86	7.2	12
2002	0	12	0	0	0	0	7	0	38	0	6	11	74	6.2	12
2003	0	18	0	1	0	0	0	63	101.1	0	0	0	183.1	15.3	12
2004	0	9	0	0	0	0	6	17	16	19	0		67	6.1	11
