COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3023 
 NOMBRE    : LAGUNILLAS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.02166667 ° 
 LONGITUD  : -110.3552778 ° 
 ALTITUD   : 40 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1952									20.5	7.5		27.5	55.5	18.5	3
1953	0	0	0	0	0	0	3	20	0	44	17	3	87	7.2	12
1954	11	0	0	0	0	0	30	70.5	34	11	0	0.01	156.51	13	12
1955	19.5	0	0	0	0	0	0	11	110	7.5	0.01	0	148.01	12.3	12
1956	0.01	0	0	0.01	0.01	33		48.5	23	0	0.01	2	106.54	9.7	11
1957	2	0	0	0	0	0.01	0.01	150	13	2.5	0.01		167.53	15.2	11
1958	4.5	6	5	0.01	3	0.01	11	26	33	17.5	66.5	4	176.52	14.7	12
1959	0.2	3.5	0	0	0	23	2	45	135	0.01	0	31	239.71	20	12
1960	77	0	0	0	0	0.01	6	36	46	26	2	8	201.01	16.8	12
1961	11	0	0	2	0	0.01	20	22	11	2	0.01	6	74.02	6.2	12
1962	16.5	0	0			0	0.01	34.5	20	25.5	0	5	101.51	10.2	10
1963	2	0	0	0	0	9	17	33	52	27	7	4	151	12.6	12
1964	0.01	0	3	0	0	0	9.5	8	49.5	53.5	0	6	129.51	10.8	12
1965	3	7	0	0	0	0	5	58.5	35	0.3	0	27	135.8	11.3	12
