COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3024 
 NOMBRE    : LA MAQUINA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LORETO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 25.46666667 ° 
 LONGITUD  : -111.1833333 ° 
 ALTITUD   : 340 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964											0	12	12	6	2
1965	0	7		0	0	0	25		8		0	7	47	5.2	9
1966	0	7	0	0	0	0	0	31.5	53	0.01	0	15	106.51	8.9	12
1967	5	0	0.01	0.01	0.01	0	10	9.1	7	11.4	4	19	65.53	5.5	12
1968	3	2.5	1.9	0	0	0	0.01	20	0	0.01	0.01	0.01	27.44	2.3	12
1969		1						0			0	7.5	8.5	2.1	4
1971	0	0	0	0	0	0	0	27	2	3.5	0	1	33.5	2.8	12
1972	0	1.2	0	0	0	0	1.6	7.5	7.2	7	0.9	4	29.4	2.5	12
1973	10	2	0	0	0	0	9		60	0	0	0	81	7.4	11
1974	0	0	0	0	0	0	0	0	54	0	19	0	73	6.1	12
1975	0	0.4	0	0	0	0	0	0	0	0	0		0.4	0	11
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	2
MÁXIMA	10	7	1.9	0.01	0.01	0	25	31.5	60	11.4	19	19	106.51	8.9	12
MEDIA	2	2.1	0.2	0	0	0	5.1	11.9	21.2	2.7	2.2	6.6	44	4.4	9.9
DESV.ST	3.5	2.7	0.7	0	0	0	8.5	12.7	26.1	4.3	5.7	6.9	33.7	2.7	3.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964											0	24	24	12	2
1965	0	8		0	0	0	25		10		0	38.1	81.1	9	9
1966	0	9	0	0	0	0	0	41.7	68.01	0.02	0	22	140.73	11.7	12
1967	5	0	0.01	0.03	0.02	0	10.01	11.71	7.9	14.12	4.93	20.52	74.25	6.2	12
1968	4.43	4.02	2.01	0	0	0	0.01	31.02	0	0.01	0.01	0.01	41.52	3.5	12
1969		1						0			0	7.7	8.7	2.2	4
1971	0	0	0	0	0	0	0	55.2	2	6	0	1	64.2	5.4	12
1972	0	1.2	0	0	0	0	4.1	16	8.7	14.5	1.1	4.8	50.4	4.2	12
1973	10.6	2.7	0	0	0	0	14		60	0	0	0	87.3	7.9	11
1974	0	0	0	0	0	0	0	0	112	0	46	0	158	13.2	12
1975	0	0.4	0	0	0	0	0	0	0	0	0		0.4	0	11
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	2
MÁXIMA	10.6	9	2.01	0.03	0.02	0	25	55.2	112	14.5	46	38.1	158	13.2	12
MEDIA	2.2	2.6	0.3	0	0	0	5.9	19.5	29.8	4.3	4.7	11.8	66.4	6.8	9.9
DESV.ST	3.7	3.4	0.7	0	0	0	8.8	21.1	40.3	6.5	13.8	13.4	50	4.3	3.6

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1971	108	123	177.3	199.9	225.3	236	289.3	199	194.1	201.1	133.1	122.7	2208.8	184.1	12
1972	131.4	130.5	178.7	207.5	256.5	245	277.1	230.2	203.5	183.1	103.8	95.4	2242.7	186.9	12
1973	70.6	79	92.4	118.2	168.8	264.5	281.1		227.1	184	146.4	111.3	1743.4	158.5	11
1974	107.9	117.5	146.5	173.7	197.4	249.9	229.5	241.3	206.6	183.4	128.1	117.1	2098.9	174.9	12
1975	123.5	124.4	196	200.6	231.9	309.8	286.5	286.1	229.7	211	104.4		2303.9	209.4	11
MÍNIMA	70.6	79	92.4	118.2	168.8	236	229.5	199	194.1	183.1	103.8	95.4	1743.4	158.5	11
MÁXIMA	131.4	130.5	196	207.5	256.5	309.8	289.3	286.1	229.7	211	146.4	122.7	2303.9	209.4	12
MEDIA	108.3	114.9	158.2	180	216	261	272.7	239.2	212.2	192.5	123.2	111.6	2119.5	182.8	11.6
DESV.ST	23.4	20.6	40.9	36.9	33.7	29.1	24.6	36.1	15.5	12.8	18.6	11.8	223.1	18.6	0.5

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964											29.1	26.1		27.6	2
1965	26.8	23.9		31.5	33.4	28.7	38.5		34.2		31.3	21.7		30	9
1966	22.2	21.8	23.3	30.9	35.6	39.1	38.7	35.3	34.6	31.8	29.4	23.2		30.5	12
1967	25.9	26.9	29.7	30.9	34	35.1	37.4	35.7	34.2	32.3	30	21.4		31.1	12
1968	21.7	24.5	26.9	28.6	34	31	36.6	35.6	34.2	34.5	28.7	24.7		30.1	12
1969		22.4						37.6			29.6	24		28.4	4
1971	24	24.4	28.1	29.4	32.3	35.4	37.1	34.5	34.8	31.8	26.5	24.4		30.2	12
1972	24.4	26.6	29.4	31.5	34.2	33	37.1	35.2	35.3	31.9	23.7	23.3		30.5	12
1973	20.7	23.6	24.1	27.9	32.2	37.8	38.5		36.1	33.2	32.5	26.5		30.3	11
1974	22.5	25.3	26.8	32.1	33.4	37.2	34.1	35.7	32.1	33.9	26.7	26.6		30.5	12
1975	22.4	22.6	26.3	26.8	32.7	35.2	36.1	37.4	37.1	34.7	28.4			30.9	11
MÍNIMA	20.7	21.8	23.3	26.8	32.2	28.7	34.1	34.5	32.1	31.8	23.7	21.4		27.6	2
MÁXIMA	26.8	26.9	29.7	32.1	35.6	39.1	38.7	37.6	37.1	34.7	32.5	26.6		31.1	12
MEDIA	23.4	24.2	26.8	30	33.5	34.7	37.1	35.9	34.7	33	28.7	24.2		30	9.9
DESV.ST	2	1.7	2.3	1.9	1.1	3.3	1.4	1.1	1.4	1.2	2.4	1.9		1.1	3.6

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964											33	30		31.5	2
1965	30	28		37	39	32	41		40		35	28		34.4	9
1966	28	29	30	35	40	42.5	41	41	38	36	35	32		35.6	12
1967	31	31	33	34	38	40	40	40	38	37	34	26		35.2	12
1968	28	30	32	35	38	37	39	40	37	37	36	32		35.1	12
1969		29						41			34	32		34	4
1971	30	30	33	35	36	40	41	39	39	35	32	32		35.2	12
1972	30	32	34	36	38	41	42	40	38	37	28	29		35.4	12
1973	26	31	30	32	36	41	42		40	37	36	31		34.7	11
1974	31	31	35	39	37	40	39	39	35	38	32	30		35.5	12
1975	29	30	36	33	36	40	39	40	42	40	31			36	11
MÍNIMA	26	28	30	32	36	32	39	39	35	35	28	26		31.5	2
MÁXIMA	31	32	36	39	40	42.5	42	41	42	40	36	32		36	12
MEDIA	29.2	30.1	32.9	35.1	37.6	39.3	40.4	40	38.6	37.1	33.3	30.2		34.8	9.9
DESV.ST	1.6	1.2	2.2	2.1	1.4	3.1	1.2	0.8	2	1.5	2.4	2		1.2	3.6

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964											10.1	8.3		9.2	2
1965	10.9	7.9		12	12.4	11.9	21.9		19.9		11.3	8.7		13	9
1966	6.2	5.7	7.2	10	14	17.6	21.8	22.2	21.1	14	10.8	8		13.2	12
1967	4.4	7.3	9.2	11.7	13.8	19	22.4	22.5	20.3	15.9	11.9	7.8		13.8	12
1968	7	9.3	9.4	11.1	12.8	12.7	21.7	20.1	19.6	20	8.9	6.5		13.3	12
1969		7.1						23.2			13.1	8.7		13	4
1971	5.4	6.5	8.7	7.7	11.4	15.6	21.3	21.6	21.7	14.6	9.4	6.9		12.6	12
1972	6.4	6.8	9.3	10.5	14.5	15.1	22.9	22.3	20	17.5	10.8	8.4		13.7	12
1973	7	8	8	8.5	13	22.1	23.1		19.1	15.9	11.2	5.2		12.8	11
1974	10	5.4	8.1	10	13	17.5	17.9	21.2	19.9	14.5	8.5	5.9		12.7	12
1975	3.9	5.4	6.9	7.9	12.5	15	20.4	21.1	20.6	12.3	9			12.3	11
MÍNIMA	3.9	5.4	6.9	7.7	11.4	11.9	17.9	20.1	19.1	12.3	8.5	5.2		9.2	2
MÁXIMA	10.9	9.3	9.4	12	14.5	22.1	23.1	23.2	21.7	20	13.1	8.7		13.8	12
MEDIA	6.8	6.9	8.3	9.9	13	16.3	21.5	21.8	20.2	15.6	10.5	7.4		12.7	9.9
DESV.ST	2.3	1.3	1	1.6	0.9	3.2	1.6	1	0.8	2.4	1.4	1.2		1.2	3.6

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964											5	5		5	2
1965	9	3		6	10	8	19		15		7	3		8.9	9
1966	1	1	2	6	9	13	18	19	18	11	6	1		8.8	12
1967	1	2	4	6	8	10	20	19	16	11	9	4		9.2	12
1968	3	6	4	6	10	8	19	15	15	11	5	1.5		8.6	12
1969		3						20			7	4		8.5	4
1971	-2	3	1	4	2	10	17	19	18	12	5	3		7.7	12
1972	2	3	6	7	10	12	20	20	14	12	6	3		9.6	12
1973	1	4	4	4	10	20	20		15	11	8	1		8.9	11
1974	6	1	5	6	10	12	12	19	16	8	4	3		8.5	12
1975	1	2	2	4	10	11	18	18	17	9	7			9	11
MÍNIMA	-2	1	1	4	2	8	12	15	14	8	4	1		5	2
MÁXIMA	9	6	6	7	10	20	20	20	18	12	9	5		9.6	12
MEDIA	2.4	2.8	3.5	5.4	8.8	11.6	18.1	18.6	16	10.6	6.3	2.9		8.4	9.9
DESV.ST	3.2	1.5	1.7	1.1	2.6	3.6	2.5	1.6	1.4	1.4	1.5	1.3		1.2	3.6

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964											19.6	17.2		18.4	2
1965	18.9	15.9		21.8	22.9	20.3	30.2		27		21.3	15.2		21.5	9
1966	14.2	13.8	15.2	20.4	24.8	28.4	30.2	28.8	27.9	22.9	20.1	15.6		21.9	12
1967	15.1	17.1	19.4	21.3	23.9	27	29.9	29.1	27.2	24.1	21	14.6		22.5	12
1968	14.3	16.9	18.1	19.9	23.4	21.9	29.1	27.9	26.9	27.2	18.8	15.6		21.7	12
1969		14.8						30.4			21.4	16.4		20.8	4
1971	14.7	15.4	18.4	18.6	21.8	25.5	29.2	28	28.2	23.2	18	15.6		21.4	12
1972	15.4	16.7	19.4	21	24.4	24	30	28.8	27.6	24.7	17.2	15.9		22.1	12
1973	13.8	15.8	16	18.2	22.6	30	30.8		27.6	24.6	21.9	15.8		21.6	11
1974	16.2	15.4	17.4	21	23.2	27.4	26	28.5	26	24.2	17.6	16.2		21.6	12
1975	13.1	14	16.6	17.4	22.6	25.1	28.2	29.2	28.9	23.5	18.7			21.6	11
MÍNIMA	13.1	13.8	15.2	17.4	21.8	20.3	26	27.9	26	22.9	17.2	14.6		18.4	2
MÁXIMA	18.9	17.1	19.4	21.8	24.8	30	30.8	30.4	28.9	27.2	21.9	17.2		22.5	12
MEDIA	15.1	15.6	17.6	20	23.3	25.5	29.3	28.8	27.5	24.3	19.6	15.8		21.4	9.9
DESV.ST	1.7	1.1	1.5	1.5	1	3.1	1.5	0.8	0.8	1.3	1.7	0.7		1.1	3.6
