COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3026 
 NOMBRE    : LA PAZ (OBS) 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   : 76405 
 LATITUD   : 24.11666667 ° 
 LONGITUD  : -110.3166667 ° 
 ALTITUD   : 10 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1943		0		0	0								0	0	3
1952		0											0	0	1
1954	0	0											0	0	2
1981	32.5	0	32.7	0	0	0	0.5	0.7	0.4	2	0	0	68.8	5.7	12
1982	0	0	0	0	0	0	22.7	0	29	0	5.5	1.7	58.9	4.9	12
1983	0.5	0.2	0.8	0	0	0	6.2	5.8	11	0	0.4	2.9	27.8	2.3	12
1984	2.2	0	0	0	0	2.5	0.9	21.7	10.1	2.2	0	3.9	43.5	3.6	12
1985	4.3	0.6	0	0	0	0	0	0	2.5	0.4	2.5	0	10.3	0.9	12
1986	0	0.3	0	0.9	0	0	8.8	14.1	3.4	7.2	0	3.1	37.8	3.1	12
1987	0	0	0	0.2	0.7		18.7	7.4	7.7	2	0.4	0	37.1	3.4	11
1988	0	0	0.5	0	0	0	0	3	13.5	0	3	0	20	1.7	12
1989	2.7	2.1			0	0	42.9	3.8	1.7	4.7	0.2	5.6	63.7	6.4	10
1990	0	0.5	0.8	0	0.1	0	8	3.1	8	2	12	4	38.5	3.2	12
1991	0.1	3	0	0	0	0	1.3	0.4	13.2	1.2	2.2	16.5	37.9	3.2	12
1992	1.7	1.8	6.1	0	0	0	1.5	0.8	0.4	0	0.1	0.8	13.2	1.1	12
1993	3.9	1.5	0	0	0	0	0.2	1.7	1.5	4.3	5.3	0	18.4	1.5	12
1994	0	0.2	0	0	0	0	1	12.3	1.6	0.2	7.5	4	26.8	2.2	12
1995	1	0.1	0	0	0	0.7	0.4	5.7	0	0	0	0.7	8.6	0.7	12
1996	0	0	0	1	0	3.2	2.8	8.7	3.9	0	1.1	0	20.7	1.7	12
1997	1.3	0.1	0.1	0	0	0.5	3.2	14.6	7	0.2	2.2	1.8	31	2.6	12
1998	0.4	2.7	0	0	0	0	1.8	10.9	6.7	0	1.4	0	23.9	2	12
1999	0	0	0	0.2	0	0.9	0.8	3.3	2.1	0	0	0	7.3	0.6	12
2000	0	0	0.5	0.4	0	0.3	0	2.4	6.1	2.3	0.6	0.2	12.8	1.1	12
2001	1.2	0	0	0	0.2	0	14.7	7.5	4.3	0	0	0	27.9	2.3	12
2002	0.8	1.1	0	0	0	0	12.8	1.8	13.1	0	3	0.1	32.7	2.7	12
2003	0.4	2.1	0	0	0	0	0.2	17.2	14.9	1.6	0.4	0	36.8	3.1	12
2004	30.3	0	4.9	0	0	0	22.9	15.4	17	6.1	0	0.01	96.61	8.1	12
2009											0	3.7	3.7	1.9	2
2010	2.4	3.4	0.4	0	0	0	0.01	1.3	7.7	0	0	0	15.21	1.3	12
2011	0	0	0	0	0	0	1.9	24.6	0	0	25.9	0	52.4	4.4	12
2014								28.8	103.7	1.9	0	0	134.4	26.9	5
2015	7.6	0	0	0.5	0.3	0	12.8	18.6	4	62.3	1.9	24	132	11	12
2016	0	0	1.5	4.6	2	0	5	26	54	0	0	13.9	107	8.9	12
2017	0	14.8	1.5	0	0	0	0.6	74.9	9.3	0.2			101.3	10.1	10
2021				0		13.7	0.4	34.9	110.8	2	0.5	0	162.3	20.3	8
2022							0.2		26.1	0.2	0	0	26.5	5.3	5
2023	0.5	7.7	0	0					0				8.2	1.6	5
2024									0				0	0	1
