COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3027 
 NOMBRE    : LA POZA GRANDE 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.76111111 ° 
 LONGITUD  : -112.0375 ° 
 ALTITUD   : 25 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1941	0	0	0	0.01	0	0	4	0	9	0	0	0	13.01	1.1	12
1942	0	0	0	0	0	0	0.01	0.01	0	0	0	2	2.02	0.2	12
1943	0.01	9.5	0	0	0	0	0.01	0	0.01	0	0.01	0	9.54	0.8	12
1944	15	2	9	0	0	0	0	6	4	0	0.01	0	36.01	3	12
1945	2	0.01	0	0	0	0	0	0.01	46	6	0	0	54.02	4.5	12
1946	20	22	0.01	0	0	0	0	0	0	0	0	0.1	42.11	3.5	12
1947	0	0	0	0	0	0	0	3	20	0	0	0	23	1.9	12
1948	0	0	0	0	0	0	0	0	3	0	0	10.5	13.5	1.1	12
1949	0	0	0	0	0	0	0.01	0		0	0	9	9.01	0.8	11
1950	4	1.5	0	0	0	0	5	1	0	0.01	0	0	11.51	1	12
1951	0.01	0.01	5		0	0	0.01	30	0	6	0.01	20	61.04	5.5	11
1952	0.01	0.8	0.3	0	0	0	0.3	4	2	0	2	13	22.41	1.9	12
1953	0	14	0	2	0	1	0.01	3.5	0	20	12.5	20	73.01	6.1	12
1954	20	4	5	0	0	1	20	0	6	0	0	2	58	4.8	12
1955	0.01	0.01	0	0	0	0	2	0.01	0.01	6	5	0	13.04	1.1	12
1956	4	0.01	0	0	0	0.01	20	25	5	0	0	0.01	54.03	4.5	12
1957	19	0	19	0	0	0	0.01	2	0	20	0	7	67.01	5.6	12
1958	13	7	2	0	0	3	4	0.01	12	20		0	61.01	5.5	11
1959	0	11	0	0	0	0.01	0.01	3	9	0.01	7	29	59.03	4.9	12
1960	39	0		0	0	0.01	0	0.01	0.01	16	0	20	75.03	6.8	11
1961	19	0	0	0.01	0	0	0	5	0	0	0	5	29.01	2.4	12
1962	20	6	0.01	0		0	0	0.01	40	0.01	0	20	86.03	7.8	11
1963	2	4	0	0.01	0	0	0.01	20	0	0			26.02	2.6	10
1964	0	0	0.01	0	0.01	0				0	0	0.01	0.03	0	9
1965	3	3	0	0	0	0	0.01	8	0.01	0	0	18	32.02	2.7	12
1966	0	8	0	0	0.01	0	2.5	0	9		0	2	21.51	2	11
1967	0	0	0	0	0	0	13	10	20	40		13	96	8.7	11
1968	0.01	5	0		0	0	0	0	0	0	0	0.2	5.21	0.5	11
1969	0	0			0	0	0	0			4.2	20	24.2	3	8
1970	2	0	14	0	0	0		0	20	0	0	0	36	3.3	11
1971	0	0	0	0	0	0	0	27	0	0	0	1	28	2.3	12
1972	30	0		0	0	0	0	6	8	12	0	60	116	10.5	11
