COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3031 
 NOMBRE    : LA SOLEDAD NTE 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.8125 ° 
 LONGITUD  : -110.9805556 ° 
 ALTITUD   : 340 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	12	0	0	0	0	0	2.5	20	4	0	0	0	38.5	3.2	12
1962	11.5	1	0	0	0	0	0	0	220	0.5	0.1	40	273.1	22.8	12
1963	0	0	0	0	0	0	52	80.5	10	2	28.5	5	178	14.8	12
1964	0	0	2	0	0	0		6.5	12.5	15	0	20	56	5.1	11
1965	2	10.5	1.5	0	0	0	3.5	35	0	4		24	80.5	7.3	11
1966	0		0	0	0	0		43	19	0	0	13.5	75.5	7.6	10
1967	0	4	0	0.5	0	0	4.5				11	23	43	4.8	9
1968	4.5	13	7	0.5	0	0	10	38	0	140	0	15	228	19	12
1969		9					9.5	12		4.5	0	28	63	10.5	6
1970	1	0	1			0	9	15.5	8.5		0	3	38	4.2	9
1971	0	0	0	0	0	0	0	65	1.5	25.5	0	1.5	93.5	7.8	12
1972	11	0	0	0	0	0	34	16.5	45	40	2.3	6	154.8	12.9	12
1973	17	24	0	0	0	0	10	1	70	0	0	0	122	10.2	12
1974	10.5	0.3	0	0	0	0	22.5	49.5	20	0	79	3	184.8	15.4	12
1975	10.5	0	0	0	0	0	0	0	56	0	0	8	74.5	6.2	12
1976	0	0	0	12	0	0	2	28	73.5	15.5	43.5	3	177.5	14.8	12
1977	2.5	0	0	0	0	0		137	0.5	22	0	0	162	14.7	11
1978	0.5	5	1	0	0	0	0	31	9.5	9	0	18.5	74.5	6.2	12
1979	24	10	0	0	12	0	4.5	4.5	50	0	0	0	105	8.8	12
1980	0	10.5	0	0	0	0	3	23.5	7.5	28	0	9	81.5	6.8	12
1981	19	4	8.5	0	0	0	0	19.5	6	34	0	0	91	7.6	12
1982	0.5	0.5	0	0	0	0	13	43.5	68.5	0	3	60.5	189.5	15.8	12
1983		0	28	0	0	0	37.5	52.5	22.5	25	0	42	207.5	18.9	11
1984	13	0	0	0	0	37	88.5	49.5	39	20	0	20	267	22.2	12
1985			1.5	0.5	0	4.5	13	15	0.5	3	3.5	0	41.5	4.2	10
1986	5	0	0	20.5	0	0	3	9	7.5	20	0	0	65	5.4	12
1987	0	4	0		0	0	35	32.5	43	5.5		0	120	12	10
1988	0	0	0		0	0	0	3.5	49	0	0	1.5	54	4.9	11
1989	19.5	79.5	0.5		0	0	5.5	40	22	3.5	30.5	41	242	22	11
1990	1	1.5	4.5	0	0	0	38	30	17				92	10.2	9
1991	8	6.5	0	0	0	0	0	37.5	38	35.5	91.5	26	243	20.2	12
1992	35	9.5	12	25	0	0	21	21	0	25	1	31.5	181	15.1	12
1993	57.5	18.5	0	0	0	0	0	37	46	6.5	16	6	187.5	15.6	12
1994	0	0	0	0	0	0	1	5	20.5	0	13.5	61.5	101.5	8.5	12
1995	0	26	0	0	0	0	1	7	64	0			98	9.8	10
1996		0	0	19.5	0		0	106.5	81		0	0	207	23	9
1997	38	0	0	0	6	0	32	55	36	3	4	3	177	14.8	12
1998	0	5	0	0	0	0	2	49.5	14	0	10	0	80.5	6.7	12
1999	0	0	0	0	0	10	18	24	38.5	0	0	0	90.5	7.5	12
2000	0	0		0	0	0	0	9.5		195	0	2.5	207	20.7	10
2001	0	0	0	0	15.2	0	0	20	180	1.5	0	0	216.7	18.1	12
2002	4	17.2	0	0	0	0	15.5	1	58.5	0	21	9.5	126.7	10.6	12
2003	6	32	0	2.5	0	0	2.5	364	360	14	0	0	781	65.1	12
2004	16	6	3	0	0		0	5	26	13	0		69	6.9	10
2005	20	33	6.5	0	0	0	23	12	23	4	0	0	121.5	10.1	12
2006					0	0	28	71	200				299	59.8	5
2007	19	0	0	0	0	0	1	4.5	245	1	18	0	288.5	24	12
2008	0	0	0	0	0	0	0	86	100.9	23.5	0	0	210.4	17.5	12
2009	0	0	1	0	0	0	0	12	170	5	0	0	188	15.7	12
2010	1.5	3.5	0	0	0	0	0	0	70	0	0	0	75	6.2	12
2011	0	0	0	0	0	0	4.5	21	0	0	36	0	61.5	5.1	12
2012	0	0	0	0	0	0	0	25.5	22	105	0		152.5	13.9	11
2013	0	0	0	0	0	0	0	3	52	40.5	0	0	95.5	8	12
2014	0	0	14	0	0	0	54	34	250	0	0	0	352	29.3	12
2015	10	15	11	2	0	15	60	18	43	15	0	0	189	15.8	12
2016	1	0	0	5	0	0	4	20	160	0	0	5	195	16.2	12
2017		11	0	0	0	0	11	280	65	0	0	0	367	33.4	11
2018	0	4	0	0	0	29	2.8	1	42	15.5	0	28	122.3	10.2	12
2019	7	0	47	0	0	0	0	24	40	88	20	2.5	228.5	19	12
2020	0	0	0	0	0	0	0	11	4	4	7	8	34	2.8	12
2021	35	0	0	0	0	0	0	0	58	0	0		93	8.5	11
2022	0	1	0	0	0	0	0	1	44	15	0	0	61	5.1	12
2023	0	1	0	0	0	0	0	0	0	0	0	0	1	0.1	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1	5
MÁXIMA	57.5	79.5	47	25	15.2	37	88.5	364	360	195	91.5	61.5	781	65.1	12
MEDIA	7.4	6.1	2.5	1.5	0.5	1.6	11.4	36.6	57.2	17.7	7.6	10	152	13.8	11.3
DESV.ST	11.8	12.6	7.5	5.1	2.6	6.4	18.1	59.6	73.3	35.1	17.8	15.3	115.2	11.2	1.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	16.5	0	0	0	0	0	6	94.5	6.5	0	0	0	123.5	10.3	12
