COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3034 
 NOMBRE    : LAS LAGUNAS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 27.6 ° 
 LONGITUD  : -113.5666667 ° 
 ALTITUD   : 20 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1943			0	0	0	11	12	63	235	30	30	70.4	451.4	45.1	10
1944	20.4	30	15	0	0.01	0	0.01	30	30	19	7.5	20	171.92	14.3	12
1945	0.01	0	0	0	0	0	30	26					56.01	7	8
1950				0.01	0.01	1	18.1	11	27.8	14.2	0.1	18	90.22	10	9
1951	2.3	0	1.9	0	0	6.2	32	73.5	44.2	20.6	1.9	21	203.6	17	12
1952	0.1	1	1	46.5	0	0.5	51	27.5	44	31	1.4	61.4	265.4	22.1	12
1953	0	1.4	12.4	0	0	0	67.4	47	22.7	38.5	12	8	209.4	17.4	12
1954	10	20	0.01	0	0.01	0	62.5	44.2	43.1	27.7	0.4	0.01	207.93	17.3	12
1955	60	0	0	0	0	0	21.2	53.5	74	78.5		0	287.2	26.1	11
1956	3.2	0	0	6.5	0.01	23	49	21.1	20	44.5	0.8	6	174.11	14.5	12
1957	6.1	0	47.5	0	1.3	0.01	23.5	39	10.5	42	0.01	37	206.92	17.2	12
1958	7.8	8.3	33.4	1.4	0.01	0.01	52.5	47	40.8	36.5	13.5	30.5	271.72	22.6	12
1959	7.2	26	0.01	0	0.7	5	30	64	47	11	22	36.5	249.41	20.8	12
1960	182	1	0	0	0	0.01	26.5	20	23.7	17	0	15	285.21	23.8	12
1961	2	0	0	0	0	0	0	3	8	0	1	3	17	1.4	12
1962	4	11	1	0	0	0	0	0	19	0	0	15	50	4.2	12
1963	2	5	0	0	0	0	0	2	3	0	3	0	15	1.2	12
1964	0	0	0	1	0	0	13	0	3	0	2	0	19	1.6	12
1965	4	11	2	0	0	0	0	12	0	0	0	14	43	3.6	12
1966	4	6	2	0	0	0	2	5	9	4.1	0	12	44.1	3.7	12
1967	1	0	0	0	0	0	3	61.5	4	14	23	33	139.5	11.6	12
1968	0	6	1	0	0	0	0	0	0	0	0	4	11	0.9	12
1969		7			0	0	0	0		0	4	31	42	5.2	8
1970	0	0	2	0	0	0	0	0	4	0	0	0	6	0.5	12
1971	0	0	0	0	0	0	0	28	0	0	0	0	28	2.3	12
1972	0.5	0	0	0	0	0	0	14	0	11	0	8.5	34	2.8	12
1973	0	41	3	0	13	0	0	2	0	0	0	0	59	4.9	12
1974	52	0	2	0	0	0	1	2	0	7	0	5	69	5.8	12
1975	5	0	1	0	0	0	0	0	0	0	1	4	11	0.9	12
1976	0	0	0	0	0	0	0	0	12	0	7	9	28	2.3	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	6	0.5	8
MÁXIMA	182	41	47.5	46.5	13	23	67.4	73.5	235	78.5	30	70.4	451.4	45.1	12
MEDIA	13.8	6.2	4.5	1.9	0.5	1.6	16.5	23.2	25.9	15.4	4.7	15.9	124.9	10.9	11.5
DESV.ST	36.7	10.6	10.9	8.7	2.4	4.7	21.4	23.7	45.3	19.1	8.1	18.2	115.7	10.4	1.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1943			0	0	0	17.5	58.31	205.45	728.12	67.21	54	160.8	1291.39	129.1	10
1944	48.41	30	25	0	0.01	0	0.03	89.11	87.08	37.02	52.5	51.01	420.17	35	12
1945	0.02	0	0	0	0	0	78.31	158.52					236.85	29.6	8
1950				0.02	0.01	1.02	69.75	35.64	59.01	48.3	0.2	18.11	232.06	25.8	9
1951	5.3	0	3.4	0	0	6.2	161.04	153.83	91.54	104.82	3.51	90.1	619.74	51.6	12
1952	0.1	1	1	62.6	0	1	139.1	98.3	145.71	61.01	2.4	109.7	621.92	51.8	12
1953	0	1.6	24.7	0	0	0	153.11	166.32	32.02	120	20.4	12.63	530.78	44.2	12
1954	17	32	0.01	0	0.01	0	166.31	176.32	158.81	52.61	0.8	0.02	603.89	50.3	12
1955	141.5	0	0	0	0	0	35.22	262.14	199.31	86.31		0	724.48	65.9	11
1956	3.5	0	0	8.52	0.04	57.51	162.64	89.07	62.92	118.51	0.8	7.1	510.61	42.6	12
1957	12.83	0	48.92	0	1.3	0.01	112.06	221	40.02	90.5	0.01	46.52	573.17	47.8	12
1958	12.8	15.1	57.1	1.41	0.03	0.04	151.14	434.55	253.01	51.95	37.72	62.12	1076.97	89.7	12
1959	9.23	28.12	0.01	0	0.71	6.54	89.2	232.54	67.31	15	31.8	96.52	576.98	48.1	12
1960	230.52	1	0	0	0	0.01	99.76	94.39	42.6	22	0	43.8	534.08	44.5	12
1961	6.5	0	0	0	0	0	0	3	8	0	1	6	24.5	2	12
1962	10	11	2	0	0	0	0	0	28	0	0	21.9	72.9	6.1	12
1963	6	10	0	0	0	0	0	2	3	0	3	0	24	2	12
1964	0	0	0	1	0	0	13	0	3	0	2	0	19	1.6	12
1965	7.5	17	2	0	0	0	0	12	0	0	0	38	76.5	6.4	12
1966	6	11	2	0	0	0	2	5	18.1	4.1	0	12	60.2	5	12
1967	1	0	0	0	0	0	5	66.5	4	28	44	50	198.5	16.5	12
1968	0	7	1	0	0	0	0	0	0	0	0	4	12	1	12
1969		9			0	0	0	0		0	6	32	47	5.9	8
1970	0	0	2	0	0	0	0	0	10	0	0	0	12	1	12
1971	0	0	0	0	0	0	0	30	0	0	0	0	30	2.5	12
1972	0.5	0	0	0	0	0	0	23	0	30.3	0	16.5	70.3	5.9	12
1973	0	56	3	0	13	0	0	2	0	0	0	0	74	6.2	12
1974	52	0	2	0	0	0	1	2	0	7	0	7	71	5.9	12
1975	11	0	1	0	0	0	0	0	0	0	2	8	22	1.8	12
1976	0	0	0	0	0	0	0	0	19	0	7	15	41	3.4	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	12	1	8
MÁXIMA	230.52	56	57.1	62.6	13	57.51	166.31	434.55	728.12	120	54	160.8	1291.39	129.1	12
MEDIA	21.5	8.2	6.3	2.5	0.5	3	49.9	85.4	73.6	32.6	9.6	31.3	313.6	27.6	11.5
DESV.ST	50.7	13.6	14.7	11.7	2.4	10.9	63.6	107.2	144.4	39.7	17.2	39.7	341.9	30.9	1.2

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	97	137.6	174.7	183.8	200.1	192.8	220.8	210.9	156.7	156.1	89.7	66.9	1887.1	157.3	12
1962	101.6	26.4	132.3	169	196.5	193.8	173.3	197.5	151.3	122.8	89.1	60.2	1613.8	134.5	12
1963	62.9	93.9	130.6	152.4	173.4	235.7	213.7	199.9	186.4	145	105.5	101.9	1801.3	150.1	12
1964	121.7	95.6	131.5	180.5	213.4	210.9	208.9	216.1	205	148.6	97.4	79.9	1909.5	159.1	12
1965	88.5	117	159.3	151.6	183.9	194.7	185.4	212	189.6	113.3	102.2	65.5	1763	146.9	12
1966	74.3	80.5	126.3	149	178.3	186.3	199.7	208	170.8	147.1	99.8	84.8	1704.9	142.1	12
1967	100.7	108.3	160.2	157.9	225	197.1	209.9	199.4	142.4	161.3	92.3	94.1	1848.6	154.1	12
1968	73	95.2	143.9	172.9	188.1	183.3	230.1	210.6	189.1	162.3	102.7	98.1	1849.3	154.1	12
1969		81.5			179.1	201.1	197.1	220.8		146.3	105.3	65.7	1196.9	149.6	8
1970	91.2	98	139.2	177.2	196.1	197.2	229.1	221.2	183.3	149.5	121.8	86	1889.8	157.5	12
1971	86.4	108.6	163.5	163.5	193.2	193.3	208.5	253.6	211.3	165.7	105.2	95.4	1948.2	162.3	12
1972	90.3	106.1	151.1	191.7	168.5	192.8	232.9	236.1	202.7	157.7	101.6	88.2	1919.7	160	12
1973	73.1	62.4	93.1	88.1	145.9	147.9	195.1	204.9	179.9	181.4	102.9	102.4	1577.1	131.4	12
1974	78	92.9	115.3	191.4	201.5	194.3	226.7	237.2	187.1	174.5	131.7	111	1941.6	161.8	12
1975	108.9	123.3	164.3	177.4	188	218.6	255.1	232.7	231	176.1	141.2	90.5	2107.1	175.6	12
1976	114.5	133.4	189.1	181.8	215	247	213.1	261.4	183.5	195	164.7	145.5	2244	187	12
MÍNIMA	62.9	26.4	93.1	88.1	145.9	147.9	173.3	197.5	142.4	113.3	89.1	60.2	1196.9	131.4	8
MÁXIMA	121.7	137.6	189.1	191.7	225	247	255.1	261.4	231	195	164.7	145.5	2244	187	12
MEDIA	90.8	97.5	145	165.9	190.4	199.2	212.5	220.1	184.7	156.4	109.6	89.8	1825.1	155.2	11.8
DESV.ST	16.8	27.2	24.7	25.7	19.5	22.2	20.2	19.2	23.2	20.6	20.5	21.1	235	13.8	1

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1943			19	23	25.4	22.9	23.5	22.3	20.5	20.7	18.4	15.5		21.1	10
1944	15.2	17.4	16.2	19.4	20.9	25.6	25.1	23	22.7	18.6	17.1	16.5		19.8	12
1945	15.9	17.9	22.1	23.7	25.7	27.6	25.2	23.3						22.7	8
1950				23.9	25	25.5	22.5	23.4	22.9	23	22.2	20.9		23.3	9
1951	18.1	20.1	18.8	22.2	23.9	26.3	24.4	23.4	23.6	21.9	20.5	18.7		21.8	12
1952	20	18.5	18.4	20.7	24.7	24.9	24.4	23.2	23.1	23.5	19.3	17.4		21.5	12
1953	20.8	19.3	20.6	22.1	24	25.5	23	23	23.6	22.4	20.6	19.3		22	12
1954	19.9	20.6	21.3	24	23.9	26.3	24	23.3	23.3	21.7	20.5	18.9		22.3	12
1955	16.3	18	20.3	23.4	24.5	25.8	24.9	22.7	22.6	22.1		20		21.9	11
1956	19	20	21.4	22	24.4	24.9	23.2	23.1	22.8	23.2	20.2	18.1		21.9	12
1957	19.8	20.6	18.4	21.4	22.2	26	24.6	23.3	22.8	21.5	20.4	20.6		21.8	12
1958	16.5	18.1	17.4	22.2	25.3	25.3	24.4	22.5	21.4	19.5	18	19		20.8	12
1959	17.9	18	19.7	20.6	26.1	24.8	22.4	22.3	23.5	20.4	19.6	15.5		20.9	12
1960	17.7	17	19.9	22	22.5	25.8	23.1	22.4	24.2	21.3	19.8	16.3		21	12
1961	25.5	25.6	24.7	28.7	26	29.9	34.9	34.4	33.4	31.3	24.7	22		28.4	12
1962	23.2	22.7	23.7	28.6	26.5	28.9	32.6	36.4	31.3	28.6	25.3	23.6		27.6	12
1963	20.8	23.2	25.3	25.4	26.9	28.1	33.7	34.7	36.1	31.1	26.7	22.8		27.9	12
1964	21.2	23.1	23.4	26	27	28.6	34.4	32.6	31.6	30.8	24.4	21.2		27	12
1965	21.8	23.1	23.9	27.5	25.2	26.4	31.9	35	32.3	33	27.6	22.1		27.5	12
1966	21.3	22.1	24.4	26.8	26.8	29.5	33.6	34.5	33.5	31.4	27.4	23.6		27.9	12
1967	22.5	25.6	26.1	23.2	30	28	33.4	35.6	31.2	31	26.7	21		27.9	12
1968	22.6	26.3	25.4	27.2	26.4	29.9	34.5	33.3	32.5	31.1	26.3	23.6		28.3	12
1969		22.6			26.1	27	32.7	34.9		29.9	28	21.9		27.9	8
