COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3035 
 NOMBRE    : LORETO (DGE) 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LORETO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.01277778 ° 
 LONGITUD  : -111.3433333 ° 
 ALTITUD   : 20 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1938								19					19	19	1
1940										0	0	0	0	0	3
1941	0	1	0	0	0	0	0.5	0	135	0	0	17	153.5	12.8	12
1942	0	0	0	0	0	0	0	11	0	5.5	32	2	50.5	4.2	12
1943	0	0	0	0	0	0	15	22	94	45	0	14	190	15.8	12
1944	0	0	7	0	0	0	0	25	7.5	0	0	5	44.5	3.7	12
1945	0	0	0	0	0	0	0	44	50	10	0	0	104	8.7	12
1946	50	44	0	0	0	0	2	59	25	9	0	3	192	16	12
1947	0	0	0	0	0	0	0	23	20	0	0	0	43	3.6	12
1948	0	16	0	0	0	0	13	0	25	0	0	38	92	7.7	12
1949	11	0	0	0	0	0	4	0	58	0	0	4	77	6.4	12
1950	4	0	0	0	0	0	1.7	0	0	13	0	0	18.7	1.6	12
1951	0	0	11	0	0	0	0	20	0	46	0	22	99	8.2	12
1952	0	9	0	0	0	0	0	2	18	0	0	0	29	2.4	12
1953	0	3	0	0	0	0	3	43	0	0	5	8	62	5.2	12
1954	9	0	0	0	0	0	24	37.5	43.5	20	0	0	134	11.2	12
1955	2.5	0	0	0	0	0	0	33	0	25	5	0	65.5	5.5	12
1956	0	0	0	0	0	0	0	4	28	0	0	0	32	2.7	12
1957	4	0	12	0	0	0	32.5	0	19	34.5	0	13.2	115.2	9.6	12
1958	12	4	4	0	0	0	8.1	33.5	225	165	14	0	465.6	38.8	12
1959	0	0	0	0	0	0	0	9.5	155	0	13	42	219.5	18.3	12
1960	51.5	0	0	0	0	0	0	24.5	2	0	0	12	90	7.5	12
