COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3039 
 NOMBRE    : OJO DE AGUA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 26.32416667 ° 
 LONGITUD  : -111.9847222 ° 
 ALTITUD   : 180 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1941							0	0	14	0	0	0	14	2.3	6
1942	0	0	0	0	0	0	0.01	0.01	0	0	0	3.5	3.52	0.3	12
1943	0	0	0	0	0	0	0.01	6	7.5	5	0	7	25.51	2.1	12
1944	8	0.01	0.01	0	0	0	0.01	0.01	15	0	0.01	0.01	23.06	1.9	12
1945	0.01	0.01	0	0	0	0	33	20	14	30	0	0	97.02	8.1	12
1946			0	0	0	0	34	12	46	24		3	119	13.2	9
1947	0	0	8	0	0	0	0.01	14	51	0	0.01	0.01	73.03	6.1	12
1948	0	3.5	0	0	0	0.01	12	0	53	0	0	64	132.51	11	12
1949	24	0	0.01	0	0	0	0	5	68	0.01	0	0.01	97.03	8.1	12
1950	4	0.01	0.01	0	0.01	0	16.5	0.01	0.01	0.01	0	2	22.56	1.9	12
1951	0	0.01	0.01	0	0	0	10	45	0	12	10	5	82.02	6.8	12
1952	0.01	18.5	0.01	0	0	0	0.01	10	48	0	0.01	23	99.54	8.3	12
1953	0	40	0.01	0	0	0	9	29	0	0.01	3	25	106.02	8.8	12
1954	0.01	0.01	0.01	0	0	0	9	47	34	57	0	0	147.03	12.3	12
1955	4	0.01	0	0	0	0	13	30	30	30	0	0	107.01	8.9	12
1956	0.01	0.01	0	0	0	0	18	68	28	0	0.01	0	114.03	9.5	12
1957	16	0	20	0	0	0	10	50	17	77	0	8	198	16.5	12
