COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3040 
 NOMBRE    : EL CIRUELITO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.87805556 ° 
 LONGITUD  : -110.1130556 ° 
 ALTITUD   : 620 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2013	13	0	0	0	0	4	3	47.5	74.8	26	0	2.5	170.8	14.2	12
2014	0	0	0	0	0	33	50	56.5	97	12	0	0	248.5	20.7	12
2015	20	0	33.7	0	0	3.5	12	72.5	38.8	50	7.5	0	238	19.8	12
2016	0	0	10	1.5	0	14	6.5	44.5	77	12	0	0	165.5	13.8	12
2017	0	7.5	0	0	0	0	1.2	196	56	3.5	0	0.01	264.21	22	12
2018	3.3	3.5	0	0	0	56	10	23	45.3	1.5	0	53	195.6	16.3	12
2019	11	0	1.5	0	0	0	32.5	15	49				109	12.1	9
2022	13.7	0	0	0	0	4.1	11.5	44	55.3	4	0	0	132.6	11	12
2023	2.8	30.5	0	0	0	0	4.7	59.8	22.7	302	5	0	427.5	35.6	12
MÍNIMA	0	0	0	0	0	0	1.2	15	22.7	1.5	0	0	109	11	9
MÁXIMA	20	30.5	33.7	1.5	0	56	50	196	97	302	7.5	53	427.5	35.6	12
MEDIA	7.1	4.6	5	0.2	0	12.7	14.6	62.1	57.3	51.4	1.6	6.9	216.9	18.4	11.7
DESV.ST	7.5	10	11.2	0.5	0	19.4	16.2	53.2	22.4	102.5	3	18.6	94.9	7.5	1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2013	13	0	0	0	0	4	3	67.4	208.71	31	0	3.5	330.61	27.6	12
2014	0	0	0	0	0	33	186.5	196.61	228.01	21.01	0	0	665.13	55.4	12
2015	35.4	0	49.2	0	0	3.5	42	226.2	116.42	80.01	7.51	0	560.24	46.7	12
2016	0	0	11.7	1.5	0	14	15.51	123.01	138.51	27.7	0	0	331.93	27.7	12
2017	0	7.5	0	0	0	0	1.2	281.72	66.7	6.5	0	0.02	363.64	30.3	12
2018	3.3	3.51	0	0	0	70	15	66	163.91	1.52	0	53.01	376.25	31.4	12
2019	13.7	0	2.7	0	0	0	37	42.8	96.1				192.3	21.4	9
2022	13.7	0	0	0	0	7.6	16	149.8	105.1	6.8	0	0	299	24.9	12
2023	2.8	33	0	0	0	0	11	116.9	37.2	392.7	5	0	598.6	49.9	12
MÍNIMA	0	0	0	0	0	0	1.2	42.8	37.2	1.52	0	0	192.3	21.4	9
MÁXIMA	35.4	33	49.2	1.5	0	70	186.5	281.72	228.01	392.7	7.51	53.01	665.13	55.4	12
MEDIA	9.1	4.9	7.1	0.2	0	14.7	36.4	141.2	129	70.9	1.6	7.1	413.1	35	11.7
DESV.ST	11.6	10.9	16.3	0.5	0	23.3	58	80.5	62.8	132.4	3	18.6	157.5	12.3	1

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2013						117.47	226.39	185.85	75.42	142.68	86.01	69.97	903.79	129.1	7
2014	144.44	149.57	207.72	232.18	276.09	241.7	123.97	87.28	55.93	99.69	89.15	79.03	1786.75	148.9	12
2015	95.94	121.25	163.09	174.25	219.4	239.87	175.59	111.58	82.57	77.06	83.04	76.13	1619.77	135	12
2016	100.96	173.03	173.69	195.24	215.61	222.76	206.77	135.83	111.46	117.93	94.14	80.66	1828.08	152.3	12
2017	99	109.21	187.82	204.06	231.89	217.81	215.13	123.91	102.06	131.58	102.98	74.5	1799.95	150	12
