COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3041 
 NOMBRE    : PATROCINIO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.82083333 ° 
 LONGITUD  : -112.7972222 ° 
 ALTITUD   : 249 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	1.7	0	0	0	0	0	0	0.9	0.6	0	0	2.4	5.6	0.5	12
1962	34	0	0	0	0	0	0	13	27	9.5	0	20	103.5	8.6	12
1963	7	0	0	0	0	0	0	20	0	0	0	0	27	2.2	12
1964	0	0	0	0	0	0	23	20	0	0		0	43	3.9	11
1965	3	6	0	0	0	0	0	44.4	0	0	0	20	73.4	6.1	12
1966	10	18	0	0	0	0	12.4	0	56.4	0	0	20	116.8	9.7	12
1967	0	0	0	0	0	0	0	0.9	0	4.3	6	6	17.2	1.4	12
1968	2	1.7		0	0	0	0.6	0	0	0	0	0	4.3	0.4	11
1969		22.5			0		0	0		0	4	23	49.5	7.1	7
1971	0	2.5	0	0	0	0	12	34	6	0	0	0	54.5	4.5	12
1972	20	0	0	0	0	0	11	10.2	0	54	4	56	155.2	12.9	12
1973	11	42.5	5.4	0	0	0	0	0	0	0	0	0	58.9	4.9	12
1974	24	0	3.6	0	0	0	0	25	0	0	23	0	75.6	6.3	12
1975	15	0	0	0	0	0	0	0	0	0	0	4	19	1.6	12
1976	0	24	0	0	0	0	0	25					49	6.1	8
1977	3	0	3	0	0	0	0	35	11	0	0	0	52	4.3	12
1978	8	46	6.3		0	0	1.5	0	75	87.5	5.5	21	250.8	22.8	11
1979	0	0	3	0	0	0	0	0	85	0	7.5	0	95.5	8	12
1980	0	6	0	0	0	0	0	23	6	0	8.7	25	68.7	5.7	12
1981	42	8.5	30	0	13	0	9	34	0	4	0	0	140.5	11.7	12
1982	15	0	0	0	0	0	20	0	0	0	20	28	83	6.9	12
1983	11	29	28	0.5	0	0	0	47	20	0	3	15	153.5	12.8	12
1984	11.5	0	0	0	0	0	40	18	11	0	5	14	99.5	8.3	12
1985	28	6	0	0	0	0	0	0	0	0	17	0	51	4.2	12
1986	9.5	19	0		0	0	0	3	0	0	16	27	74.5	6.8	11
1987	0	7	0	0	0	0	0	0	11	0	0	21	39	3.2	12
1988	0	0	0	0	0	0	0	0	35	0	0	10	45	3.8	12
1989	30	0	0	0	0	0	0	12	0	5	0	10	57	4.8	12
1990	6	10	0	0	0	0		0	23				39	4.9	8
1991	27	43	0	0	0	0	0	7	0	0	9	26	112	9.3	12
1992		17	5		0	0	0	9	0	0	0	2	33	3.3	10
1993	62	33	0	0	0	0	0	0		0	6	22	123	11.2	11
1994	0	0	0		0	0	0	0	0	0	38	55	93	8.5	11
1995	10	29	0		0	0		0	25	0	19	0	83	8.3	10
1996	0	2.5	0	0	0	2	0	18	28	0	2	0	52.5	4.4	12
1997	3.5	3.5	0	1.5	0	0	0	21	26	0	17	26	98.5	8.2	12
1998	0	19	2	1.1	0	0	34	7	0	0	0	0	63.1	5.3	12
1999	0	0	0	2	0	0	0	0	4	0			6	0.6	10
2000	0	0	25	0	0	0	0	62	7	18	0	0	112	9.3	12
2001	0	3	4	0	0	0	1	0	21	0	0	0	29	2.4	12
2002	2	10	0	0	0	0	0	0	0	0	11	21	44	3.7	12
2003	0	4	0	0	0	0	1	27	47	4	3	6	92	7.7	12
2004	4	27	4	0		0	0	0	125	0	0	4	164	14.9	11
2005	21	24	0	0	0	0	23	0	0	22	0	1	91	7.6	12
2006	0	0	0		0		3	0	29	130	0	0	162	16.2	10
2007	4	0	0	0	0	0	0	0	21	0	45	6	76	6.3	12
2008	1	1	0	0	0	0	0	48	23	0	19	8	100	8.3	12
2009	0	0	0	0	0	0	2	5	35	6	0	1	49	4.1	12
2010	24	7	0	0	0	0	0	0	45	0	0	1.5	77.5	6.5	12
2011	0	0	0.3	0	0	0	4	0	0	0	30	0	34.3	2.9	12
2012	0	9.4	1.5	0	0	0	0	31	6	6	0	5	58.9	4.9	12
2013	20	0	0	0	0	0	0	22	9	10	11	5	77	6.4	12
2014	0	0	0	0	0	0	0	20	162.5	26	0	0	208.5	17.4	12
2015	7	38	12	12	0	37	7	0	43.5	9	0	0.01	165.51	13.8	12
2016	1.5	0	5	0	0	0	0	9	68	0	0	34	117.5	9.8	12
2017	5	0	0	0	0	0	0	0	130	0	0	1	136	11.3	12
2018	1	4	0	0	0	0	0	23	14.1	52	0	3.5	97.6	8.1	12
2019	19.5	6	14.2	0	0	0	0	0	6	0	242	27	314.7	26.2	12
2020	1	9	84	0	0	0	0	10	0	0	0	14	118	9.8	12
2021	32	0	0	34	0	0	0	17.5	23	0	0	57	163.5	13.6	12
2022	0	0	0	0	0	0	2	0	89	0	0	2.5	93.5	7.8	12
2023	15	6	0	0	0	0	0	120	0	0	0	0	141	11.8	12
2024	0	12	2										14	4.7	3
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	4.3	0.4	3
MÁXIMA	62	46	84	34	13	37	40	120	162.5	130	242	57	314.7	26.2	12
MEDIA	9.1	8.8	3.9	0.9	0.2	0.7	3.4	13.3	23	7.5	9.9	11	87.3	7.6	11.4
DESV.ST	12.7	12.5	12.2	4.8	1.7	4.8	8.3	20.3	35.3	22.1	32.6	14.5	58.4	4.9	1.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	1.7	0	0	0	0	0	0	0.9	0.6	0	0	3.1	6.3	0.5	12
1962	34	0	0	0	0	0	0	13	48.04	9.51	0	34.42	138.97	11.6	12
1963	8	0	0	0	0	0	0	25.53	0	0	0	0	33.53	2.8	12
1964	0	0	0	0	0	0	25.5	20	0	0		0	45.5	4.1	11
1965	7.5	6	0	0	0	0	0	59.1	0	0	0	50.8	123.4	10.3	12
1966	10	33.43	0	0	0	0	12.4	0	69.4	0	0	20.01	145.24	12.1	12
1967	0	0	0	0	0	0	0	3.1	0	4.3	10	6.6	24	2	12
1968	2	2.31		0	0	0	1.9	0	0	0	0	0	6.21	0.6	11
1969		22.5			0		0	0		0	4.5	28	55	7.9	7
1971	0	2.5	0	0	0	0	12	103	6	0	0	0	123.5	10.3	12
1972	22	0	0	0	0	0	11	16.2	0	92	4	56	201.2	16.8	12
