COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3042 
 NOMBRE    : LAS POCITAS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.39166667 ° 
 LONGITUD  : -111.1083333 ° 
 ALTITUD   : 50 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1952									16	2.7	4	17.3	40	10	4
1953	0	0.01	0	0	0	0	9	13.5	29.8	18	8.2	17	95.51	8	12
1954	12.5	0	0	0	0	0	54.3	21.6	20	0	0	0	108.4	9	12
1955	27	0	0	0	0	0.01	0	5.5	10	40	1.2	0	83.71	7	12
1956	4.5	0	0	0	0	3	2.5	30	29	2	1.2	0	72.2	6	12
1957	0.01	0	26	0	0	0	2.5	13.5	0.01	10	0	0.01	52.03	4.3	12
1958	17.5	0	7.5	0.01	3.5	0.01	3.5	25	27.1	15	6	0.01	105.13	8.8	12
1959	0.01	0.01	0	0	0	0.01	0.01	62.3	14.5	0	0	42.5	119.34	9.9	12
1960	51	0	0	0	0	0	0	30.5	8	5.5	0	6.2	101.2	8.4	12
1961	12.2	7	0	0	0	0	2.1	20.5		0	0	1	42.8	3.9	11
1962	11.5	0	0	0	0		0	0	79.5	0	0	10.5	101.5	9.2	11
1963	0	0	0	0	0	0	3.5	21	16.5	1	0	4	46	3.8	12
1964	0	0	1	0	0	0	7.5	4	6	37		19	74.5	6.8	11
1965	1	12	3	0	0	0	0.01	17.2	22.5	9.5	0	29	94.21	7.9	12
1966	0	6.5	0	0	0	0	2	23	70	0	0	29.5	131	10.9	12
1967	0	1.2	0	0	0	0	1.5	27.5	0	27	21.5	5	83.7	7	12
1968	8	12.7	57	1	0	0	0.01	1.5	0	48	0	1	129.21	10.8	12
1969		4	0	0		0	7	3	13	11	0	21	59	5.9	10
1970	0	4	1.2	1.2	0	0	0	6	65.3	0	0	4	81.7	6.8	12
1971	0	1.5	0	0	0	0	0	33	30.5	0.3	0	0	65.3	5.4	12
1972	17	0	0	0	2.5	0	20	36	0	100	27	7	209.5	17.5	12
1973	16.5	0	0	0	0	0	0	3.5	50	0	0	0	70	5.8	12
1974	12.5	0	0	0	0	0	14	4	0	0	59	0	89.5	7.5	12
1975	7	11	0	0	0	0	0	12	0	0	0	5	35	2.9	12
1976	0	0	0	0	0	0	0	25.2	20.7	12	0	0	57.9	4.8	12
1977	0	0	0	0	0	0	0	67.5	3	3	2	0	75.5	6.3	12
1978	0	2	0	0	0	0	30.1	0	0	3	0	20	55.1	4.6	12
1979	55	20	0	0	0	0	0	0	65	0	0	0	140	11.7	12
1980		31	0	0	0	0	0	0	0	1.5	0	0	32.5	3	11
1981	100	0	8	0	0	0	3	0	0	2	0	0	113	9.4	12
1982	0	0	0	0	0		1	0	45.5	2.5	7	49	105	9.5	11
1983	6	4	12	0	0	0	10.5	72.5	40	0	1	82	228	19	12
1984	4	0	0	0	0	0	36	22	15	8	0.2	30	115.2	9.6	12
1985	9	0	1.5	0	0	0	0	6.6	6.5	0	6.5	0	30.1	2.5	12
1986		0		0	0	0	0	10.5	20.5	0		12.5	43.5	4.8	9
1987	0	0	0	0	10	0	0	0	4.5	6.7	0		21.2	1.9	11
1988	0	0	0	0	0	0	0	0	6	0	0		6	0.5	11
1989	21.8	23.8	0	0	0	0	0		0	0			45.6	5.1	9
1990	0			0	0	0	0	0	28.8				28.8	4.1	7
1991	28.2	6	0			0	0	0	0	0	16	16	66.2	6.6	10
1992	170	10.3	9	0	0	0	35	37	25	0	0	7	293.3	24.4	12
1993	35	16	0	0	0	0	0	120	0	0	5	7	183	15.2	12
1994	0	0	0	0	0	0	0	8	0	1	0	80	89	7.4	12
