COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3043 
 NOMBRE    : PUERTO ADOLFO LOPEZ MATEOS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.19527778 ° 
 LONGITUD  : -112.1111111 ° 
 ALTITUD   : 10 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965						0	2	5	12	0	0	20.5	39.5	5.6	7
1966	3	0	0	0	0.01	0	6.5	4	8	0	0	9	30.51	2.5	12
1967			0	0	0	0	0	0	0	0.01	2	20	22.01	2.2	10
1968	0	0	0	1.5	1.5	0	0	0	0	0	0	4	7	0.6	12
1969		1	7	0.5	0	0	0	0	0			3	11.5	1.3	9
1970	0.1	0	3.5	0.4	0.1	0.1	1	0	15.5	0.3	0.2	0.8	22	1.8	12
1971	0.3	0	0	0	0.1	0	0	48.5	4	7	0.1	0	60	5	12
1972	7.5	0.2	0.2	0	0	0	1	0.1	6	26.8	8	60.3	110.1	9.2	12
1973	10.5	33	0.7	0	0.5	0	9.3	0	0.5	0.1	0	0.2	54.8	4.6	12
1974		0	0	0	0	0	5.5	19	125	0.1	40	17	206.6	18.8	11
1975	10	0.1	0.2	0	0	0	0		0	0.1	0	0.1	10.5	1	11
1976	0.1	14.8	0.1	0.1	0	0		13.5	4.7	0	0.1	2.8	36.2	3.3	11
1977	4	0	0	0.1	0	0	0	0					4.1	0.5	8
1978	0	0	0	0	0	0	0	0	86	0	0	18.5	104.5	8.7	12
1979	70	0	0	0	0	0	13	0	0	0	0	0	83	6.9	12
1980	0	5	0	0	0	0	0	0					5	0.6	8
1981	240	0		0	0	0	0		0	0	0	0	240	24	10
1982	0	0	0	0	0		0	0	0	0	36.5	0	36.5	3.3	11
1983	12.5		33.5	0	0	0	180	4.5	0	0	0	0	230.5	21	11
1984	13.3		0	0	0	0	4.3	40		19	0	8	84.6	8.5	10
1985	50		0	0	0	0		0	0	0	5	0	55	5.5	10
