COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3047 
 NOMBRE    : PUNTA ABREOJOS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.71555556 ° 
 LONGITUD  : -113.5741667 ° 
 ALTITUD   : 20 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1955				0	0.5	0.01	0	0	0.2	0	0	0.5	1.21	0.1	9
1956	1	1	0	0	0	0	0.01	0	0	0	0	3	5.01	0.4	12
1957	0	0	0		0	0	0	0	0	0	0	0	0	0	11
1958	0	15	0	0	0	0	0	0	0.01	3	0.01	0	18.02	1.5	12
1959	0	6	0.01	0.01	0.01	0	0	0	0.01	0	85	80	171.04	14.3	12
1960	55	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01		55.08	5	11
1961	0.01	0.01	0.01	0	0	0.01	0	0.01	8	7	0.01	21	36.06	3	12
1962	94	19			0	0	0.2	0	25	0	0.01	10	148.21	14.8	10
1963	5	8	0.01	0.01	0	0	1	0.01	0	0	1	0.01	15.04	1.3	12
1964	0.01	0	0	0.01	0	0	2.5	6.5	0	0.01	0.01	0	9.04	0.8	12
1965	8	43	0.01	1	0	0	0	0.01	0.01	0	0	38	90.03	7.5	12
1966	3	10	0.01	0.01	0.01	0	7	0.01	7	0	0.01	12	39.05	3.3	12
1967	0.01	0	0	0.01	0.01	0	0.01	90	0.01	4	30	20	144.05	12	12
1968	10	8	5	0	0	0.01	0.01	0	0	0	0	3	26.02	2.2	12
1969	30	14		0	0	0	0	0		0	20	20	84	8.4	10
1970	0	0	4	0	0	0	0	0	15	13	0	0	32	2.7	12
1971	0	0	0	0	0	0	0	15	0.5	0		0	15.5	1.4	11
1972	10	0	0	0	0	0	0	0	0	42	0	30	82	6.8	12
1973	5	43	5	0	0	0	0	0	0	0	0	0	53	4.4	12
1974	25	0	0.3	0	0	0	0	30	0	0.5	0	0	55.8	4.7	12
1975	5.5	0	0	0	0	0	0	0	0	0	0	2.5	8	0.7	12
1976	0	5.5	0	0	0	0	0	5	32	0	0	2.5	45	3.8	12
1977	17	0	4	0	5	0	0	40	0	8	0	0	74	6.2	12
1978	6	19	5	0	0	0	0	0	0	25	10	10	75	6.2	12
1979	12	0	0	0	0	0	0	0	0	0	0	0	12	1	12
1980	14.5	2.5	0	0	0	0	9	0		0	0	19	45	4.1	11
1981	13.2	4.5	6	0	0	0	1	0	0.5	0	3.5	0	28.7	2.4	12
1982	8	0	0	0	0	0	115	0	0	0	19.5	20	162.5	13.5	12
1983	12	12.5	12.5	0	0	0	0	1.5	3	0	5.5	11	58	4.8	12
1984	13	0	0	0.01	0	0	22.5	0	0.01	0	0	9	44.52	3.7	12
1985	0.3	0.3	0	0	0	0	0	0	0	0	12.5	0.01	13.11	1.1	12
1986					0	0.01	0.01	0.01	0	0	3	10	13.03	1.6	8
1987			0	0	0	0	0	0	0.2	0	0	0.01	0.21	0	10
1988	0	0		0.01	0		0	0	10	0	0		10.01	1.1	9
1989	0.01	0.01	0	0	0	0	0	0	0	10.5	0	4	14.52	1.2	12
1990	0.2	3	0.01	0	0	0	0	0	0.01				3.22	0.4	9
1991	36	30	0.01	0.01	0	0	0	0	0.01	0	0	27	93.03	7.8	12
1992	43.5	0.5	0.01	0	0	0	0	0	0	0		21	65.01	5.9	11
1993	64	50	0	0	0	0	0	0	0	0	0		114	10.4	11
1994	0	5.1	27	0	0	0	0	2.8	0	0	1	11	46.9	3.9	12
1996		0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	11
1997	0	0.3	0	0	0	0	0	0	39	1	3	3.5	46.8	3.9	12
1998	6	4.5	3	0.01	0	0	0.01	23	0.1	0	0	0	36.62	3.1	12
1999	0	0	0			0	0	0	0	0.01	0.01	0	0.02	0	10
2000	0.01	0.01	0	0	0	0	0	14	0	4	5	6	29.02	2.4	12
2001	0.01	0.01	0.01	0	0.01	0	0	0	0	0	0	0	0.04	0	12
