COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3048 
 NOMBRE    : BOCA DE LA SIERRA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.38527778 ° 
 LONGITUD  : -109.8169444 ° 
 ALTITUD   : 467 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2016				0	6.9	0	64	68	103	26	0	0	267.9	29.8	9
2017					0	0	94	22.5	351	22	0	0	489.5	61.2	8
2018	10	0	0	0	0	90	27	30	43	48	7	22	277	23.1	12
2020	1.8	16.2	0.01	0.01						0.01	0	0	18.03	2.6	7
2021	6	0	0	0	0	20	0	95	0	0	0	0	121	10.1	12
2022	0	0	0	0	0	21	23	40	60	0	0	0	144	12	12
2023	0	0	0	0	0	0	10	60	63	160		0	293	26.6	11
MÍNIMA	0	0	0	0	0	0	0	22.5	0	0	0	0	18.03	2.6	7
MÁXIMA	10	16.2	0.01	0.01	6.9	90	94	95	351	160	7	22	489.5	61.2	12
MEDIA	3.6	3.2	0	0	1.2	21.8	36.3	52.6	103.3	36.6	1.2	3.1	230.1	23.6	10.1
DESV.ST	4.4	7.2	0	0	2.8	34.9	35.7	27.1	125.8	57.3	2.9	8.3	152.3	19.2	2.1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2016				0	7.91	0	89	261	133.4	53	0	0	544.31	60.5	9
2017					0	0	195	68.7	363.5	32	0	0	659.2	82.4	8
2018	10	0	0	0	0	126	31	55.5	257	71	7	22	579.5	48.3	12
2020	1.8	16.22	0.03	0.03						0.05	0	0	18.13	2.6	7
2021	6	0	0	0	0	20	0	295	0	0	0	0	321	26.8	12
2022	0	0	0	0	0	21	65.5	183.5	215	0	0	0	485	40.4	12
2023	0	0	0	0	0	0	10	120	76	248		0	454	41.3	11
MÍNIMA	0	0	0	0	0	0	0	55.5	0	0	0	0	18.13	2.6	7
MÁXIMA	10	16.22	0.03	0.03	7.91	126	195	295	363.5	248	7	22	659.2	82.4	12
MEDIA	3.6	3.2	0	0	1.3	27.8	65.1	163.9	174.2	57.7	1.2	3.1	437.3	43.2	10.1
DESV.ST	4.4	7.3	0	0	3.2	49.1	71.9	99.7	131.2	88.6	2.9	8.3	213.2	25.1	2.1

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2016				35	36.3	38.9	38.5	36.8	34.2	34.4	31	27.1		34.7	9
2017					30.8	37.8	36.5	37.9	34.5	32.1	27.7	25.5		32.9	8
2018	27.5	27	30.7	33.6	36.9	37.3	39.4	38.7	32.7	29.9	29.2	26.5		32.5	12
2020	20.6	19.9	21.6	23.1						36.7	33.2	28.9		26.3	7
2021	29.8	29.2		30.5	35.3	38	33.8	35.5			35.2	23.3		32.3	9
2022	29.5	24	25.4	25.5	28.5	34.8	41.8	41.7	39.6	35.7	25.9	20.4		31.1	12
2023	28.6	24.2	30.4	30.8	32.7	39.8	40.3	40.6	35.8	36.7		24.8		33.2	11
MÍNIMA	20.6	19.9	21.6	23.1	28.5	34.8	33.8	35.5	32.7	29.9	25.9	20.4		26.3	7
MÁXIMA	29.8	29.2	30.7	35	36.9	39.8	41.8	41.7	39.6	36.7	35.2	28.9		34.7	12
MEDIA	27.2	24.9	27	29.8	33.4	37.8	38.4	38.5	35.4	34.2	30.4	25.2		31.9	9.7
DESV.ST	3.8	3.5	4.4	4.6	3.3	1.7	2.9	2.3	2.6	2.7	3.5	2.8		2.7	2

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2016				43	41	43	41	40	40	37	36	31		39.1	9
2017					37	40	40	41	39	37	31	30		36.9	8
2018	30	31	33	39	40	50	45	42	38	35	33	30		37.2	12
2020	25	25	31	27						42	38	33		31.6	7
2021	34	32		35	37	39	40	38			36	29		35.6	9
2022	32	27	29	29	32	38	46	44	43	39	33	24		34.7	12
2023	32	31	33	36	36	43	43	44	42	40		26		36.9	11
MÍNIMA	25	25	29	27	32	38	40	38	38	35	31	24		31.6	7
MÁXIMA	34	32	33	43	41	50	46	44	43	42	38	33		39.1	12
MEDIA	30.6	29.2	31.5	34.8	37.2	42.2	42.5	41.5	40.4	38.3	34.5	29		36	9.7
DESV.ST	3.4	3	1.9	6	3.2	4.4	2.6	2.3	2.1	2.5	2.6	3.1		2.4	2

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2016				22.3	20.6	21.4	21.3	23	23.4	17.1	13.1	7.3		18.8	9
2017					10.5	16.9	19.4	18.5	17.7	13.8	9.2	7.8		14.2	8
2018	9.7	11.1	13.2	14.1	21.7	24.1	24.1	22.8	17.2	13.5	11.9	8.7		16	12
2020	5.7	5.9	6.7	7.1						19.4	16.9	8.4		10	7
2021	8.7	11.3		17.1	19.4	25.3	24.5	26			17	12.5		18	9
2022	18.2	11.4	11.4	11.4	13.1	21.9	24.6	27.5	26.6	25.8	12.6	8.7		17.8	12
2023	10.8	7.1	11.2	12.2	12.7	17.2	22.9	21.3	20.2	19.6		15.1		15.5	11
MÍNIMA	5.7	5.9	6.7	7.1	10.5	16.9	19.4	18.5	17.2	13.5	9.2	7.3		10	7
MÁXIMA	18.2	11.4	13.2	22.3	21.7	25.3	24.6	27.5	26.6	25.8	17	15.1		18.8	12
MEDIA	10.6	9.4	10.6	14	16.3	21.1	22.8	23.2	21	18.2	13.4	9.8		15.8	9.7
DESV.ST	4.6	2.6	2.8	5.2	4.8	3.5	2.1	3.2	4	4.6	3	2.9		3	2

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2016				17	18	19	19	20	19	13	10	4		15.4	9
2017					7	12	12	12	15	10	5	3		9.5	8
2018	5	8	10	10	17	19	17	17	15	10	8	5		11.8	12
2020	0	-1	0	2						13	11	5		4.3	7
2021	6	9		11	16	21	21	23			14	5		14	9
2022	14	9	10	9	10	18	20	23	21	22	7	5		14	12
2023	8	5	9	8	11	12	20	20	19	18		14		13.1	11
MÍNIMA	0	-1	0	2	7	12	12	12	15	10	5	3		4.3	7
MÁXIMA	14	9	10	17	18	21	21	23	21	22	14	14		15.4	12
MEDIA	6.6	6	7.2	9.5	13.2	16.8	18.2	19.2	17.8	14.3	9.2	5.9		11.7	9.7
DESV.ST	5.1	4.2	4.9	4.8	4.4	3.9	3.3	4.2	2.7	4.8	3.2	3.7		3.8	2

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2016				28.6	28.4	30.1	29.9	29.9	28.8	25.8	22	17.2		26.7	9
2017					20.6	27.3	28	28.2	26.1	23	18.4	16.6		23.5	8
2018	18.6	19	22	23.9	29.3	30.7	31.8	30.8	25	21.7	20.6	17.6		24.2	12
2020	13.2	12.9	14.2	15.1						28	25	18.6		18.1	7
