COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3049 
 NOMBRE    : SAN ANTONIO SUR 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.80694444 ° 
 LONGITUD  : -110.0583333 ° 
 ALTITUD   : 400 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1938						4.5		71.6	53.5	18	7	0.01	154.61	25.8	6
1939	4	0	0	0	0	34	20.7	53.3	87.5	21	5	33	258.5	21.5	12
1940	3	0	0.01						10.8	10	10	8.4	42.21	6	7
1953					0	0.01	22.4	64	12.5	17.1	8	4	128.01	16	8
1954	6.8	1	0.01	0.01	0	0.01	85	89.4	17	23.5	0	0	222.73	18.6	12
1955	34	0	0	0	0	0	42.5	25.5	20.6	34	0.7	0	157.3	13.1	12
1956	2.4	0	0	4.8	2	33.4	62.8	33.1	11	29.6	1.9	1.4	182.4	15.2	12
1957	3	0	17.1	0	0	0	32.5	29.3	16	33.1	0.3	33.6	164.9	13.7	12
1958	6.2	4.9	16.6	0	0.5	14	97.5	34.2	87	99.8	28	5.2	393.9	32.8	12
1959	2.3	7.2	0	0	0	14.2	48.5	27.2	37.4	0	2.5	12.9	152.2	12.7	12
1960	57	0	0	0	0	0	16.5	30.2		3.8	2.8	9.9	120.2	10.9	11
1961	28.9	0	0	0.5	0	0	49	39.1	50.7	35.2	0	11.5	214.9	17.9	12
1962	11	0	0	0	0	0	1.7	10.4	93.3	8.2	0	0.9	125.5	10.5	12
1963	6.4	0	0	0	0	0	63.9	19	41				130.3	14.5	9
1964			0	0	0				73	67.7	0	0	140.7	20.1	7
1965	3.2	3.2	0	0	0	1.6	16	46.5	22	0	0	23.3	115.8	9.7	12
1966	7.4	7.2	0	0	0	0	1.3	36.3	55.2	0	0	40	147.4	12.3	12
1967	7.5	0	0	0	0	0	70	34.8	32.8	7.5	0	20.4	173	14.4	12
1968	19	35	29.8	0.4	0	0	11.4	54.1	24.4	20.8	6.2	3.6	204.7	17.1	12
1969		12			0	0	22.2	22.2			0		56.4	9.4	6
1970	7.3	6	1	0	0	1.5	15.5	57	47.3	0	4.3	0	139.9	11.7	12
1971	0	0	0	0	0	21.5	7.1	47	23	11	0	17.1	126.7	10.6	12
1972	20.7	0	0	0	0	0	41.1	70.8	44.5	46.1	20	50.8	294	24.5	12
1973	8.5	20	2	0	0	0	9.8	69.9	69.6	9.6	0	0	189.4	15.8	12
1974	0.6	0	0	0	0	0	31.7	37.8	19.8	36.8	56.8	12.9	196.4	16.4	12
1975	12.8	9.7	0	0	0	0	67.4	109.2	31	7.7	4.7	0	242.5	20.2	12
1976	0.6	0	0	0	0	5.5	13.5	93	239.2	13.9	4	11.5	381.2	31.8	12
1977	0.6	0	0	0	0	0	3.6	47.4	14	50.2	3.1	0	118.9	9.9	12
1978	0	19.7	0.3	0	0	0	63.5	70	19.6	8.5	0	7	188.6	15.7	12
1979	39.4	9.8	0	0	27.3	0.5	5.8	54.3	36.6	0	0	1.4	175.1	14.6	12
1980	0	0	1.2	0	0	9.2	6.2	18	68.2	5.5	0	0	108.3	9	12
1981	59	0	12.1	0	0	0	55.3	79.5	51	119.2	0	0.8	376.9	31.4	12
1982	1.2	0	0	0	0	0	56.3	43.4	152.6	0	4.9	45.5	303.9	25.3	12
1983	10.2	11.8	42.2	0	0	0	55.2	115.8	39.4	29.2	3.3		307.1	27.9	11
1984	24.5	0	0	0	0	11.8	34.5	52.1	20	4	0	19.6	166.5	13.9	12
1985	22.7	0.2	0.01	0	0	2.5	45.6	28.2	63.5	44.8	6.6	0	214.11	17.8	12
1986	0	0	0	9.4	0.01	0	41.8	30.4	14	54.7	0	22.3	172.61	14.4	12
1987	1.3	0	0	1.3	1.3	0	35	34.7	54.5	32.1	9.3	4.3	173.8	14.5	12
1988	0	0	0	0	0	0.01	21.2	8	24.2	11.8	0	0	65.21	5.4	12
1989	41.2	7.8	0	0			57.5	46	44.8	2.3	12.7	30.5	242.8	24.3	10
1990	1	4.7	0.5	0	0	7.5	48.5	26.4	60.6				149.2	16.6	9
1991	0.5	2.6	0	0	0	0	1.5	20.1	81.6	12.5	18.5	22.5	159.8	13.3	12
1992	25.7	9.3	4.6	0	0	0	45.3	47.4	34.6	30.7	7.6	91.4	296.6	24.7	12
1993	21.6	1.3	0	0	0	0.6	23.8	30.8	64.8	2.3	10.4		155.6	14.1	11
1994	1.8	0	0	0	0	0	24.4	38.1	53.9	14.4	29.8	11.4	173.8	14.5	12
1995		0.5	0	0	0	0	73.6	39.5	71.6	0	1.7	0	186.9	17	11
1996	0	0	0	0	0	0	11.6	74.3	145.4	0	11.8	0	243.1	20.3	12
1997	34.3	0	0.2	0.3	0	11.4	29.6	60	57.8	1	38	4.5	237.1	19.8	12
1998	0	3.8	0	0	0	0	40	45.7	143.3	15.7	0	0	248.5	20.7	12
1999	0	0	0	0	0	49.2	11.5	42	17	0	0	0	119.7	10	12
2000	0	0	2.8	0	0	19.4	25.8	51.3	7.1	61.8	27.8	0	196	16.3	12
2001	0.6	0	0.4	0	0	0	33.6	29.8	167.4	6.1	18.1	0	256	21.3	12
2002	0	20	0	0	0	0	45.3	36.7	50.6	0	1.6	1.8	156	13	12
2003	6.2	16.2	0	0	0	0	48.8	158.2	224.6	3.8	0	0	457.8	38.1	12
2004	31.5	5.6	6.8	0	0	0	25.4	61.3	13.4	3.8	2.3	3.3	153.4	12.8	12
2005	6.2	46.3	0	0	0	0	33.5	42.6	31.5	0	0	0	160.1	13.3	12
2006	18.7	0	0	0	0	0.01	51.6	57.6	256	37.3	0	1	422.21	35.2	12
2007	7.8	0	0	0	0	0.7	56.8	6.3	381.1	21.4	24.6	5.8	504.5	42	12
2008	0	0	0	0	0	0.01	43.5	60.8	35.8	44.3	1.3	0	185.71	15.5	12
2009	0.01	0.01	0.01	0	0	0	1.6	55	68.6	27.6	0	16.8	169.63	14.1	12
2010	1.8	10.4	1.2	0	0	0	0.3	71.6	61.4	0	0	0	146.7	12.2	12
2011	0	0	0	0	0	0.5	32.5	12.7	31.8	14.2	25.6	0	117.3	9.8	12
2012	0.01	4.4	0	0	0	0	10.4	37.4	81.6	26.6	20.2	0	180.61	15.1	12
2013	2.5	0	0	0	0	0.6	2.2	17.5	68.2	11.4	0	3.4	105.8	8.8	12
2014	0.01	0	0	0	6	0.01	71.6	37.8	123.8	47.5	0.01	0	286.73	23.9	12
2015	7.3	0.01	45.3	1.2	0.01	12.3	44.8	65.7	112	33.6	15.8	1.2	339.22	28.3	12
2016	0.01	0.01	19.3	0.7	3.4	0	12.2	39.4	55.8	31.6	6.4	0.01	168.83	14.1	12
2017	0	11.2	2.5	0	0	0	8	172.6	144.5	6	0	0.01	344.81	28.7	12
2019	16.2	0	2.7	0	0	0	28	27	61.8	52	84.5	0	272.2	22.7	12
2020		0	0		0					0	0	0	0	0	6
2021	0												0	0	1
2022	0	0	0	0	0.01	0	9.4	64.2	53.4	9.2	0.01	0	136.22	11.4	12
2023	29.44	1.8	0.01	0	0	0	15.4	50.8	21.8	261.4	4.3	0.01	384.96	32.1	12
2024	0.8	0.01	0.01	0	0	19.2	26.8	61.6	29.8	2.6			140.82	14.1	10
MÍNIMA	0	0	0	0	0	0	0.3	6.3	7.1	0	0	0	0	0	1
MÁXIMA	59	46.3	45.3	9.4	27.3	49.2	97.5	172.6	381.1	261.4	84.5	91.4	504.5	42	12
MEDIA	9.8	4.2	3	0.3	0.6	4	32.9	49.6	66.2	24.2	7.9	8.9	199	17.3	11.2
DESV.ST	14	8.3	8.8	1.3	3.4	9.3	22.9	29.8	65.3	37	14.2	15.8	99.1	8.1	2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1938						4.5		231.66	164.31	18.52	12.5	0.02	431.51	71.9	6
1939	6.61	0	0	0	0	40.3	42.42	188.52	261.24	54.7	25.01	50.5	669.3	55.8	12
1940	3.03	0	0.01						15.3	25.9	22	9.9	76.14	10.9	7
1953					0	0.02	42.25	81.55	25.01	28.44	18.05	4.89	200.21	25	8
1954	11.13	2.05	0.03	0.01	0	0.02	130.55	157.18	51.45	54.6	0	0	407.02	33.9	12
1955	68.9	0	0	0	0	0	44.9	78	68.5	34	0.7	0	295	24.6	12
1956	2.4	0	0	5.1	2	52.9	232.4	138.2	38.1	40.9	1.9	1.5	515.4	43	12
1957	3.2	0	18.6	0	0	0	42.3	136.8	41	53.5	0.3	34.4	330.1	27.5	12
1958	6.3	5.9	21.7	0	0.5	31.7	169.6	112.5	168.9	140	36.5	13.7	707.3	58.9	12
1959	2.3	7.2	0	0	0	19.7	86.5	108.5	80.9	0	2.5	27.4	335	27.9	12
1960	125	0	0	0	0	0	31	95		5.9	2.8	22.5	282.2	25.7	11
1961	39.3	0	0	0.5	0	0	112.5	131.4	149.5	35.9	0	21.4	490.5	40.9	12
1962	11	0	0	0	0	0	2.9	27.6	255.1	12.4	0	2.2	311.2	25.9	12
1963	7.8	0	0	0	0	0	270.9	107	97.2				482.9	53.7	9
1964			0	0	0				121.6	184.5	0	0	306.1	43.7	7
1965	3.2	3.4	0	0	0	1.6	35.5	187.6	44.2	0	0	71.9	347.4	29	12
1966	7.4	9	0	0	0	0	1.6	202.3	143.6	0	0	41.5	405.4	33.8	12
1967	10	0	0	0	0	0	70	150.7	84	14.7	0	89.9	419.3	34.9	12
1968	28.8	70.5	34.26	0.47	0	0	36.96	130.89	42.48	40.52	8.39	5.44	398.71	33.2	12
1969		14.8			0	0	29.1	50.9			0		94.8	15.8	6
