COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3051 
 NOMBRE    : SAN FELIPE 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.10833333 ° 
 LONGITUD  : -109.8541667 ° 
 ALTITUD   : 380 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1939		0	0	0	0	0	0	21	194	0.2	7.5	24	246.7	22.4	11
1940	10	0	0	0	0	0	0	16	15	19	23		83	7.5	11
1941	1	0	0	0	0	0	1	0	370	0			372	37.2	10
1942		0	0	0	0	0	0	11	222	184	0	0	417	37.9	11
1943	0	0	0	0	0	0	40	51	388	30.8	27.7	30	567.5	47.3	12
1944	0.1	7.7	0	0	0	1	2.5	5	29.2	7.2	0	0.7	53.4	4.4	12
1945	0	0	0	0	50	0	0	28.2	31	32	0	4	145.2	12.1	12
1946	0	0	0	0	0	0	5	10	40	0	0	10	65	5.4	12
1947	0	0	0	0	0	0							0	0	6
1948	0	0	0	0	0	125	50	30	60	30	0	24	319	26.6	12
1949	33	0	0	0	0	21	10	20	65	32	0	8	189	15.8	12
1950	9	0.1	0	0	0	0	285	12	35	10	4	4	359.1	29.9	12
1951	8	0	0	0	0	0	25	22	24	50	2	15	146	12.2	12
1952	0	0	0	30	0	0	30	35	150	0	0	25	270	22.5	12
1953	0	0	0	0	0	0	15	60	40	20	10	0	145	12.1	12
1954	0	0	0	0	0	0	500	20	90	60	0	0	670	55.8	12
1955	40	0	0	0	0	0	9	63	12	14	0	0	138	11.5	12
1956	0	0	0	25	0	20	50	80	48	20	8	0	251	20.9	12
1957	12	0	20	0	0	0	0	30	70	25	0	15	172	14.3	12
1958	16	0	10	0	0	0	44	80	150	230	8	15	553	46.1	12
1959	7	10	0	0	0	7	12	65	160	23	0	56	340	28.3	12
1960	50	0	0	0	0	0	33	86	0.5	9	0	9	187.5	15.6	12
1961	10.7	0	0	0	0	0	0.01	3.8	1.4	2	0	1	18.91	1.6	12
1962	0	0	0	0	0	0	0	1.5		0.2	0	0.6	2.3	0.2	11
1963	0.9	0	0		0	0	2	6	4.5	0.7	0.1	0.7	14.9	1.4	11
1964	0	0	0	0	0	0	15	40	70	73	0	0	198	16.5	12
1965	0	4	0	0	0	0	2	40	40	0	0	20	106	8.8	12
1966	0.6	0	0	0	0	0	12	35	30	0	0	7.5	85.1	7.1	12
1967	1	0	0	0	0	0	0	78	4	20	5		108	9.8	11
1968	4	7	20	0	0	0	40	30	2	5	0	1.3	109.3	9.1	12
1969		5			0	0	8	34			0	6	53	7.6	7
1970	2		0	0	0	0	70	9	100	0	35	0	216	19.6	11
1971	0	0	0	0	0	0	0	20	100	40	0	9	169	14.1	12
1972	7	0	0	0	0	0	9.5	25	20	88.5	0	80.5	230.5	19.2	12
1973	11	0	0	0	0	0	0	60	170	0	0	0	241	20.1	12
1974	0	0	0	0	0	0	25	42	10	60.5	111	15	263.5	22	12
1975	5	0	0	0	0	0	33	44	3.6	2	0	0	87.6	7.3	12
1976		0	0	0	0	0	28	28	180	2.8	4	18	260.8	23.7	11
1977	0	0	0		0	0	0		0	42	0	0	42	4.2	10
1978	0	0	0	2	0	0	34	21	43	27	0	14	141	11.8	12
1979	43	5.5	0	0	4	0	94	36	124	0	0	25.5	332	27.7	12
1980	0	0	0	0	0	0	29	20	47	27	0	0	123	10.2	12
1981	53	10	0	0	0	0	22	80	54	120	0	0	339	28.2	12
1982	0	0	0		0		12	3.5	335	0	3	104	457.5	45.8	10
1983	23	0	43	0	0	0	24	149	40	17.5	3	4	303.5	25.3	12
1984	23	0	0	0	0	0	129	43.5	84	14.5	0	29.5	323.5	27	12
1985	60	0	2	0	0	0	23	41	56	54	0	0	236	19.7	12
1986	0	29	0	13	0	0	28	70	31	31	0	0	202	16.8	12
1987	0	2	0	4	0	0	29	19	26.5	9	12	9.5	111	9.2	12
1988	0	0	0		0		20	16	30	4	0	0	70	7	10
1989	67	23	0	0	0	0	25	73	34	0	25	17	264	22	12
1990	14	3	1	0	0	5	104	77	58				262	29.1	9
1991	1	8	0	0	0	0	0	29	218	17	46	39	358	29.8	12
1992	23	6	0	0	0	0	14	67	95	16	2	18	241	20.1	12
1993	5	0	0	0	0	0	8	82	64	35	337	0	531	44.2	12
1994	6	0	0	0	0	0	6	47	9	20	20	20	128	10.7	12
1995	0	0	0	0	0	0	0	173	250	0	3	0	426	35.5	12
1996	0	0	0	0	0	0	0	120	160	0	1	0	281	23.4	12
1997	45	0	0	3	0	0	46	28.5	160	0	18	0	300.5	25	12
1998	0	0	0	0	0	0	47	80	307	50	0	0	484	40.3	12
1999	0	0	0	0	0	20	8	180	105	0	0	0	313	26.1	12
2000	0	0	0	0	0	20	3	54	20	22	4	0	123	10.2	12
2001	0	0	22	0	0	0	4	50	300	35	0	0	411	34.2	12
2002	0	16	0	0	0	0	0	42	25	35	5	0	123	10.2	12
2003	0	0	0	0	0	0	43	100	300.8	0	0	0	443.8	37	12
2004	30	0	0	0	0	0	18	20	70	30	0	0	168	14	12
2005	0	50	0	0	0	0	7.5	10	20	110	0	0	197.5	16.5	12
2006	10	0	0	0	0	0	166	55	280	35	0	0	546	45.5	12
2007	10	0	0	0	0	0	3	12	200	0	23	11	259	21.6	12
2008	0	0	0	0	0	0	5	95	110	10	0	0	220	18.3	12
2009	0	0	0	0	0	0	0	92	93	62	0	35	282	23.5	12
2010	0	10	0		0	0	9.5	0	12	0	0	0	31.5	2.9	11
2011	0	0	0	0	0	0	10	50	46	4	15	0	125	10.4	12
2012	1.5	3	0	0	0	0	7.5	100	60	180	0	26	378	31.5	12
2013	0	0	0	0	0	0	32	105	80	120	9	0	346	28.8	12
2014	0	0	0	0	0	4	30	56	360	0	0	0	450	37.5	12
2015	0	15	0	0	0	100	40	20	90	5	12	0	282	23.5	12
2016	0	0	0	0	0	0	0	45	200	16	0	0	261	21.8	12
2017	0	0	0	0	0	0	10.5	16	340	11	0	0	377.5	31.5	12
2018	0.5	5	0	0	0	18	7	35	110	20	0	0	195.5	16.3	12
2019	4	0	0	0	0	0	0	100	25	23	30	6	188	15.7	12
2020	20	7	0	0	0	0	0	3.4	18				48.4	5.4	9
2021	0	0	0	0	0	0	0	15	210	15	0	0	240	20	12
2022	0	0	0	0	0	0	0	7	100	15	0	0	122	10.2	12
2023	0	5	0	0	0	0	10	108.5	3	12	0	0	138.5	11.5	12
2024	0	0	0										0	0	3
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MÁXIMA	67	50	43	30	50	125	500	180	388	230	337	104	670	55.8	12
