COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3053 
 NOMBRE    : SAN JACINTO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.2375 ° 
 LONGITUD  : -110.0680556 ° 
 ALTITUD   : 95 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1953		0	1	0	0	0.01	7	24	15	34	22	1	104.01	9.5	11
1954	11	0.01	0.01	0.01	0.01	0	16.3	40	26	15	0.01	0.01	108.36	9	12
1955	33.5	0.01	0.01	0.01	0.01	0	9.5	35	38	35	3	0.01	154.05	12.8	12
1956	1	0	0.01	2	0.5	3	20	32	20	70	4	2	154.51	12.9	12
1957	6	0.01	20	0.01	0.01	0.01	8.5	20	26	8.5	0.01	25	114.05	9.5	12
1958	8	4	12	2	0.01	2	5	29	113	56	32	12	275.01	22.9	12
1959	1	12	0.01	0.01	0.01	0.01	10.2	30	80	10	1	25	169.24	14.1	12
1960	35	0.01	0.01	0.01	0.01	0.01	4.5	23	2	0	0	5	69.55	5.8	12
1961	30	0.01	0.01	0.01	0.01	0.01	25	25	33.5	30	0.01	10	153.56	12.8	12
1962	7.5	1	0.01	0.01	0.01	0.01	0	22	56	3	0	1	90.54	7.5	12
1963	3	0.01	0	0	0.01	0.01	40	40	34	20	3	14	154.03	12.8	12
1964	0	0	0.01	0.01		0	72	6.5	23	61	0	1	163.52	14.9	11
1965	1	4.5	1	0	0	0	10	40	20	0	0.01	20	96.51	8	12
1966	1	4	0.01	0.01	0	0.01	4	10	44	0.01	0.01	10	73.05	6.1	12
1967	6	2	0	1.5	0	0	0	60	6.5	11	0.01		87.01	7.9	11
1968	20	108	13	1	0.01	0.01	3		22	30	11.5	4	212.52	19.3	11
1969		2			0		0	20		13	2	24	61	8.7	7
1970	14	1	0	0	0	0	27	3	14	0	0	1	60	5	12
1971	0	0	0	0	0	0	11	30	30	18	0	8	97	8.1	12
1972	18	0	0	0	0	0	1	35	72	30	3	40	199	16.6	12
1973	12	20	3	0	0	0	5	1	120	2	0	0	163	13.6	12
1974	0	0	4	0	0	0	10	18	90	10	66	15	213	17.8	12
1975	17	15	0	0	0	0	1	40	51	0	1	1	126	10.5	12
1976	1	0	0	0	0	1	0	7.5	52	30	4	20	115.5	9.6	12
1977	0	0	0	0	0	0	0	160	1.5	6.5	0	0	168	14	12
1978	1	17.5	0	0	0	0	4	5	15.5	28	0	28	99	8.2	12
1979	27	11	0	3	12.5	0	63	6	21	0	0	7	150.5	12.5	12
1980	0	0	1.4	0	0	10	4	18.5	20	6	0	0	59.9	5	12
1981	55	0	9.5	0	0	0	29	84	80.5	60	0	0	318	26.5	12
1982	0	0	0	0	7.5	0	20.5	10	80.3	0	18	68	204.3	17	12
1983	20	4	20	0	0	0	50	175	16	3	7	16.1	311.1	25.9	12
1984	11.5	0	0	0	0	2	20	7	50	14.5	1	34	140	11.7	12
1985	20.5	0	2	0	0	0	33	16	41.5	15	12	0	140	11.7	12
1986	0	0	0	9.5	0	9.5		54.5	1	6.5	0	0	81	7.4	11
1987	0	0	0	0	0	0	10.5	7.5	10	14	0	14.5	56.5	4.7	12
1988	0	0	0	0	0	0	1.5	22.5	12	0	0	0	36	3	12
1989	55	7	0	0	0	0	20	80	3	4	3	61	233	19.4	12
1990	0	0	5	0	0	0	47	27.5	56.5				136	15.1	9
1991	1	7.5	0	0	0	0	0	57.5	78	34	26	40	244	20.3	12
1992	20		9.2	0	0	0	0	25.5	21.5	3	1	23	103.2	9.4	11
1993	15	0	0	0	0	0	0.2	41	98	3.5	12.9	0	170.6	14.2	12
1994	0	0	0	0	0	0	0	46.5	0	2	35	30	113.5	9.5	12
1995	0	0	0	0	0	0.5	0	25	114	0	0	1	140.5	11.7	12
1996	0	0	0	0	0	0	0	89	92	0	0	0	181	15.1	12
1997	39	0	0	5.5	0	0	41	31	75	0	30	1.5	223	18.6	12
1998	0	10	0	0	0	0	17	62	160	1	0	0	250	20.8	12
1999	0	0	0	0	0	4	14	47	5	1.5	0	0	71.5	6	12
2000	0	0	0	0	0	0.01	22	30	7	4.5	12.5	0.01	76.02	6.3	12
2001	0.5	0	9	0	0	0	12	1	320	0	0	0	342.5	28.5	12
2002	0	9.5	0	0	0	0	7	2	20.5	2		0.5	41.5	3.8	11
2003	10	10	0	0.01	0	0	2.5	82	126	0.01	0	0	230.52	19.2	12
2004	22	3	1.5	0	0	0	7	10	35	17.5	0	0	96	8	12
