COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3054 
 NOMBRE    : SAN JAVIER 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LORETO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.86527778 ° 
 LONGITUD  : -111.5444444 ° 
 ALTITUD   : 200 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1953			0	0	0	1	0	14	0	13	5	0	33	3.3	10
1954	26	0.01	0.2	0	0	0	46	14	22	11	0	2	121.21	10.1	12
1955	6	0.01	0	0.01	0.01	0.01	13	24	14	62	7	0	126.04	10.5	12
1956	6	3	0	0	0	0.01	40	20	30	0	3	3	105.01	8.8	12
1957	10	0	28	0	0		26	62	7	80	0	20	233	21.2	11
1958	17	7	7	4	3	0	0	52	45	110	0		245	22.3	11
1959	0	13	0	0	0	60	11		320	0	11	60	475	43.2	11
1960	80	6	0	0	0	0	10	15	8	0.01	0	18	137.01	11.4	12
1961	50	0	0	0	0	0	12	25	25	0	6	4	122	10.2	12
1962	50	24		0	0	0		0	90	3	0		167	18.6	9
1963	4		0	3		0	0.01	45	0.01	13	6	3	74.02	7.4	10
1964	0		6	0	0	0	17		11		0.01	10	44.01	4.9	9
1965	13	3	7	0	0	0	0	42	40	0	0	40	145	12.1	12
1966	3	20	0		0	0	3	23	26	0	0	10	85	7.7	11
1967	0	0	0	0	0	0	20	90	40		50	13	213	19.4	11
1968	6	12	7	3	0	0	0		0	11	6	2	47	4.3	11
1969	10	16		0	0	0	20	28	60	0	20	23	177	16.1	11
1970	0	3		3	0	0	12		22	10	0	6	56	5.6	10
1971	0	0	0	0	0	0	11	38	22	23		0	94	8.5	11
1972	3	0	0	0	5	0	6	45	60	40	3	35	197	16.4	12
1973	15	20	3	3	0	0	22	38	30	0	0	0	131	10.9	12
1974	6	0	0	0	0	0	35	22	55	0	32	8	158	13.2	12
1975	7	0	0	0	0	0	35	5	5	0	0	6	58	4.8	12
1976	0	12	0	0	0	0	11	23	30	0	25	15	116	9.7	12
1977	6	0	0	0	0	2	8	60	6	6	6	0	94	7.8	12
1978		28	2.5	0	0	0	6.2		43.5	20	0	21	121.2	12.1	10
1979	100	1.5	4.5	0	0	0	2.5	38	25	0	0	0	171.5	14.3	12
1980	0	6	0	0	0	0		25		0		35	66	7.3	9
1981	27	0		0	0	0	5.5	0	5	20	0	0	57.5	5.2	11
1982		0		0	0		57	0	182	0	32		271	33.9	8
1983			90.5				48	60			30	40	268.5	53.7	5
1984	0	0	0	2	0	0		56		0	0	46	104	10.4	10
1985	55	0	0	0	0	0	0	38	15.5	0	8	0	116.5	9.7	12
1986	10	6	0	3	0	0	13	26	14	0		3.4	75.4	6.9	11
1987	1.6	0	0	0	0	7.4	0	16.1	20	0	3.7	3.5	52.3	4.4	12
1988	0	0	1.3	9.5	0	0	16.2	34	9	0	0	12	82	6.8	12
1989	18	19	0	0	0	0	3.5	27	8	5	0	20	100.5	8.4	12
1990	0			0	0	0	55	58	38				151	21.6	7
1991	8	24	0	0	0	0	0	10	41	0	27	90	200	16.7	12
1992	24	40	30	20	0	0	9	60	45	0	0	20	248	20.7	12
1993	50	20	0	0	0	0	0	40	50	5	40	15	220	18.3	12
1994	0	0	0	0	0	0	0			0	0	0	0	0	10
1995	12	12.4	0	0	0	0	26	20	43	12.5	0	0	125.9	10.5	12
1996	0	0.01	0	0	0	0	0	44					44.01	5.5	8
1997	13	0	0	0	0		0	50	57	0	11	23	154	14	11
1998	0	19	1	0	0	8	37	90	6	0	7	0	168	14	12
1999	0	0	0	0	0	0	0	15	5	0	0	0	20	1.7	12
2000	0	0	0	0	0	0	13	51	13	0	8	0	85	7.1	12
2001	0	0	0	0	0	0	17	48	120	12	0	0	197	16.4	12
2002	0	20	0	0	0	0	0	4	60	0	4	20	108	9	12
2003	20	20	0	0	0	0	0	28	250	0	0	0	318	26.5	12
2004	40	0	10	0	0	0	14	30	40	0	20	13	167	13.9	12
2005	34	48	0	0	0	0	3.5	22	0	0	0	0	107.5	9	12
2006	0	0	0	0	0	0	10	70	400	90	0	0	570	47.5	12
2007	0	0	0	0	0	0	0	0	94	0	40	20	154	12.8	12
2008	19	0	0	0	0	0	11	90	40	190	0	0	350	29.2	12
2009	0	0	0	0		0	9	23	115	21	0	0	168	15.3	11
2010	25	0	0	0	0	0	0	17	21	0	0	0	63	5.2	12
2011	0	0	0	0	0	0	0	9	12	0	10	0	31	2.6	12
2012	12	9	0	0	0	0	18	35	20	92	0		186	16.9	11
2013	0	0	0	0	0	0		200	95	0	10	0	305	27.7	11
2014	0	50	0	0	0	0	70	90	490	20	10	0	730	60.8	12
2015	11	4	11	10	0	100	58	43	25	0	0	0	262	21.8	12
2016	0	0	0	0	0	0	0	13	200	0	0	4	217	18.1	12
2017	0	40	0		0	0	31	270	170	0	0	0	511	46.5	11
