COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3057 
 NOMBRE    : SAN JUANICO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.25694444 ° 
 LONGITUD  : -112.4827778 ° 
 ALTITUD   : 20 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	20	0	0	0	0		0	6	9	0	1.5	8.5	45	4.1	11
1962	47	0.1	0	0	0	0	6			0	0	5	58.1	5.8	10
1963	0.3	0	0	0	0	0	0	0	0	0	0	0	0.3	0	12
1964	0	0	0	0	0	0	3.5	3	0	0	0	0	6.5	0.5	12
1965	0.2	0.2	2.5	0	0	0	0	8	0	0		8	18.9	1.7	11
1966	0	0	0	0		0	0	0	8	0.5	0	10	18.5	1.7	11
1967	0	0	0	0	0	0.5	0	39	4	4	16	16.5	80	6.7	12
1968	5.4	5.3		0	0	0	7.5	5.1	0	0.01	0.5	0.3	24.11	2.2	11
1969		0.1			0		2	0			0	20	22.1	3.7	6
1970	0	0	9		0	0	0	0	19	15	0	2	45	4.1	11
1971	0	0	0	0	0	0	0	2	5	0	0	1	8	0.7	12
1972	4	0	0	0	0	0	0	0	15.5	27	3.5	60	110	9.2	12
1973	11	17	0	0	0	0	0	0	0	0	0	0	28	2.3	12
1974	1.5	0	0	0	0	0	0	0	7.5	0.3	9.5	0	18.8	1.6	12
1975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1976	0	5	0	0	0	0	0	15.6	0	0	9	0	29.6	2.5	12
1977	0	0	15.5	0	0	0	0	20	0	6.5	0	0	42	3.5	12
1978	3	20	4	0	0	0	0	0	7.5	17	0	15	66.5	5.5	12
1979	20	0	1	0	0	0	0	0	0	0	0	0	21	1.8	12
1980	0	20	0	0	0	0	2.5	0	0	0	0	20	42.5	3.5	12
1981	14.5	2	39	0	0	0	2	0	0	9	0	0	66.5	5.5	12
1982	7	0			0	0	0	0	0	0	12.5	8	27.5	2.8	10
1983	3.8	8	24	0	0	0	3	28.5	2.5	0	0	6.5	76.3	6.4	12
1984	11	0	0	0	0	0	49.5	11.2	10	0	4.5	15.5	101.7	8.5	12
1985	41.5	0	0	0	0	0	0	0	0	2	7.5	0	51	4.2	12
1986	0	0	0	0			0				0		0	0	6
1987						0	5	0	3		0	0	8	1.3	6
1988	0		0	0	0	0	0	1	0	0	0	10	11	1	11
1989	21	6	0	0	0	0	0	0	0	0.01	0.01	24	51.02	4.3	12
1990	7	5	0	0	0	0		51	6				69	8.6	8
1991	11	10	0.01	0	0	0	0	27	0.01	0	33	9	90.02	7.5	12
1992	44	21	34	0	0	0	0.01	70	0	0	0.01	48	217.02	18.1	12
1993	46	12.5	0	0	0	0	0	65.5	17.5	1	12	7	161.5	13.5	12
1994	0	1	0	0	0	0.01	0	9	0	2	43	53	108.01	9	12
1995	0.01	10	0	0	0.01	0	0	0.01	9	1	20	0	40.03	3.3	12
1996	0	0.01	0	0	0	0	0	27	12	0	18.5	0	57.51	4.8	12
