COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3058 
 NOMBRE    : SAN PEDRO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.925 ° 
 LONGITUD  : -110.2638889 ° 
 ALTITUD   : 190 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1941						0	0	0	0	0			0	0	5
1944						0	0	18.5	30	1	3.5	5.5	58.5	8.4	7
1945	0	0	0	0	0	0	2	33	30	33	0	0	98	8.2	12
1946	10	0	0	0	0	0	19.5	36	70				135.5	15.1	9
1947					0	0	0	17	19	30	10	0	76	9.5	8
1948	0	0	0	0		0	53	32	67	32	0		184	18.4	10
1949	40	0.01	0	0	0	1	6	3	221	0	0	97	368.01	30.7	12
1950	11	0	0	0	0	0	36	7	28.5	0.6	0	0	83.1	6.9	12
1951	0	1	0.5	0	0	3	59	15.5	50	17	0	26	172	14.3	12
1952	0	1	0	29	0	0	37.5	15.1	13.5	13.5	0	25	134.6	11.2	12
1953	0	0	0.1	0	0	0	23	20	0	26	17	7	93.1	7.8	12
1954	20	0	0	0	0	0	4.4	32	14	4	0	0	74.4	6.2	12
1955	26	0	0	0	0	0	7.5	45	16.5	18.5	0.01	0	113.51	9.5	12
1956	1.5	0	0	0.01	0	75	45	40	51	60	0.01	0	272.52	22.7	12
1957	0	0	11	0	0	0	40	108	145	0	0	0	304	25.3	12
1958	0	0	0	0.01	0	0.01	83	131	7	4	20		245.02	22.3	11
1959			0	0.01	0.01	2	0.01	22	201	2	0	30	257.03	25.7	10
1960	41	0	0	0.01	0	0.01	18	55	55	0	0.01	8	177.03	14.8	12
1961	25	0	0	0	0	0	18	52	0.7	0.1	0.01	13	108.81	9.1	12
