COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3060 
 NOMBRE    : SANTA GERTRUDIS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.53333333 ° 
 LONGITUD  : -110.0744444 ° 
 ALTITUD   : 520 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1940										0	12	28	40	13.3	3
1941	1	4.2	0	0	0	0	12.7	20.2	193	0	0	13	244.1	20.3	12
1942	0.01	0.01	0.01	0	0	0	0.01	9		5.3	7.9	0.01	22.25	2	11
1943	2	0	0	0	0	0.01	7.7	39.3	140	0	0	5.5	194.51	16.2	12
1944	4	0	26	0	0.01	0.01	2.5	7.5	6.9	7	8	5	66.92	5.6	12
1945	0.01	0	0	0	0.01	0	0.01	26	14	55	0	0.01	95.04	7.9	12
1946	0	0	0.01	0	0	0	7	45	50	9.5	0.01	10	121.52	10.1	12
1947	13	0.01	0.01	0	0	0	0	28	35	25	25	19	145.02	12.1	12
1948	0.01	0.01	0	0	0	0	47	53	30	23	0.01	67	220.03	18.3	12
1949	83	5.5	0	0	0	4	5.8	20	95	12.2	3	75	303.5	25.3	12
1950	5.8	0.1	0.01	0.01	0	0	190	30.1	12	14	0.01	0.01	252.04	21	12
1951	2.9	0	2.3	0.01	0	3.1	31.2	40.8	23.6	20.5	0.01	16.7	141.12	11.8	12
1952	0.01	0.01	0.01	20.9	0	0.01	40.2	20.1	20.6	12.2	0.01	6	120.05	10	12
1953	0	0.01	0.01	0	0	2	20.9	20.5	30.1	40.3	3.5	2.4	119.72	10	12
1954	7	2.4	0.01	0	0	2	110	40	16	20	0.01	0.01	197.43	16.5	12
1955	60.6	0.01	0.01	0	0	0.01	4.5	46.5	101	30.5	0	0	243.13	20.3	12
1956	3	0.01	0.01	1.5	0.01	18.5	20.5	43	38	20	0.01	3	147.54	12.3	12
1957	5	0	17.5	0	1	0	14.5	40.8	40.8	20	0.01	27.5	167.11	13.9	12
1958	6.5	17	20.5		0	9.5	40.7	60.5	40.3	190	15.5	9	409.5	37.2	11
1959	1.5	14	0	0	0.01	0	21.5	30.2	28.7	7	38.5	36.5	177.91	14.8	12
1960	11.5	0	0	0.01	0	0	10.5	14.5	20	2.5	2.5	15.5	77.01	6.4	12
1961	12	0.01	0	0		0	40.5	53	64.5	24.5	0.01	20.7	215.22	19.6	11
1962	20.4	0	0	0	0	0.01	2.5	22	76.5	6.5	0	4.5	132.41	11	12
1963	6	0	0	0	0	0	34.5	29.5	33.5	62	2.5	30.8	198.8	16.6	12
1964	0.01	0	10	0	0	0	22.5	9.5	48.5	2.9	0	0.4	93.81	7.8	12
1965	0.3	0.4	0.01	0	0.01	0.2	0.8	5	4.2	0.01	0	2.8	13.73	1.1	12
1966	1.3	1.1	0	0	0	0	2.5	4.1	4.5	0.01	0.01	1.8	15.32	1.3	12
1967	0.5	0	0	0.2	0	0	2.9	4.6	1.8	4.1	0.3	3.1	17.5	1.5	12
1968	4.3	6.5	2.1	0.01	0	0.01	1.1	2.1	0.4	2.9	1	0.3	20.72	1.7	12
1969	0	14	0	0	0	0	10.5	8.5	50.5	53	0	15.5	152	12.7	12
1970	16.5	0	1.5	0	0	0	6	86	26.5	0	0	0	136.5	11.4	12
1971	2.5	1	0	0	0	0	10.5	85.5	105.5	21.5	0	5	231.5	19.3	12
1972	20.5	0	0	0	0	0	9	33.5	12	35	6.5	40.8	157.3	13.1	12
1973	17.5	42	3.5	0	0	0	5.5	10.5	82.5	0	0	0	161.5	13.5	12
1974	1.5	0	1.5	0	0	0	33.5	22	26	11	46.5	20.5	162.5	13.5	12
1975	16.5	20	0	0	0	0	15.5	32	50.6	0	2.5	0	137.1	11.4	12
1976	1.5	0	0	0	0	3.5	20	89.5	198.5	13.5	9.5	10.5	346.5	28.9	12
1977	1.5	0	0	0	0	0	4.5	183	17.5	8.5	4.5	0	219.5	18.3	12
1978	2	24.5	0	0	0	0	23.5	8	207.5	29.5	0	13.5	308.5	25.7	12
1979	68.5	12.5	0	0	0	0	30.5	23	63.5	0	0	7	205	17.1	12
1980	0	1.5	2.5	0	0	10.5	8.5	26.5	36.5	15.5	0	0	101.5	8.5	12
1981	60	2.5	13.5	0	0	1.5	26.5	22.5	53.5	93.5	0	0	273.5	22.8	12
1982	1.5	1.5	0	1.5	1.5	0	6	17.5	198	0	20	12.6	260.1	21.7	12
1983	14.5	18.5	27	1	0	0	45	49.3	21	1	2	30.5	209.8	17.5	12
1984	44	0	0	0	0	4.2	70	105	35	35.2	0	58	351.4	29.3	12
1985	33.4	0	0	0	0	0	63.3	18	58.6	20.3	28.3	0	221.9	18.5	12
1986		0	0	10.2	0	0	11.3	51.3	8.2	20.2	0	20.1	121.3	11	11
1987	0	0	0				20.1	34.3	80.2	0	0	12.1	146.7	16.3	9
1988	0	0	0	0	0	0	9.3	60.1	31.2	3.4	0	15	119	9.9	12
1989	20.1	0	0	0	0	0	14.6	12	37	5	5.2		93.9	8.5	11
1990	3.1	6	1	0	0	0	13	37.2	35				95.3	10.6	9
1991	0	10	0	0	0	0	0	18	97	57	16.5	24	222.5	18.5	12
1992	26.6	10.2	7.2	0	0	0	74.2	46	24.2	82	0	125.2	395.6	33	12
1993	36	0	0	0	0	0	22.1	14	45.7	38.7	17	0	173.5	14.5	12
1994	0	0	0	0	0	0	0	84	20	27	80	6	217	18.1	12
1995	5	0	0	0	0	0	0	13	87.6	0	0	0	105.6	8.8	12
1996	0	0	0	0	0	0	0	80	190	8	6.3	0	284.3	23.7	12
1997	30	0	5	0	0	9.2	43.2	58	60	80	31	0	316.4	26.4	12
1998	12	0	0	0	0	0	27	67	300	8	0	0	414	34.5	12
1999	0	0	0	0	0	0	0	20	8	15	0	0	43	3.6	12
2000	0	0	3	0	0	3	32.3	36	40	56	12	0	182.3	15.2	12
2001	0	0	12	0	0	0	10	33	141	9	0	0	205	17.1	12
2002	0	9	0	0	0	0	21	0	75.5	0	0	4.1	109.6	9.1	12
2003	9	0	0	0	0	0	3.1	132	120	50	0	0	314.1	26.2	12
2004	38	8	5	0	0	0	0	59	37	7	0	0	154	12.8	12
2005	10	52.5		0	0	0	3	34	27	3	0	0	129.5	11.8	11
2006	10	0	0	0	0	0	49	198	80	47	0	0	384	32	12
2007	10	0	0	0	0	0	0	38	200.1	0	37	20	305.1	25.4	12
2008	0	0	2	0	0	0	8	55	29	53	0	0	147	12.2	12
2009	0	0	0	0	0	0	19	36	31	73	0	21	180	15	12
2010	3	0	2	0	0	0	0	36	66.6	0	0	0	107.6	9	12
2011	0	0	0	0	0	0	19	23	13	0	27	0	82	6.8	12
2012	0	0	0	0	0	9	40	39.5	38	52	0	14	192.5	16	12
2013	0	0	0	0	0	0	0	20	78	31	0	0	129	10.8	12
2014	0	0	0	0	0	30	39	42	240	8	0	0	359	29.9	12
2015	0	0	37	0	0	40	32	100	57	36	0	0	302	25.2	12
2016	0	0	7	0	4	0	40	35	168	23	8	0	285	23.8	12
2017	0	21	0	0	0	0	0	240	50	0	0	0	311	25.9	12
2018	11	4	0	0	0	60	0	32	44	25	0	38	214	17.8	12
2019	15	0	7	0	0				19	62	89.5	0	192.5	21.4	9
2020	3.5	0	0	0	0	62	32	32	19	51	0		199.5	18.1	11
2021	0	0	0	0	0	7	20	75	48	0	0	0	150	12.5	12
2022	0	0	14	0	0	11	6.1	77	46	0	0	0	154.1	12.8	12
2023	0	0	0	0	0	0	14	38	42	125	0	0	219	18.2	12
MÍNIMA	0	0	0	0	0	0	0	0	0.4	0	0	0	13.73	1.1	3
MÁXIMA	83	52.5	37	20.9	4	62	190	240	300	190	89.5	125.2	414	37.2	12
MEDIA	9.7	3.7	2.8	0.4	0.1	3.6	20.8	43.8	62.7	24.2	6.9	11.3	185.8	15.9	11.7
DESV.ST	16.7	8.9	6.8	2.6	0.5	11.1	27.6	41.4	61.3	31.5	15.8	20	95.7	7.9	1.1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1940										0	48	56.1	104.1	34.7	3
1941	1	4.2	0	0	0	0	14.57	39.72	435	0	0	13	507.49	42.3	12
