COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3061 
 NOMBRE    : SANTA ROSALIA (DGE) 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.33888889 ° 
 LONGITUD  : -112.2697222 ° 
 ALTITUD   : 10 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1929											0	12	12	6	2
1930	8	5	7.5	0	0	0	3	0	0	1.2	14	15	53.7	4.5	12
1931	5.5	7	0	4	0	0	11.5	0	110	0	0	0	138	11.5	12
1932	0	4	0	0	0	0	6	0	2	0	0	2.5	14.5	1.2	12
1933	5	0	0	0	0	0	0	5.5	0	21.5	0	0	32	2.7	12
1934	0	0	0	0	0	0	0	4	115	0	0	46	165	13.8	12
1935	0	8	0	0	0	0	0	60	24	0	2	23	117	9.8	12
1936	7	0	0	0	0	0	10.5	5.4	0	0	0	21	43.9	3.7	12
1937	45	0	0	0	0	0	0	0	19.5	6	0	10	80.5	6.7	12
1938	245	0	0	0	0	0	0	125	80	45	0	11	506	42.2	12
1939	40	0	0	0	0	0	2.5	13	66	0	0	0	121.5	10.1	12
1940	0	0	10	0	0	0	13	25	60	0	0	5	113	9.4	12
1941	0	4	13	0	0	0	0	2.5	0	0	0	0	19.5	1.6	12
1942	0	3	0	0	0	0	0	4	0	9	16	0	32	2.7	12
1943	0	0	0	0	0	10	0	5	57.5	22	0	4.5	99	8.2	12
1944	2	4	13	0	0	0	0	13	59	0	4	0	95	7.9	12
1945	2	0	1	0	0	0	0	62	1	0	0	0	66	5.5	12
1946	13	0	0	0	0	0	30	13.5	95.5	3.5			155.5	15.6	10
1950								0	0	0	0	0	0	0	5
1951	0	0	16	0	0	0	0	60	3	4	11	9.5	103.5	8.6	12
1952	0	26	0	0	0	0	9.5	95.5	11	0	0	9	151	12.6	12
1953	0	71	0	0	0	0	10	51	0	0	12.5	9.5	154	12.8	12
1954	0	0	0	0	0	0	26	29.5	3.5	22	0	0	81	6.8	12
1955	3	0	0	0	0	0	0	16	0	17	0	0	36	3	12
1956	0	0	0	0	0	0	7.5	0	2.5	0	0	8	18	1.5	12
1957	18	0	20	0	0	0	2	2	6	65	0	0	113	9.4	12
1958	11	14	8.5	0	0	0	0	6	14	98	0	0	151.5	12.6	12
1959	0	0.5	0	0	0	0	4.5	1.5	115	0	53.5	42.5	217.5	18.1	12
1960	37	0	0	0	0	0	0.5	12	0	0.5	0	0	50	4.2	12
1961	23	0	0	0	0	0	0	6	4	0	7	4.5	44.5	3.7	12
1962	30	14.5	0.2	0	0	0	5.5	6.3	68.1	0	0.2	9.5	134.3	11.2	12
1963	3	1.7	0	0	0	0	3	9	12	9	0	2.5	40.2	3.4	12
1964	0	0	0	0	0	0	7	0	1	2.5	0	0	10.5	0.9	12
