COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3062 
 NOMBRE    : SANTIAGO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.48222222 ° 
 LONGITUD  : -109.7183333 ° 
 ALTITUD   : 132 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1937	0	0.01	0.01	0									0.02	0	4
1938								79					79	79	1
1939		0.1	0	0.01	0	5.2	22	18	61.5	15	5.2	38.3	165.31	15	11
1940	1.4	2.5	0.01	0.01	0	0.01	4.5	25	31.2	9	18	1.2	92.83	7.7	12
1941	0	0.01	0	0	0	0	0.01	3	70.3	0	3.6	8	84.92	7.1	12
1942	0.01	0.01	0	0	0	0	0	11	190.3	0.01	0.01	0	201.34	16.8	12
1943	8.5	4	0	0	0	0.01	9.6	22	140	92	16	21	313.11	26.1	12
1944	0.01	0	0	0	0	0	0	20	13	16	3.5	12	64.51	5.4	12
1945	0	0	0	0	0	0	5	54	50	57	0.01	50	216.01	18	12
1946	7	0	0	0	0	0	15	25	43	0	0	1	91	7.6	12
1947	0.01	0	0.01	0	0	0	0.01	67	25	0.01	30	0.01	122.05	10.2	12
1948	0	0	0	0	0	0	30	5	23	45	4	0	107	8.9	12
1949	80	5	0	0	0	1	0.01	14	130	7.5	0	5.5	243.01	20.3	12
1950	8.3	0	0.01	0.01	0.01	0.01	69.2	3.4	30.5	14	0	0	125.44	10.5	12
1951	1.2	0.01	5.7	0.01	0	0.01	0.01	65	25	7.5	0.01	9.5	113.95	9.5	12
1952	0	3	0	40	0	1	20	9	28	5.7	21	6	133.7	11.1	12
1953	0	0	0.01	0.01	0	0	2	87	35.5	8.5	3.5	0.01	136.53	11.4	12
1954	1	0.01	0	0	0	0.01	83	21	15.5	35	0.01	0	155.53	13	12
1955	42	0	0	0	0	0.01	3.5	48.5	96	74	0.01	0	264.02	22	12
1956	0	0	0	0	0	12	48	21	8.3	6	0	0	95.3	7.9	12
1957	5	0	7	0	0	0	0.01	19	40	15	0	20	106.01	8.8	12
1958	6	0	0	0	0	0	20	18	65	80	20	0.01	209.01	17.4	12
1959	0	0	0	0	0	0	74	37.5	145	0	0	0	256.5	21.4	12
1960	46	0	0	0	0	0	18	74	60	24	0.01	6.5	228.51	19	12
1961	62	0	0	0	0	0	136	50	20	20	0	20.5	308.5	25.7	12
1962	0.01	0	0	0	0	0	0	12	72.5	27.5	7	2.5	121.51	10.1	12
1963	2	0	0	0	0	0	34	19.5	22	20	32	16.5	146	12.2	12
1964	0	0	0	0	0	0	29.5	13	136	46	0.01	5	229.51	19.1	12
1965	1.5	0.01	2	0	0	0	3	40	83.5	0	0	11	141.01	11.8	12
1966	4	0	0	0	0	0	13	14.5	38	0	0	10.5	80	6.7	12
1967	0.01	1	0	0.01	0	0	0	100	24.5	20	6	6	157.52	13.1	12
1968	30.5	46	20	0	0	0	0	35.5	35	3	0	1.5	171.5	14.3	12
1969	0	1	0	0	0	0	0	19.5	1.5		0	20	42	3.8	11
1970	10.5	4.5	0	0	0	0	15	9.5	32.5	3	7.5	0	82.5	6.9	12
1971	0	0	0	0	0	0	3	40	47	23	0	8.5	121.5	10.1	12
1972	13	0	0	0	57	0	105	46	50	46	4	36	357	29.8	12
1973	3.5	23	0	0	0	0	0	55	67	8	0	0	156.5	13	12
1974	0	0	2.5	0	0	0	36	40	6	14	65	6	169.5	14.1	12
1975	20	13	0	0	0	0	25	22	32	0	0	0	112	9.3	12
1976	0	0	0	0	0	0	15	16	213.5	19.5	61.5	15	340.5	28.4	12
1977	0	0	0	0	0	0	0	88.5	0	42.5	1	0	132	11	12
1978	0	0	0	0	0	0	9	27	95	20	0	5	156	13	12
1979	11.5		0	0	15.7	0	9.7	36	125	0	0	4	201.9	18.4	11
1980	0	0	0	0	0	0	10.3	45.3	7.2	8.8	0	0	71.6	6	12
1981	37	0	0	0	0	0	13.8	64.5	91.6	162.5	0	0	369.4	30.8	12
1982	0	1	0	1	0	0	5.1	19	243.8	0	2.2	62	334.1	27.8	12
1983	23	0	0.8	0	0	0	20.5	31.3	39	21.8	2.1	15	153.5	12.8	12
1984	34.8	0	0	0	0	0.4	38.2	41.8	36.2	2.3	1.6	36.2	191.5	16	12
1985	34.5	0	1.3	0	0	0	34.2	33.3	17.5	54.1	1.3	0	176.2	14.7	12
1986	0	2.3	0	4.7	0	0	11.3	55.2	26	72.8	0	0.2	172.5	14.4	12
1987	2	0.7	0	1.8	0	0	36.3	23.5	14.3	25.3	7.7	7	118.6	9.9	12
1988	0	0	0	0	0	0	13.3	81.5	1.1	22.7	0	0	118.6	9.9	12
1989	43	2.2	0	0	0	0	20	42.1	9.2	20	27.5	28.2	192.2	16	12
1990	5.1	0.01	0	0			43	30.7	65.5				144.31	20.6	7
1991	0.5	5.6	0	0	0	0	0.01	28.2	124	11	26	15	210.31	17.5	12
1992	21	0.5	4.8	0	0	0	11	22.5	72.2	20.3	0	76.5	228.8	19.1	12
1993	26.2	0	0	0	0	1.3	54	37.7	49.5	18.5	120	0.3	307.5	25.6	12
1994	2.2	0.01	0	0	0	0	0.01	49	27.5	4.2	16.5	10.3	109.72	9.1	12
1995	0	0.01	0	0	0	0	0.01	7.6	95.5	0	1.5	1	105.62	8.8	12
1996	0	0	0	0	0	0	2.7	44.1	81.2	8.5	0	0	136.5	11.4	12
1997	29.2	0	0.01	4.5	0	0.01	6.1	100	122.3	0	8.2	0.01	270.33	22.5	12
1998	0	0	0	0	0	0	37.5	138.1	340.5	5.5	2	0	523.6	43.6	12
1999	0	0	0	0	0	0.01	23.4	63	10.5	25.8	0	0	122.71	10.2	12
2000	0	0	0	0	0	3.2	11.3	48.3	25.3	15.2	11.2	0.01	114.51	9.5	12
2001	0.5	0.4	7	0	1.3	0	0.01	80	173	11	0	0.01	273.22	22.8	12
2002	0	0	0	0	0	0	3.3	93	31.5	40	15	0.01	182.81	15.2	12
2003	0.5	18	0	0	0	0	99	65.5	48.2	0	0	0	231.2	19.3	12
2004	12.5	0	0	0	0	0.01	75	27.3	62	14.6	0	0.01	191.42	16	12
2005	1.4	49	0	0	0	0	0	5.8	61.6	15.9	0		133.7	12.2	11
2006	3.2	0	0	0	0	0	63.2	95.4	61	14.3	0	0	237.1	19.8	12
2007	14	0	0	0	0	0	0	14	100.1	1.6	0.01	20.4	150.11	12.5	12
2008	0	0	0	0	0	0	1.5	48	16.4	30.6	0.01	0	96.51	8	12
2009	0	0	0.01	0	0.01	0.01	5.4	67	41	45	0	20	178.43	14.9	12
2010	0	17.5	1	0	0	0	0	2.5	41.5	1.4	0	0	63.9	5.3	12
2011	0	0	0	0	0	0	0	5.9	29.2	5.7	4.7	0	45.5	3.8	12
2012	0	1.2	0	0	0.01	0	6.8	45.3	29.5	44.3	0	15.8	142.91	11.9	12
2013	0	0	0	0	0	0	2.3	56.7	51.5	57.5	4.6	0	172.6	14.4	12
2014	0.01	0	0	0.01	0.01	5.4	43.4	50	163.4	53.8	3.2	0	319.23	26.6	12
2015	2.6	12.5	42.3	0	0.01	0.01	21.6	15.3	35	27.6	26.4	0	183.32	15.3	12
2016	0	0	1.2	0	5.4	0	12.8	85.6	56.8	0	0	0.01	161.81	13.5	12
2017	0	1.6	3.2	0	0	0	4	213.8	16.3	3.2	0	0	242.1	20.2	12
2018	2.3		0	0			0	0		0	0		2.3	0.3	7
2019	7	0	0	0	0	0	0	32.7		60.1	107.4	0	207.2	18.8	11
2020		0	0		0					0.01	0	0	0.01	0	6
