COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3063 
 NOMBRE    : SANTO DOMINGO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.49027778 ° 
 LONGITUD  : -111.9152778 ° 
 ALTITUD   : 18 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1953			0	0	0	0	0	14	0	20	10.6	18	62.6	6.3	10
1954	19.5	0	0	0	0	0	26	2	37	0	0	1.2	85.7	7.1	12
1955	8.5	0	0	0	0	0	0	3	1	16	0	0	28.5	2.4	12
1956	0.3	3	0	0	0	1	0	7	14	0	0	5.5	30.8	2.6	12
1957	5	0	20	0	0	0	2	0	0	38	0	14	79	6.6	12
1958	17	9	5.5	0	0	0	5.5	1	36	11	4.5	0	89.5	7.5	12
1959	0	4	0	0		3	0		35.5	0	7.5	64	114	11.4	10
1960			0	0	0	0	0	15	4	0	0	32	51	5.1	10
1961	11	0	0	0	0	0	0	22	3	0	0	0	36	3	12
1962	24	0	0	0	0	0	0	0	20	0	0	0	44	3.7	12
1963	0			0				0.01		0		0	0.01	0	5
1964	0	0	0	0	0	0	15	4	0				19	2.1	9
1965	0	0	0	0	0	0	0	14.5	0	0	0	55	69.5	5.8	12
1966	0	11.5	0	0	0	0	0.9	6.5	6.5	14.5	0	20	59.9	5	12
1967	0	0	0	0	9	0	5	50	0	13	61	0	138	11.5	12
1968	6	9	15	0	0	0	0	0	0	0	0	0	30	2.5	12
1969	8	12			0	0	0	0			0	0	20	2.5	8
1971	0	0	0				0	15	14	0	0	0	29	3.2	9
