COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3064 
 NOMBRE    : SIERRA DE LA LAGUNA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 23.54861111 ° 
 LONGITUD  : -110.0958333 ° 
 ALTITUD   : 85 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	20	0	0	0	0	0	31.8	80.5	13	20	3	25	193.3	16.1	12
1962	20	0	0	0			12	23.5	327	12	0	16	410.5	41	10
1963	0	0	0	0	0	0	12.5	35.7		12			60.2	6.7	9
1964	0.01	0	0.01	0	0	0	82.5		30	12	5	47	176.52	16	11
1968								35	25	55.5	10	14	139.5	27.9	5
1969	0	20			0		19	25			0	63	127	18.1	7
1970	21	20	0	0	0	10	7	30	25	1	13	1	128	10.7	12
1971	0	1	0	0	0	15							16	2.7	6
1972	40	0	0	0	2	0	17.5	25.5	20	48	10	91.5	254.5	21.2	12
1973	80	45.5	0	0	2	0	18	40	240	19	0	0	444.5	37	12
1974	0	0	0	0	0	0	45	45	24	19	115	39	287	23.9	12
1975	21	6	0	0	0	0	25	67	37	7	6	0	169	14.1	12
1976	3	0	0	0	0	0	20	45	180	45	0	19	312	26	12
1977	5	0	0	0	0	19	18	25			0	0	67	6.7	10
1978	0	28											28	14	2
1979						0	51	26	100	0	0	18	195	27.9	7
1980	0	2	2.5	0	0	16	20	20	24	15	0	2	101.5	8.5	12
1981	23	0	4	0	0	0	25	40.5	85	159	0	0	336.5	28	12
1982	1	0	0	0	0	0			210	0	18		229	25.4	9
1983	0	20		4	0	0	51	82	27	67.5	1	0	252.5	23	11
MÍNIMA	0	0	0	0	0	0	7	20	13	0	0	0	16	2.7	2
MÁXIMA	80	45.5	4	4	2	19	82.5	82	327	159	115	91.5	444.5	41	12
MEDIA	13	7.9	0.4	0.2	0.2	3.8	28.5	40.4	91.1	30.8	10.6	21	196.4	19.7	9.8
DESV.ST	20.6	13.2	1.2	1	0.7	6.9	19.7	19.8	99.9	40	27.5	26.8	120.4	10.2	2.9

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	80.3	0	0	0	0	0	88.5	205.5	22.5	28	3	43	470.8	39.2	12
1962	26	0	0	0			22.8	61	554	17	0	25	705.8	70.6	10
1963	0	0	0	0	0	0	91	142.1		35.63			268.73	29.9	9
1964	0.01	0	0.01	0	0	0	178.25		80.72	35.63	5	55	354.62	32.2	11
1968								112.12	62.51	82	21.02	24.51	302.16	60.4	5
1969	0	23			0		53	60			0	82	218	31.1	7
1970	22	21	0	0	0	11	16	114	197	1	13	1	396	33	12
1971	0	1	0	0	0	23							24	4	6
1972	82	0	0	0	3	0	80	220.5	164	134.5	20	105	809	67.4	12
1973	86	75.5	0	0	2	0	45.5	249	408	30	0	0	896	74.7	12
1974	0	0	0	0	0	0	105	177.5	95.2	58	239	60	734.7	61.2	12
