COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3065 
 NOMBRE    : TEPENTU 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.09166667 ° 
 LONGITUD  : -111.3255556 ° 
 ALTITUD   : 180 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	0	0	0	0	0	0	30	30	2	0	0	0	62	5.2	12
1962	20.5	0	0	0	0	0		0	2	0	0	5	27.5	2.5	11
1963		0	0	0	0					30	0	0	30	4.3	7
1964	0	0	1	0	0	0	40	20	0	1	0	1.9	63.9	5.3	12
1965	1	1	0	0	0	0	2	4	45	0	0	5	58	4.8	12
1966	0	2	0	0	0	0	0	20	3	0	0	2.5	27.5	2.3	12
1967	0	0	0	0	0	0	6	2	3			0	11	1.1	10
1968	2	0	1	0	0	0	0	0	0	0	0	0	3	0.2	12
1969	0	0			0		2.5	2			0	29	33.5	4.8	7
1970	0	0	0	0	0	0	0	40	5	0	0	0	45	3.8	12
1971	2.9	0	0	0	0	0	0	20	0	0	0	0	22.9	1.9	12
1972	0	0	0	0	0	0	0	42	0	20	0	25	87	7.2	12
1973	2	2	0	0	0	0	0	2	5.5	0	0	0	11.5	1	12
1974	20	0	0	0	0	0	4	40	6	0	0	0	70	5.8	12
1975	1	0	0	0	0	0	0	0	20	0	0	0	21	1.8	12
1976	0	0	0	0	0	0	0	42	20	0	0	0	62	5.2	12
1977	10	0	0	0	0	0	0	4	0	0	2	0	16	1.3	12
1978	0	14.5	0	0	0	0	0	0		10	0	20	44.5	4	11
1979	65	5	0	0	8	0	20	25	80	0	0	0	203	16.9	12
1980		5	0	0	0	0	5	5	15	10	0		40	4	10
1981	25	0	2	0	0	0	5	70	13	0	0	0	115	9.6	12
1982	5	0	0	0	0	0	20	0	20.8	0	5	20.2	71	5.9	12
1983	13	0	23	0	0	0	26	75	20	0	0	35	192	16	12
1984	21	0	0	0	0	0	32	34	26	7	0.01	46	166.01	13.8	12
1985	9	0.01	3	0	0	0	5	60	60	0	2	0	139.01	11.6	12
1986	10	10	0	0.01	0	0	28	15	18	0	0	13.5	94.51	7.9	12
1987	0.01	1	0.01	0	0	0	64	45	36	2	5	0.01	153.03	12.8	12
1988	0	0	0.01	0.01	0	0	14	32	42	0	0	13	101.02	8.4	12
1989	9	17	1	0	0	0	35	36	82	2	5	63	250	20.8	12
1990	1	1	0.01	0	0	0	73	28	66				169.01	18.8	9
1991	9	7	0.01	0	0	0	0	16	45	0	11	81	169.01	14.1	12
1992	52	8	21	14	0	0	20	19	20	0	0.01	29	183.01	15.3	12
1993	43	21	0	0	0	0	0	40	25	0	12	2	143	11.9	12
1994	0	0	4	0	0	0	0	35	24	34	12	60	169	14.1	12
1995	1	15	0.01	0	0	0	4	27	9	0	4	4	64.01	5.3	12
1996	0	0.01	0	0	0	0	0	9	28	0	0	0	37.01	3.1	12
1997	18	0	0	0	0	0	0	43	25	0	16	8	110	9.2	12
1998	0	13	0	0	0	1	68	56	25	1	8	0	172	14.3	12
1999	0	0	0	0	0	18	0	6	8	0	0	0	32	2.7	12
2000	0	0	0	0	0	3	19	12	18	11	0	2	65	5.4	12
2001	0	0	0	0	1	0	44	0	28	6	0	0	79	6.6	12
2002	0	13	0	0	0	0	21	0	51	0	17	12	114	9.5	12
2003	0	23	0	1	0	0	0.01	63	41.5	0.01	0.01	0	128.53	10.7	12
2004	21	6	2	0	0	0	0	28	12	15	0.01	2	86.01	7.2	12
2005	39	13	8	0	0	0	13	19	19	1	0	1	113	9.4	12
2006	0	0	0	0	0	3.5	6	64	63	29	0	1.5	167	13.9	12
2007	3.5	0	0	0	0	1	0	7	25	1	8	20	65.5	5.5	12
2008	2	0	0	0	0	0	0.01	64	50	112	23	0.01	251.02	20.9	12
2009	0.01	0	0.01	0	0	8	33	23	80	73	1	1	219.02	18.3	12
2010	10	15.5	0	0	0	0	0	14	24	0	0	0.01	63.51	5.3	12
2011	0	0	0	0	0	0	1	57	7.5	0	65	0.01	130.51	10.9	12
2012	0	13	0	0	0	0	0.01	36.5	38	48	0	2	137.51	11.5	12
2013	0	0	0	0	0	0	3	11	57	158	6.5	4	239.5	20	12
2014	0	0	0.01	0	0	0	82	42.5	84	25	0	0	233.51	19.5	12
2015	8	12.5	16	3	0.5	4	9	34.5	12.5	14.5	0	5	119.5	10	12
2016	0	0	3	4	0	0	9	12	78	16	16	1.5	139.5	11.6	12
2017	0.01	25	0	0	0	0	11	16	65	0	0	0	117.01	9.8	12
2018	0.01	7	0	0	0	12	10	8	8.5	6	0	1	52.51	4.4	12
2019	7	1.5	3.5	0	0	0	0	28	25	62	52	9	188	15.7	12
2020	0	0	14	1	0	0	2	20	21	13	1.5	0.01	72.51	6	12
2021	18	0	0	0	0	0	11	32	15	15	3	31	125	10.4	12
2022	0	1	0	0	0	0	2.5	21	74	0	0	0	98.5	8.2	12
2023	0.01	2	2	0	0	0	0	26	12	40	3	0.01	85.02	7.1	12
2024	1	1	0										2	0.7	3
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	2	0.2	3
MÁXIMA	65	25	23	14	8	18	82	75	84	158	65	81	251.02	20.9	12
MEDIA	7.3	4	1.7	0.4	0.2	0.8	12.8	25.5	28.5	12.7	4.6	9.1	102.5	8.7	11.6
DESV.ST	13.4	6.6	4.7	1.9	1	3	19.6	20.1	24.6	28	11.3	17.2	66.7	5.6	1.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	0	0	0	0	0	0	41	81	4	0	0	0	126	10.5	12
1962	20.5	0	0	0	0	0		0	9	0	0	7	36.5	3.3	11
1963		0	0	0	0					34	0	0	34	4.9	7
1964	0	0	1	0	0	0	50	21	0	1	0	1.9	74.9	6.2	12
1965	1	1	0	0	0	0	2	6.9	45	0	0	11	66.9	5.6	12
1966	0	2.5	0	0	0	0	0	27	4	0	0	2.5	36	3	12
1967	0	0	0	0	0	0	9	6	3			0	18	1.8	10
1968	4	0	1	0	0	0	0	0	0	0	0	0	5	0.4	12
1969	0	0			0		3.5	2			0	29	34.5	4.9	7
1970	0	0	0	0	0	0	0	50	11	0	0	0	61	5.1	12
1971	2.9	0	0	0	0	0	0	50	0	0	0	0	52.9	4.4	12
1972	0	0	0	0	0	0	0	62	0	32	0	34	128	10.7	12
1973	3	2	0	0	0	0	0	2	5.5	0	0	0	12.5	1	12
1974	20	0	0	0	0	0	4	44	6	0	0	0	74	6.2	12
1975	1	0	0	0	0	0	0	0	58	0	0	0	59	4.9	12
1976	0	0	0	0	0	0	0	68	69	0	0	0	137	11.4	12
1977	10	0	0	0	0	0	0	6	0	0	2	0	18	1.5	12
1978	0	14.5	0	0	0	0	0	0		10	0	48	72.5	6.6	11
1979	115	5	0	0	8	0	20	30.5	90	0	0	0	268.5	22.4	12
1980		5	0	0	0	0	5	10	15	10	0		45	4.5	10
1981	65	0	2	0	0	0	5	89	14	0	0	0	175	14.6	12
1982	5	0	0	0	0	0	42.9	0	100.8	0	5	22.2	175.9	14.7	12
1983	26	0	36.5	0	0	0	97	119	27	0	0	35	340.5	28.4	12
1984	38	0	0	0	0	0	98.01	95.04	70.05	12.01	0.01	77.04	390.16	32.5	12
1985	12.05	0.01	3.03	0	0	0	8.07	84.01	60	0	2.01	0	169.18	14.1	12
1986	10.01	10.01	0	0.02	0	0	54.01	44.01	21	0	0	15.51	154.57	12.9	12
1987	0.01	1.01	0.01	0	0	0	64.02	51.04	67.03	2.01	5	0.03	190.16	15.8	12
1988	0	0	0.01	0.01	0	0	16.01	71	42	0	0	13	142.03	11.8	12
1989	18	20	1	0	0	0	36	56.02	125	2	5	66.01	329.03	27.4	12
1990	1.01	1.01	0.02	0	0	0	94	48.01	86				230.05	25.6	9
1991	11	19	0.01	0	0	0	0	23.03	69.02	0	11	102.03	235.09	19.6	12
1992	139.01	17.01	29.01	14	0	0	41.04	45.02	36.01	0	0.01	41	362.11	30.2	12
1993	48	33	0	0	0	0	0	56	41	0	17	2	197	16.4	12
1994	0	0	4	0	0	0	0	124.02	35	37	12.01	103	315.03	26.3	12
1995	1	24.02	0.01	0	0	0	6.02	58.05	23.01	0	7	4	123.11	10.3	12
1996	0	0.01	0	0	0	0	0	32	36	0	0	0	68.01	5.7	12
1997	27	0	0	0	0	0	0	131	99	0	26	8	291	24.2	12
1998	0	14	0	0	0	1	125	115	27	1	8	0	291	24.2	12
1999	0	0	0	0	0	18	0	9	8	0	0	0	35	2.9	12
2000	0	0	0	0	0	3	19	23	34	22	0	2	103	8.6	12
2001	0	0	0	0	1	0	68	0	62	6	0	0	137	11.4	12
2002	0	13	0	0	0	0	21	0	123	0	18	12	187	15.6	12
2003	0	43.01	0	1.01	0	0	0.01	205	70.51	0.01	0.01	0	319.56	26.6	12
2004	21	6	4	0	0	0	0	57	52	21	0.01	3.01	164.02	13.7	12
2005	53.01	19	8	0	0	0	13	35	31	1	0	1	161.01	13.4	12
2006	0	0	0	0	0	3.5	16.5	86.8	110	55	0	1.51	273.31	22.8	12
2007	6.5	0	0	0	0	1	0	14	37	1	14.01	20.01	93.52	7.8	12
2008	2.52	0	0	0	0	0	0.01	148.01	78.03	118.01	23	0.01	369.59	30.8	12
2009	0.01	0	0.01	0	0	8	45	51.5	112.51	100	1	1	319.03	26.6	12
2010	10	15.5	0	0	0	0	0	20.5	50.5	0	0	0.01	96.51	8	12
2011	0	0	0	0	0	0	1	71.5	7.52	0	71.51	0.02	151.55	12.6	12
2012	0	13	0	0	0	0	0.01	103	82.01	90	0	2.5	290.52	24.2	12
2013	0	0	0	0	0	0	3	27	94	185	7.5	5.51	322.01	26.8	12
2014	0	0	0.01	0	0	0	169	170.5	139	27.02	0	0	505.53	42.1	12
2015	12.02	20.5	31.5	3	0.5	7.5	14.51	68.51	27.51	15.5	0	5	206.05	17.2	12
2016	0	0	4.5	6	0	0	18	45	90	21	16	2	202.5	16.9	12
2017	0.01	25	0	0	0	0	11	32.01	77	0	0	0	145.02	12.1	12
