COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3066 
 NOMBRE    : TODOS SANTOS (DGE) 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.44861111 ° 
 LONGITUD  : -110.2233333 ° 
 ALTITUD   : 10 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1939										34	21		55	27.5	2
1940											0	6.7	6.7	3.4	2
1941	0	2.5	0	0									2.5	0.6	4
1942	0	0	0	0	0	0	0	32		4.5	26.5	0	63	5.7	11
1943	0	0	0	0	0	1.5	19.5	11.5	29.4	2	2.5	73	139.4	11.6	12
1944	19	0	0	0	0	0	0	2	4	7	10	4	46	3.8	12
1945	0	0	0	0	0	0	0	20	15	5	0	0	40	3.3	12
1946	6.5	0	0	0	0	0	4.5	11	30	0	1	9.5	62.5	5.2	12
1947	0	0	4.5	0	0	0	0	22	6.5	2	8	14	57	4.8	12
1948	0	0	0	0	0	0	33	1.5	14	25	0	18	91.5	7.6	12
1949	36	0	0	0	0	7.5	0	1	130	0	0	76	250.5	20.9	12
1950	9.3	0	0	0	0	0	64.5	0	0	6.5	0	0	80.3	6.7	12
1951	5	0	0	0	0	1.5	16.5	19.5	0.9	19	0	19.2	81.6	6.8	12
1952	0	0	0	33	0.5	0	5.4	4.6	4.8	2.6	0	20	70.9	5.9	12
1953	0	0	0	0	0	0	1.4	13.7	10.2	21	6.1	0	52.4	4.4	12
1954	6.2	0	0	0	0	0	36.5	19	9	8	0	0	78.7	6.6	12
1955	23.6	0	0	0	0	0	0	4.6	40.5	16	0	0	84.7	7.1	12
1956	0	0	0	1.5	0	8.5	25.5	20	16.5	62.5	0.8	0.7	136	11.3	12
1957	2.3	0	11.5	0	0	0	0	5.9	2.7	11.9	0	18.5	52.8	4.4	12
1958	7	2.5	28.1	0	2.8	0.1	28.5	37.4	68	19.6	21	8	223	18.6	12
1959	1.8	13	0	0	0	0	1.7	14.8	69	5	11	33	149.3	12.4	12
1960	46	0	0	0	0	0	2.5	68	12	0	0.5	8.8	137.8	11.5	12
1961	14.8	0	0	0	0	0	18	16.5	19	1.8	0	16	86.1	7.2	12
1962	13	0	0	0	0	0	0	11	29.8	9.5	0	3	66.3	5.5	12
1963	1	1.3	0	0	0	0	8.4	12	38.2	2.4	3	35.6	101.9	8.5	12
1964	0	0	0.5	0		0	3.6	6.5	14.6	38.1	0	0	63.3	5.8	11
1965	3	1	0	0	0	0	0	29.5	6.8	0	0	20	60.3	5	12
1966	8.2	5	0	0	0	0	10.5	8.2	12.5	0	0	9.6	54	4.5	12
1967	2.2	0	0	0	0	0	1.9	40	0	9.3	1	16	70.4	5.9	12
1968	20	87	28.5	0	0	0	6.5	3.2	21.3	20	5	1.5	193	16.1	12
1969	0	1	0	0	0	0	0	3.5	5	19.2	0	8.6	37.3	3.1	12
1970	9.5	6.5	0	0	0	0	10	2.4	32	0	0	0	60.4	5	12
1971	0	0	0	0	0	0	0	4.2	20.5	8.8	0	4.1	37.6	3.1	12
1972	25	0	0	0	0	0	4.5	16.1	8.5	23.2	3.5	28.3	109.1	9.1	12
1973	9.2	26.3	0	0	0	0	1.3	4.5	40.5	0	0	0	81.8	6.8	12
1974	0	0	0	0	0	0	18.5	15.2	1.2	0	39.2	19.3	93.4	7.8	12
1975	17.2	8.4	0	0	0	0	0	13.6	51.4	0	0	0	90.6	7.6	12
1976	0	0	0	0	0	0	0	18.2	32.5	8.5	11.6	24.5	95.3	7.9	12
1977	1.2	0	0	0	0	0	0	156.3	0	2.6	0	0	160.1	13.3	12
1978	0	14.5	0	0	0	0	5	0	4.5	20.5	0	9.5	54	4.5	12
1979	16.5	8	0	0	64	0	45	1.5	38	0	0	3.5	176.5	14.7	12
