COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3067 
 NOMBRE    : YENEKA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.27083333 ° 
 LONGITUD  : -109.7791667 ° 
 ALTITUD   : 160 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961					0	0	48	53	41.5	39	0	16.5	198	24.8	8
1962	0.01	0	0	0	0	0	0.01	34.5	126	32	0.01	10.5	203.03	16.9	12
1963	0.01	0	0	0	0	0	20.5	49.5	42	22.5	0.4	4	138.91	11.6	12
1964	0.01	0	0	0	0	0	31	65	64	70	0	0.01	230.02	19.2	12
1965	0	2	1	0	0	0	0.5	70	62.5	0	0	17	153	12.8	12
1966	4	5.7	0	0	0	0	23.5	34.5	61.5	0	9.5	1.5	140.2	11.7	12
1967	9	0	0	0.01	0	0	0	240	28	10.5	1.5	4	293.01	24.4	12
1968	42.5	29	16	0	0	0	0	40	13.4	14	8.5	6.5	169.9	14.2	12
1969	0	0			0	0	40	19		30	0	45	134	14.9	9
1970	8.5	8.5	0	0	0	0	49	22	43	0	9.5	0	140.5	11.7	12
1971	0	0	0	0	0	0	0	44.5	46.5	30	0	4	125	10.4	12
1972	20.5	0	0	0	4.5	0	5.5	50.5	51.5	67.5	4.5	60	264.5	22	12
1973	3.5	30.5	0	0	0	0	0	50	49	10	0	0	143	11.9	12
1974	0	0	0	0	0	0	56.5	22.5	14.5	12.5	112	20	238	19.8	12
1975	16.5	13.5	0	0	0	0	67	26.5	29	0	0	0	152.5	12.7	12
1976	0	0	0	0		0	42	35	180	34	15	11	317	28.8	11
1977	1.5	0	0	0	0	0	4.5	260	7.5	38.5	10	9.5	331.5	27.6	12
1978	1	0	0	0	0	0	60.5	29	109	22	0	9	230.5	19.2	12
1979	13	6	0	0	5	0	29	67	100	0	0	0	220	18.3	12
1980	0	0	0	0	0	0	1	9.2	40	7.5	0	0	57.7	4.8	12
1981	34.5	0	1	0	0	0	8	96	80	167	0	0	386.5	32.2	12
1982	0	0	0	0	0	0	11	40	38	0	0	0	89	7.4	12
1983	1	0	7	0	0	0	40	60	56	18	2.5	5	189.5	15.8	12
1984	33		0	0	0	0	26	26	50	18	0	26	179	16.3	11
1985	45	0	0	0	0	0	20	40	36	60	0	0	201	16.8	12
1986	0	10.5	0	9	0	0	16.5	64	30	54.5	0	0	184.5	15.4	12
1987	5	0.01	0	0	0	0	60	16.5	20	52	25	16	194.51	16.2	12
1988	0	0	0	0	0	20	20	9.5	20	10	0	0	79.5	6.6	12
1989	53	0		0	0	0	35	93		0	33	34	248	24.8	10
1990	0	0	0	0	0	0	64	26	50				140	15.6	9
1991	0	5.5	0	0	0	0	0	16	168	60	20	20	289.5	24.1	12
