COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3068 
 NOMBRE    : VILLA CONSTITUCION 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.03222222 ° 
 LONGITUD  : -111.6702778 ° 
 ALTITUD   : 50 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1957			19	0	0	0	0	5	0	38	0	17	79	7.9	10
1958	12	5	6	1	0	0	40.5	0	37	24	18	0	143.5	12	12
1959	0	7	0	0		0	6		85	0	1	70	169	16.9	10
1960				0	0	0	0	20	34	13	0	26.1	93.1	10.3	9
1961	14.5	0	0	0	0	0	0	10	54	0	0	0	78.5	6.5	12
1962	25	9	0	0	0	0	0		43	19	0	25	121	11	11
1963	0	0	0	0	0					0	3.5	5	8.5	1.1	8
1964	0	0	9.7	0	0	0	40	11.5	0	37.5	0	3.5	102.2	8.5	12
1965	0.4	6	10	0	0	0	1.9	43.5	7.5	0.4	0	47	116.7	9.7	12
1966	2	5	0.2	0	0	0	0	30	2	0	0	8.5	47.7	4	12
1967	3	0	0	0	0	0	16	45	25		59		148	14.8	10
1968	30	6	8	0	0	0	19	10.5	0	2	0	0	75.5	6.3	12
1969	2	11	0	0	0	0	40	2	41	0	7	0	103	8.6	12
1970	0	0	5	5	0	0	3.5	41	15	1	0	2	72.5	6	12
1971	0	0	0	0	0	0	0	43	14	1.5	0	4	62.5	5.2	12
1972	3	0	0	0	0	0	50	35	3	31.6	5	58.6	186.2	15.5	12
1973	0	25.7	0	0	0	0	0			0	0	0	25.7	2.6	10
1974	12	0	0	0	0	0	0	17	10	0	31	6.7	76.7	6.4	12
1975	5	0	0	0	0	0	0	3.5	44.5	0	0	0	53	4.4	12
