COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3069 
 NOMBRE    : VILLA INSURGENTES 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.26166667 ° 
 LONGITUD  : -111.7744444 ° 
 ALTITUD   : 30 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1967								25	10.5		145		180.5	60.2	3
1968	14	10	1	0.2	0.2	0	10	15	0	0	0	2.5	52.9	4.4	12
1969	2.3	2.7	0	0.2	0	0	1	0.6	6.5	0	0.3	10	23.6	2	12
1970	0.3	0.5	2.5	0.1	0	0	0.2	18	60	0.1	0	0.2	81.9	6.8	12
1971	0.1	0	0	0	0	0	3.5	21	0	0.2	0	1.5	26.3	2.2	12
1972	3.5	0.1	0	0	0	0	0.1	7	1	20	0	35	66.7	5.6	12
1973	12	16	1.5	0	0	0	40	0		0	0	0	69.5	6.3	11
1974	33.5	0	0	0	0	0	3.5	21	100	0	20	9	187	15.6	12
1975	8.5	0	0	0	0	0	0	1	29.1	0	0	5.5	44.1	3.7	12
1976	1	2.5	0	0	0	0	0	37.5	26	0	9.5	0	76.5	6.4	12
1977	1	0	0	0	0								1	0.2	5
1978	2	9.5	2.1	0	0.5	0	16	0	90	5	0	21.5	146.6	12.2	12
1979	45.5	2	3.5	0	0.1	1	17	0	8.5	0	0	5	82.6	6.9	12
1980	0	4.5	2.5	0	0	3	0	0	0	18.5	0	16.5	45	3.8	12
1981	21	2	13	1.4	10	0	3	15	3	3	0	0	71.4	6	12
1982	5.5	0	0	0	0	0	30	0	10.5	0	13.5	8.5	68	5.7	12
1983	15	4	24	3.5	0	0	51.5	58	8	0	2	43	209	17.4	12
1984	40	0	0	0	0	5.5	63.5	33.5	13	7	0	27	189.5	15.8	12
1985	13.5	0	1.5	1	0	0	1	5	57.5	0	2.5	0	82	6.8	12
1986	7	7.5	0	3.5	0	0.01	35.5	5.5	8	0	0	13	80.01	6.7	12
1987	0	6	0	0	0	0	12	0	30	0.3	6		54.3	4.9	11
1988	0	0	0.01	0	0					1	0	8.5	9.51	1.2	8
1989	15	29	2.5	0	0	0	21	0	19	0	2.5	35	124	10.3	12
1990	0.5	0.5	0.5	0	0	2.5	3	4	32				43	4.8	9
1991	50	11	4	0	0	0	0	0	9.5	4	10.5	52	141	11.8	12
1992	39	14	10	7	0	3.3	0	11	20	0	1	27	132.3	11	12
1993	32	9	0	0	0	0	0	46	67	3	17	0	174	14.5	12
1994	0	0	0	0	0								0	0	5
1997	3	0	0	0	0	0	0	38	76.5	0	10	4	131.5	11	12
1998	0	2	0										2	0.7	3
2000	0	0	0	0	0	0							0	0	6
2001			1	0	0.01	0	0	7	24	0	0	0	32.01	3.2	10
2002	4	9	0	0.01	0	0	0	0	42	0	9.5	10.5	75.01	6.3	12
2003	0	8	0	0	0	0	0.6	200	92		0	0	300.6	27.3	11
2004	26.5	18	0.6	0	0	0	4	2	47.5	4.2	4	2.5	109.3	9.1	12
2005	64	15.5	0	0	0.01	0	0	1.8	3	6	0	1	91.31	7.6	12
2006	0.01	0	0	0	0	3	24	44	30	15.5	0	3.5	120.01	10	12
2007	3.3	0	0	0	0	0	14.5	5	17.5	0	8.8	14	63.1	5.3	12
2008	5.5	0	0	0	0	0	0.01	155	14	59	1.8	0.01	235.32	19.6	12
2009	0.01	0.01	0.01	0	0	0.01	0.01	33	9.5	79.5	2.1	1.1	125.25	10.4	12
2010	4.3	6	0	0.01	0	0	0	2	0.01	0	0	0	12.32	1	12
2011	0.01	0	0	0	0	0	0.5	4.5	0	0	19.5	0.01	24.52	2	12
2012	0.01	10.7	0	0	0	0	0	49	54	157	0	2.5	273.21	22.8	12
2013	0.01	0	0.01	0	0	0	0	32.5	50	45	0.6	2.4	130.52	10.9	12
2014	0.01	0	0	0	0.01	0	11	41	140	61	0	0.01	253.03	21.1	12
2015	7.2	33	17.3	6	0.8	12.8	50	12	49	5	0.01	0.01	193.12	16.1	12
2016	0.01	0	8.5	2.5	0	0	2.5	3	69.5	0.01	0	3.5	89.52	7.5	12
2017	0.01	21	0.01	0.01	0	0	0	33	38	0	0	0	92.03	7.7	12
2018	1.5	5.5	0	0	0	0.01	1.5	0.5	24	0.01	0	0.01	33.03	2.8	12
2019	7.8	1.5	6.5	0	0	0	1.5	124	5.5	38.2	30.5	9.8	225.3	18.8	12
2020	0.01	1.5	5.5	0.01	0	0	0.01	5.5	78	0	0	0.01	90.54	7.5	12
2021	21.5	0	0	0	0	0.01	0.01	73	34	0	4.5	12.5	145.52	12.1	12
2022	0	0	0	0	0	0	0	22	104.5	0	0	0	126.5	10.5	12
2023	0	0	0	0	0	0	0	11.5	9.5	0	0	0	21	1.8	12
2024	0	0	0										0	0	3
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MÁXIMA	64	33	24	7	10	12.8	63.5	200	140	157	145	52	300.6	60.2	12
MEDIA	9.6	5	2	0.5	0.2	0.6	8.8	25	33.8	11.3	6.6	8.3	99.2	9.2	10.9
DESV.ST	15.2	7.5	4.6	1.4	1.4	2.1	15.6	39.9	33.5	28.3	21.2	12.5	75.3	9.4	2.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1967								60.21	11.53		187.04		258.78	86.3	3
1968	35	30.31	1.88	0.4	0.51	0	10.3	17.1	0	0	0	2.9	98.4	8.2	12
1969	3.1	3	0	0.3	0	0	1.3	0.6	7.5	0	0.5	28	44.3	3.7	12
1970	0.6	0.5	3.9	0.2	0	0	0.5	18.5	85.7	0.3	0	0.4	110.6	9.2	12
1971	0.4	0	0	0	0	0	4.5	41.4	0	0.4	0	1.5	48.2	4	12
1972	5.6	0.2	0	0	0	0	0.3	14	1	40.2	0	67	128.3	10.7	12
1973	15.1	25.6	1.5	0	0	0	100	0		0	0	0	142.2	12.9	11
1974	36.5	0	0	0	0	0	3.5	33	210	0	22	13	318	26.5	12
1975	17.5	0	0	0	0	0	0	1	61.1	0	0	5.5	85.1	7.1	12
