COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3072 
 NOMBRE    : EL COYOTE 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 26.77361111 ° 
 LONGITUD  : -111.9097222 ° 
 ALTITUD   : 6 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972				0	8.2	0	8.5	35.5	29	50	0	71	202.2	22.5	9
1973	5	16.5	0	0	0	0	15	40	8	0	0	0	84.5	7	12
1974	64	0	0	0	0	0	23	2	55	0	14	0	158	13.2	12
1975	3	0	0	0	0	0	0	0	0	0	0	3	6	0.5	12
1976	0	2.3	0	0	1	0	0	4	82	0	3	1	93.3	7.8	12
1977	1	0	0	0	0	0	4	40	0	0	0	1	46	3.8	12
1978	0	11	0	0	0	0	2	0	45	93	0	5	156	13	12
1979	20	0	0	0	0	0	1	0	56	0	0	0	77	6.4	12
1980	0	2.5	0	0	0	0	10	0	0	0	0	22	34.5	2.9	12
1981	21	1	5	16	0	0	7	3.6	35	46	0	0	134.6	11.2	12
1982	5.5	0	0	0	0	0	10	10	1	0		5	31.5	2.9	11
1983	5	1	13	0	0	0	23	35	20	32		8	137	12.5	11
1984	40	0	0.01	0	0	0.01	38	81	40	17	2	21	239.02	19.9	12
1985	40	1	0	0	0	0	1	22	0	0.01	0	0	64.01	5.3	12
1986	15		0	0	0.01	0	0.5	24	3	0	5	5	52.51	4.8	11
1987	5	0	0	0	0	0	18.5	21.5	6	0	0	2	53	4.4	12
1988	0	0.5	0	0	0	0		40	1	1	0	3	45.5	4.1	11
1989	19	3	0	0	0	0	17	4	0	0.01	0	9	52.01	4.3	12
1990	1	3	0	0	0	0	5	38	10				57	6.3	9
1991	23	22	0	0	0	0	0	33	2	0	25	14	119	9.9	12
1992	48	17	12	0	0	0	0	20	5	0	1	10	113	9.4	12
1993	69	15	0	0	1	0	0	51	11	0	21	11	179	14.9	12
1994	0	0	0										0	0	3
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MÁXIMA	69	22	13	16	8.2	0.01	38	81	82	93	25	71	239.02	22.5	12
MEDIA	17.5	4.6	1.4	0.7	0.5	0	8.7	22.9	18.6	11.4	3.7	9.1	92.8	8.1	11.2
DESV.ST	21.5	7	3.8	3.4	1.8	0	10.3	21.2	23.6	24.4	7.6	15.6	63.6	5.8	2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972				0	14.2	0	9.5	71	49	78	0	72	293.7	32.6	9
1973	10	33.5	0	0	0	0	22	40	9	0	0	0	114.5	9.5	12
1974	64	0	0	0	0	0	34.5	2	95	0	27	0	222.5	18.5	12
1975	5	0	0	0	0	0	0	0	0	0	0	4	9	0.8	12
1976	0	4.8	0	0	1	0	0	13.5	186	0	6	1	212.3	17.7	12
1977	1	0	0	0	0	0	8	100	0	0	0	1	110	9.2	12
1978	0	17	0	0	0	0	6	0	45	107	0	14	189	15.8	12
1979	31.1	0	0	0	0	0	1	0	74	0	0	0	106.1	8.8	12
1980	0	2.5	0	0	0	0	10	0	0	0	0	25	37.5	3.1	12
1981	37	1	6	19	0	0	12	7.1	36.1	52	0	0	170.2	14.2	12
1982	5.5	0	0	0	0	0	10	10	1.4	0		8.1	35	3.2	11
1983	8	1	19	0	0	0	23	95	27	32		8	213	19.4	11
1984	58	0	0.02	0	0	0.01	86.51	126	42	18	2	37	369.54	30.8	12
1985	52.02	1	0	0	0	0	1.01	26	0	0.01	0	0	80.04	6.7	12
1986	15		0	0	0.01	0	1.3	24.7	5	0	7	6.9	59.91	5.4	11
1987	5	0	0	0	0	0	27	21.52	11	0	0	2	66.52	5.5	12
1988	0	0.5	0	0	0	0		40	1	1	0	4	46.5	4.2	11
1989	37.5	3	0	0	0	0	20.01	8	0	0.01	0	18.12	86.64	7.2	12
1990	2	3	0	0	0	0	10.01	69.5	15				99.51	11.1	9
