COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3074 
 NOMBRE    : LA PAZ (DGE) 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.13472222 ° 
 LONGITUD  : -110.3361111 ° 
 ALTITUD   : 16 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1940	0.01	0.01	0	0.01	0	0	5	0.01	31.6	0	18	4.7	59.34	4.9	12
1941	0.01	4.6	0	0	0	0	3.8	13	23	0	0.01	22	66.42	5.5	12
1942	0	14	0	0	0	0	7.8		11.1	75.2	6	4	118.1	10.7	11
1943			0	0	0		0			22.6		43	65.6	10.9	6
1944	15		0.01	0	0	0	0	18		0	1.6	6.2	40.81	4.1	10
1945		0	0	0	0	0	0.01	4	13.2	6	0	0	23.21	2.1	11
1946	0	0	0	0	0	0	0.01						0.01	0	7
1948	0	0	0	0	0	0	55.8	33.5		35.8	0.01	8	133.11	12.1	11
1949	42	5	0	0	0	0	0.01	0	108	0	0	28.2	183.21	15.3	12
1950	4	0	0	0	0.1	0	8	28	8	4	0	0	52.1	4.3	12
1951	0	0.5	6.5	0	0	7	13.5	19	10	21.5	0	35.5	113.5	9.5	12
1952	0	0.8	0	20	0	0	3.5	28.5	29.5	0	1	29.5	112.8	9.4	12
1953	0	0	0.01	0	0	0.01	14	25.5	1.5	9	6.8	6	62.82	5.2	12
1954	12	0.01	0	0	0	0.01	18.5	11	62	2.5	0	0	106.02	8.8	12
1955	25.7	0	0	0	0	0	0	4	46.4	9.5	0.1	0	85.7	7.1	12
1956	0	0	0.01	3.8	0	40	26.5	25	5	5.3	0.5	2	108.11	9	12
1957	1	0	16.1	0	0	0	2	26.5	10	3.1	0.01	41	99.71	8.3	12
1958	0.01	0.2	5.5	0	4.3	1.5	15	11	47.5	26.5	6	3.5	121.01	10.1	12
1959	0.5	1	0	0	0	5.7	1	16.3	127.5	1.5	2	17	172.5	14.4	12
1960	40	0	0	0	0	0	20	25	1.5	0.5	0	6.7	93.7	7.8	12
1961	11.5		0		0	0	1	14.2	7.5	1	0	2.5	37.7	3.8	10
1962	18.2	0	0	0	0	0	0	0		21	0	1	40.2	3.7	11
1963	5	0	0	0	0	0	4.5	21			0.5		31	3.4	9
1964		0		0	0	0	3			24.8		13	40.8	5.8	7
1965	2	8.5	0.5	0	0	0	3.5	31	0.8	1.5	1.5	31.7	81	6.8	12
1966	1.3	4.6	0	0	0	0	7.9	33	42.5	0	0	23	112.3	9.4	12
1967	0	0.2	0	0	0	0	4.5	16	3.8	5.7	1.5	5.4	37.1	3.1	12
1968	6.4	41	42.8	0.5	0	1	5.5	1	0	0	0	0.3	98.5	8.2	12
1969	0	5.2	0	0	0	0	16.5		2	0	0	34.5	58.2	5.3	11
