COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3093 
 NOMBRE    : SAN BRUNO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.15416667 ° 
 LONGITUD  : -112.1527778 ° 
 ALTITUD   : 20 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973							0	13.5	0	0	0	0	13.5	2.2	6
1974	17	0	0	0	0	0	0	25	0	0	24	0	66	5.5	12
1975	65	0	4	0	0	0	30	0	0	0	0	42	141	11.8	12
1976	0	8	0	0	0	0	4.2	13	83	0	0	2.5	110.7	9.2	12
1977	0	0	0	0	0	0	0	0	0	46	0	0	46	3.8	12
1978	0	1.2	17	0	0	0	5	0	0	110	0	14	147.2	12.3	12
1979	19	0	0	0	0	0	0	0	85	0	0	0	104	8.7	12
1980	0	4	0	0	0	0	8	0	0	0	0	26	38	3.2	12
1981	12	40	30	30	0	0	115	0	23	140	0	0	390	32.5	12
1982	5	0	0	0	0	0	9.5	20	100	0	20	0.6	155.1	12.9	12
1983	4	0	13	7	0	0	22	190	15.5	24	6	0	281.5	23.5	12
1984	12	0	0.01	0	0	0.01	30	13	33	11.5	0.01	12	111.53	9.3	12
1985	9	0.01	0.01	0.01	0	0	40	22	0.01	0.01	10	0	81.05	6.8	12
1986	0.01	0.01	0	0.01	0.01	0	0.01	0.01				3	3.06	0.3	9
1987	0.01	0.01	0	0	0	0	45	29	15	0	0	20	109.02	9.1	12
1988	0	0	0.01	0.01	0	0	0	33.5	0	0.01	0	12	45.53	3.8	12
1989	13.5	30	0	0	0	0	0.01	0.01	0.01	0.01	0.01	25	68.55	5.7	12
1990		0.01	0.01	0	0	0		28	24	0.01	0	78	130.03	13	10
1991	4.4	27	14	0	0								45.4	9.1	5
1992	0	19	19	0	0	0	0	74	1	0	2	15	130	10.8	12
1993	48		0	0	0	0	0	17	7	0			72	8	9
1997								14	80	0		0.01	94.01	23.5	4
2000	1.5	0	3.7	0	0	0	6	0	36.6	0	0	1.5	49.3	4.1	12
2001	0	0	0	0	0	0	7	0	67	0	0	0	74	6.2	12
2002	0	7	0	0	0	0	2	30	0	0	36	0	75	6.2	12
2003	0	0	0	0	0	0	11	30	20	31	2	0	94	7.8	12
2004	0	0	0	0	0	0	0	0	30	7	0	0	37	3.1	12
2005	0	17	0	0	0	0	33	0	0	0	0	0	50	4.2	12
2006	0	0	0	0	0	0	0	0	160	0	0	0	160	13.3	12
2007	0	0	0	0	0	0	0	1	3	0	14	0	18	1.5	12
2008	0	0	0	0	0	0	0	189	0	8.5	11.4	0	208.9	17.4	12
2009	2.8	0	0	0	0	20	2	0.01	100	8	0.01	2	134.82	11.2	12
2010	0	12.5	0	0	0	0	0	10	28	0	0	0	50.5	4.2	12
2011				0	0	0	0	0	30	0	10	0	40	4.4	9
2012	0	11.5	0	0	0	0	0	15.8	14	15.7	0	0	57	4.8	12
