COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3094 
 NOMBRE    : SANTA ANITA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LOS CABOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.17833333 ° 
 LONGITUD  : -109.7016667 ° 
 ALTITUD   : 80 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973					0	0	0	35	42	11	0	0	88	11	8
1974	0	0	0	0	0	0	60	30	25	9	105	34	263	21.9	12
1975	11	17	0	0	0	0	24	29	20	8	0	0	109	9.1	12
1976	0	0	0	0	0	0	8	30	190	26	12	9	275	22.9	12
1977	0	0	0	0	0	0	0	110	1	58	5	0	174	14.5	12
1978	0	15.7	0	0	0	0	12	17	48	55	0	10	157.7	13.1	12
1979	30	4	0	0	0	0	17	15	38	0	0	8	112	9.3	12
1980	0	0	3.5	0	0	0	3	43	35	14	0	0	98.5	8.2	12
1981	113	0	3	0	0	0	10	100	132	128	0	0	486	40.5	12
1982			0	1	0	0	5	3	80	0	1.5	60	150.5	15.1	10
1983	15.5	0	10.5	0	0	0	56	86.5	81	29		3	281.5	25.6	11
1984	76	0	0	0	0	0	40	42		5	0	42	205	18.6	11
1985	57.5	0	1	0		0	6	58	28	10.2	1	0.01	161.71	14.7	11
1986	0.01	0	0	10	0.01	0.01	19	13	21	44	0	0.01	107.04	8.9	12
1987	1	2	0	1	0	0	17.3	20	60	18	7.8	3	130.1	10.8	12
1988	0	0	0	0.01	0	0		10.5	35.5	0	0	0	46.01	4.2	11
1989	13	2	0	0	0	0	92	33.5	16	33	27	22.5	239	19.9	12
1990	14	1	0.01	0	0	0.01	23	96	28	240.2	22	53	477.22	39.8	12
1991	1	5.6	0	0	0	0	0	0.01	191	69	64	36	366.61	30.6	12
1992	25	0	0	0	0	0	0	15.5	46	45.5	0	48	180	15	12
1993	13	0	0	0	0	0	16.5	115	61	0	360	0	565.5	47.1	12
1994	0	2	0	0	0	0	0	41	24	38	37		142	12.9	11
1995	1	0	0	0	0	0	0	40	151	0.6	0	0	192.6	16	12
1996	0	0	0	0	0	0	0	27	110	0	17	0	154	12.8	12
1997	34	8	0	2	0	0	15	12	160	6	12	0	249	20.8	12
1998	0.01	0	0	0	0	0	10	185	301		0	0	496.01	45.1	11
1999	0	0	0	0	0	12				0.01	0	0	12.01	1.3	9
2000	0	0	0	0	2	8	36	70	42	97	8	0	263	21.9	12
2001	0	0	24	0	2	0	0	9	300	1	0	0.01	336.01	28	12
2002	0	12	0	0	0	0	0	1	14	28	44	4	103	8.6	12
2003	0.01	0.01	0	0.01	0	0	0	91	218	0	2	0	311.03	25.9	12
2004	38	0	0	0	0	0	8	38	42	8	0	0	134	11.2	12
2005	0	44	0	0	0	0	0	27	0.01	8	0	0	79.01	6.6	12
2006	3	0	0	0	0	0	117					0	120	15	8
2007	3	0	0	0	0	0		26	90	0	0	17	136	12.4	11
2008	0	0	0	0	0	0	9	41	53	0	0	0	103	8.6	12
2009	0	0	0	0	0	0	0	40					40	5	8
2010	0	2	0	0	0	0	12	6	65	0	0	0	85	7.1	12
2011	0	0	0	0	0	0	2.5	26	40	10	20	0	98.5	8.2	12
2012	0	0	0	0	0	0	0	72	36.5	80	0	28	216.5	18	12
2013	0	0	0	0	0	0	2	40	67	102	20	0	231	19.2	12
2014	0	0	0	0	0	0	28	43	303	25	18	0	417	34.8	12
2015	1	10	30	0	0	21	38	48	89.3	40	55	0	332.3	27.7	12
2016	0	0	0	0	0.01	0	0	75	85	9	0	0	169.01	14.1	12
2017	15	0	0	0	0	0	24	82	22	0	0	0	143	11.9	12
2018	0	0	0	0	0	75	13	15	80	13	3	31	230	19.2	12
2019	0	0	0						39	50	143	0	232	33.1	7
2020	0	17	0	0	0	0	0	142	0	0	0	0	159	13.2	12
2021	4	0	0	0	0	0	25	103	210	27	0	0	369	30.8	12
2022	0	0	0	0	0	1	0	51	65	0	0	0	117	9.8	12
2023	0	5	0	0	0	0	6		3	35	0	0	49	4.5	11
2024	0	0	0	0									0	0	4
MÍNIMA	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	4
MÁXIMA	113	44	30	10	2	75	117	185	303	240.2	360	60	565.5	47.1	12
MEDIA	9.4	2.9	1.4	0.3	0.1	2.3	16	47.9	80.6	28.8	20.5	8.3	199.9	17.4	11.3
DESV.ST	21.5	7.5	5.5	1.4	0.4	11.1	24.1	39.8	80.4	43.4	57.3	16	129.5	11	1.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973					0	0	0	57.1	68	11	0	0	136.1	17	8
1974	0	0	0	0	0	0	142.04	66	55	13	213	34	523.04	43.6	12
1975	14	17	0	0	0	0	41	35	84	8	0	0	199	16.6	12
1976	0	0	0	0	0	0	10	56	366	74	22	24	552	46	12
1977	0	0	0	0	0	0	0	232	1	147	5	0	385	32.1	12
1978	0	15.7	0	0	0	0	30	35	110	95	0	14	299.7	25	12
1979	36	9	0	0	0	0	17	21.6	124.5	0	0	21	229.1	19.1	12
1980	0	0	3.5	0	0	0	3	86	48	44.2	0	0	184.7	15.4	12
1981	183.22	0	4	0	0	0	16	140.5	142	179	0	0	664.72	55.4	12
1982			0	1	0	0	8.4	3	153.3	0	1.5	78	245.2	24.5	10
1983	21.3	0	16.5	0	0	0	98.5	101	178.4	55.8		3	474.5	43.1	11
1984	132.03	0	0	0	0	0	169	112		10	0	52	475.03	43.2	11
1985	62.03	0	1	0		0	8	68.52	67.51	10.2	1.04	0.03	218.33	19.8	11
1986	0.01	0	0	10.01	0.01	0.01	33.7	48.01	57.61	109.01	0	0.02	258.39	21.5	12
1987	1	2.01	0	1.01	0	0	40.81	31.51	132.02	37.7	7.8	6	259.86	21.7	12
1988	0	0	0	0.01	0	0		29.11	36.5	0	0	0	65.62	6	11
1989	14	2	0	0	0	0	152	96.42	67.52	33.01	34.51	25.01	424.47	35.4	12
