COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3095 
 NOMBRE    : E.T.A. 184 VILLA INSURGENTES 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 25.26388889 ° 
 LONGITUD  : -111.7763889 ° 
 ALTITUD   : 35 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973												0	0	0	1
1974			0	0	0	0		0	0	0	0	0	0	0	9
1975	26	0						0					26	8.7	3
1977	0	0	0	0	0	0			0	0	0	0	0	0	10
1978	0	0	0	0	0	0	0	0	135	15	0	24	174	14.5	12
1979	58	0	0.5	0	0	0	15	0	10	0	0	0	83.5	7	12
1980	0	5	0	0	0	7	0	0		0.3	0	0	12.3	1.1	11
1981	0	0	0	0	0	0	0	0	0	0.3	0	0	0.3	0	12
1982	0	0		0	0	0	0	0	0	0	20.3		20.3	2	10
1983	3	0	0	0	0	0	22	103	0	0		19	147	13.4	11
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	58	5	0.5	0	0	7	22	103	135	15	20.3	24	174	14.5	12
MEDIA	10.9	0.6	0.1	0	0	0.9	6.2	12.9	20.7	2	2.9	5.4	46.3	4.7	9.1
DESV.ST	21.1	1.8	0.2	0	0	2.5	9.8	36.4	50.5	5.3	7.7	10	65.5	5.8	3.9

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973												0	0	0	1
1974			0	0	0	0		0	0	0	0	0	0	0	9
1975	26	0						0					26	8.7	3
1977	0	0	0	0	0	0			0	0	0	0	0	0	10
1978	0	0	0	0	0	0	0	0	197	15	0	43	255	21.2	12
1979	70	0	0.5	0	0	0	15	0	10	0	0	0	95.5	8	12
1980	0	5	0	0	0	7	0	0		0.4	0	0	12.4	1.1	11
1981	0	0	0	0	0	0	0	0	0	0.4	0	0	0.4	0	12
1982	0	0		0	0	0	0	0	0	0	27.3		27.3	2.7	10
1983	3	0	0	0	0	0	42	139.5	0	0		19	203.5	18.5	11
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MÁXIMA	70	5	0.5	0	0	7	42	139.5	197	15	27.3	43	255	21.2	12
MEDIA	12.4	0.6	0.1	0	0	0.9	9.5	17.4	29.6	2	3.9	7.8	62	6	9.1
DESV.ST	25	1.8	0.2	0	0	2.5	17	49.3	73.9	5.3	10.3	15.7	93.5	8	3.9

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973												26.3		26.3	1
1974			33.5	34.5	34.2	35.6		36.3	34.6	31.5	29.6	17.1		31.9	9
1975	24.9	18.9						38.1						27.3	3
1977	29.7	30.6	28.9	32	30.8	33.4			37.2	34.9	30.9	30.5		31.9	10
1978	27.6	27.2	30	29.2	30.3	35	39.5	39.7	36.4	33.4	31.2	24.3		32	12
1979	24.8	26.9	30.4	28	29.1	36.4	38.9	39.6	39.1	33.8	30.3	30.1		32.3	12
1980	28.1	30.6	30.7	31.9	31.4	39.2	43.6	44.9		32.6	29.6	26.6		33.6	11
1981	26.2	25.3	25.7	29.8	30.9	31.6	32	33.1	31.3	32.6	29.6	26.6		29.6	12
1982	26.2	25.3		29.8	30.9	29.8	33.5	27.7	23.9	28.6	29			28.5	10
