COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3099 
 NOMBRE    : SAN JUAN LONDO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LORETO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.22472222 ° 
 LONGITUD  : -111.475 ° 
 ALTITUD   : 40 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1974								20.3	91.5	0	29.5		141.3	35.3	4
1975	6	0	0	0	0	0	0	0	3.5	0	0	0	9.5	0.8	12
1976	0	2.7	0	0	0	0	16	31.5	38	0	9	1	98.2	8.2	12
1977	1	0	0	0	0	0	0	40.5	0	15.5	0	1	58	4.8	12
1978		24.5	0	0	0	0	12		31	38	0	7	112.5	11.2	10
1979	42	0	0	0	0	0	0	0	245	0	0	0	287	23.9	12
1980				0	0	0	0						0	0	4
1981		0	5	6.5	0	0	9	0	3	46			69.5	7.7	9
1982						0	7.5	0	16	0	10.4	4	37.9	5.4	7
1983	7	0	17.5	0	0	0	33	45	34.5		33	25.4	195.4	17.8	11
1984	21	0	0	0	0	0	48.9	29	36	14	1	20	169.9	14.2	12
1985	26	3	0	0	0	0	9	0	0	0	3	0	41	3.4	12
1986	2	1	0	2.5	0	0	0	0	0	0	0	33	38.5	3.2	12
1987	0	0	0	0	0	0	5.5	10	7	5	0	0	27.5	2.3	12
1988	0	0	0	0	0	0	17	0	0	0		0	17	1.5	11
1989			0	0	0	0	0	0	17.5		0	10.5	28	3.1	9
1990	0.01	0	0	0	0	0	12.5	10	23	37	32	80	194.51	16.2	12
1991	3.5	9	0	0	0	0	0	0	26	0	54	46	138.5	11.5	12
1992	18.5	35	5	8	0	0	0	13	14	0	0.01	6	99.51	8.3	12
1993	56	4	0	0	0	0	0	35	49	0	14	10	168	14	12
1994	0	0	0	0	0	0	0	52	14	0	16	63	145	12.1	12
1995	0	4	0	0	0	0	0	10	0	0	8	0	22	1.8	12
1996	0	3	0	0	0	0	0	56	10	0	0	0	69	5.8	12
1997	14	0.01	0	0	0	0	37	26	110	0	5	17	209.01	17.4	12
1998	0	0	0	0	0	2	6	32	0	0	0	0	40	3.3	12
1999	0	0	0	0	0	3	0	2	19	0	0	0	24	2	12
2000	0	0	0	0	0	0	26	14	23.5	0	2	2	67.5	5.6	12
2001	0	0							75	2	0	0	77	12.8	6
2002	0	5	0	0	0	0	0	0	10.5	2	7	9	33.5	2.8	12
2003	12	0	0	0	0	0	20	71	140	0	1.5	0	244.5	20.4	12
2004	30	7	2	1.5		0	7	70	8	4	7	0	136.5	12.4	11
2005	13	18	4	0	3	0	0	4	0	6	6	1.5	55.5	4.6	12
2006	0	0	0	0	0	0	10	10	260	80	0	0	360	30	12
2007	0	0	0	0	0	0	0	25	100	0	6	12	143	11.9	12
2008	5	0	0	0	0	0	0	180	7	85	5	0	282	23.5	12
2009	1	0	0	0	0	0	6	18	140	40	0	0	205	17.1	12
2010	1	3	0	0	0	0	0	4	186	0	0	0	194	16.2	12
2011	0	0	0	0	0	0	0	20	0	0	4	1	25	2.1	12
2012	0	5	0	0	0	0	0	82	90	125	0	0	302	25.2	12
2013	0	0	0	0	0	0	1	152	20	200	0	1	374	31.2	12
2014	0	0	0	0	0	0	50	10	150	142	0	0	352	29.3	12
