COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3102 
 NOMBRE    : EMILIANO ZAPATA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.54861111 ° 
 LONGITUD  : -113.3888889 ° 
 ALTITUD   : 60 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1974										1.2	1.2	0	2.4	0.8	3
1975	0	0	0	0	0	0	0	0		0	4	8.2	12.2	1.1	11
1976	0	16.5	0	3	0	0	0	0	0	0	0	7.2	26.7	2.2	12
1977	3.7	0	0	0	0	0	1.5	24	0	3.5	0	0	32.7	2.7	12
1978	0	22	10.5	0	0	0	2.3	0	17	3	23	12	89.8	7.5	12
1979	18	3	0	0	0	0	0	0	0	0	0.3		21.3	1.9	11
1980	10	23	0	0	0	0	27	0	0	0	0	3	63	5.2	12
1981	45	5	2	0	0						2.5	2.5	57	8.1	7
1982	0	0	0	0	0	0	50	0	0	0	60	0	110	9.2	12
1983	12	7	26	4.5	0	0	0	54	32	10	5	12	162.5	13.5	12
1984	20	0	0	10	0	0	17	7	44	0	6	45.5	149.5	12.5	12
1985	8	0	0	0	0	0	26		0	7.5	0	0	41.5	3.8	11
1986	0	0	0	0	0	0			0	0	6	11.5	17.5	1.8	10
1987	0	9	0	0	0		0		26	15	0		50	5.6	9
1988	0	0	0	0	2	0	0	0	0		0		2	0.2	10
1989	10	0	0	0	0	0	0	0	0	61	0	13.5	84.5	7	12
1990	0	0	0	0	0	0	3		0				3	0.4	8
1991	0	20	0	0	0	0	0	2.5	58.8	0	0	31.7	113	9.4	12
1992	19.5	18.5	7.5	0	0		0	48.5	0	0	0	42.4	136.4	12.4	11
1993	21.6	19.2	0		0	0	0	17.9	0	27.5	5.5	10.3	102	9.3	11
1994	0	0	0	0	0	0	0	11	0	0	20	67.7	98.7	8.2	12
1995	38.5	12.6	0	0	0	0	0	0	0	0	0	0	51.1	4.3	12
1996	0	0	0	0	0	3.4	0	52	0	0	0	0	55.4	4.6	12
1997	0.3	0	0	0	0	0	0	2.1	49.5	0	7.7	22.8	82.4	6.9	12
1998	0	9.7	1.5	0	0	0	23.4	5	0	0	0	0	39.6	3.3	12
1999	0	0	2	0	0	0	0	0	1.5	0	0	0	3.5	0.3	12
2000	0	1.5	16.3	0	0	0	0	20.1	0	0	0	0	37.9	3.2	12
2001	10.6	0	0	0	0	0	0	0	0	0	0	0	10.6	0.9	12
2002	1.3	10.3	0	0	0	0	0	0	0	0	0	15	26.6	2.2	12
2003	0	10.5	0	0	0	0	0	4.6	43.5	7.2	5.1	14.4	85.3	7.1	12
2004	0	0	21.2	0	0	0	0	0	28.8	0	0	0	50	4.2	12
2005	21.2	18.6	0	0	0	0	0	0	0	3.1	0	0	42.9	3.6	12
2006	0	0	0	0	0	0		0	23.5	74.3	0	0	97.8	8.9	11
2007	0	10.1	0	0	0	0	0	0	0	0	29.4	0	39.5	3.3	12
2008	4.5	0	0	0	0	0	0	6.7	2.8	0	0	9.4	23.4	2	12
2009	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0	12
2010	24.3	0	0	0	0	0	0	0	0	0	0	1.3	25.6	2.1	12
2011	0	0.5	0	2.3	0	0	0	0	0	0	0	0	2.8	0.2	12
2012	0	11.6	0	0	0	0	0	26.1	24.3	23.8	0	5.6	91.4	7.6	12
2013	15.8	0	0	0	0	0	0	15.6	15.9	0	0	5.8	53.1	4.4	12
2014	0	0	0	0	0	0	0	5.2	23.5	3.4	0	3	35.1	2.9	12
2015	9.4	8.5	30.3	0	0	24.6	0	0	20.1	10.4	2.9	0	106.2	8.8	12
2016	2.4	0	6.9	0	0	0	0	0	0	0	0	11.6	20.9	1.7	12
2017	9.3	27.4	0	0	0	0	0	0	32.5	0	0	0	69.2	5.8	12
2018	0	6.1	0	4	0	0	0	5.8	0	21.5	0	0	37.4	3.1	12
2019	4.8	4.2	17.8	0	0	0	10	0	3	0	24.6	22.9	87.3	7.3	12
2021	0	0	0	0	0	0	0	51.6	0	0	0	50	101.6	8.5	12
2022	0	0	0	0	0	2.04	0	0	88.8	0	0	3.1	93.94	7.8	12
2023	9.4	19.5	1.1	0	0	0	0	21.5	3	0	0	0	54.5	4.5	12
2024	3.6	7.5	0	0									11.1	2.8	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	3
MÁXIMA	45	27.4	30.3	10	2	24.6	50	54	88.8	74.3	60	67.7	162.5	13.5	12
MEDIA	6.6	6.2	2.9	0.5	0	0.7	3.6	8.9	11.7	5.9	4.2	9.6	56.2	4.9	11.2
DESV.ST	10.3	8	7.1	1.7	0.3	3.7	9.9	15.6	19.8	14.9	10.7	15.4	41.4	3.5	1.9

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1974										1.2	1.2	0	2.4	0.8	3
1975	0	0	0	0	0	0	0	0		0	4	20.4	24.4	2.2	11
1976	0	18.5	0	4.5	0	0	0	0	0	0	0	7.2	30.2	2.5	12
1977	9.6	0	0	0	0	0	1.5	29	0	9.4	0	0	49.5	4.1	12
1978	0	55.4	19.5	0	0	0	2.3	0	32	3	36	47	195.2	16.3	12
1979	54	3	0	0	0	0	0	0	0	0	0.3		57.3	5.2	11
1980	27	31	0	0	0	0	27	0	0	0	0	6	91	7.6	12
1981	58	10	2	0	0						4	4	78	11.1	7
1982	0	0	0	0	0	0	50	0	0	0	60	0	110	9.2	12
1983	13	9	42	4.5	0	0	0	71	43	14	5	12	213.5	17.8	12
1984	20	0	0	10	0	0	30	18	101.3	0	11.5	58	248.8	20.7	12
1985	15	0	0	0	0	0	26		0	19	0	0	60	5.5	11
1986	0	0	0	0	0	0			0	0	7	34	41	4.1	10
1987	0	14	0	0	0		0		54	15	0		83	9.2	9
1988	0	0	0	0	2	0	0	0	0		0		2	0.2	10
1989	10	0	0	0	0	0	0	0	0	61	0	19.5	90.5	7.5	12
1990	0	0	0	0	0	0	4		0				4	0.5	8
1991	0	22.7	0	0	0	0	0	2.5	58.8	0	0	42.8	126.8	10.6	12
1992	30.7	29.5	7.5	0	0		0	54	0	0	0	50.4	172.1	15.6	11
1993	29	30.2	0		0	0	0	17.9	0	36	5.5	19.8	138.4	12.6	11
1994	0	0	0	0	0	0	0	18.2	0	0	20.5	149.7	188.4	15.7	12
1995	53.7	12.6	0	0	0	0	0	0	0	0	0	0	66.3	5.5	12
1996	0	0	0	0	0	3.4	0	77	0	0	0	0	80.4	6.7	12
1997	0.3	0	0	0	0	0	0	2.1	115.7	0	7.7	41	166.8	13.9	12
1998	0	12	1.5	0	0	0	23.7	11.2	0	0	0	0	48.4	4	12
1999	0	0	2	0	0	0	0	0	1.5	0	0	0	3.5	0.3	12
2000	0	1.5	16.3	0	0	0	0	20.1	0	0	0	0	37.9	3.2	12
2001	10.6	0	0	0	0	0	0	0	0	0	0	0	10.6	0.9	12
2002	1.3	10.3	0	0	0	0	0	0	0	0	0	15	26.6	2.2	12
2003	0	13.5	0	0	0	0	0	4.6	59.8	7.2	5.1	19.2	109.4	9.1	12
2004	0	0	36.5	0	0	0	0	0	35.3	0	0	0	71.8	6	12
2005	37.3	30.9	0	0	0	0	0	0	0	3.1	0	0	71.3	5.9	12
2006	0	0	0	0	0	0		0	23.5	142.7	0	0	166.2	15.1	11
2007	0	10.1	0	0	0	0	0	0	0	0	29.4	0	39.5	3.3	12
2008	6.7	0	0	0	0	0	0	9.4	2.8	0	0	14.4	33.3	2.8	12
2009	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0	12
2010	24.3	0	0	0	0	0	0	0	0	0	0	1.3	25.6	2.1	12
2011	0	0.5	0	2.3	0	0	0	0	0	0	0	0	2.8	0.2	12
2012	0	11.6	0	0	0	0	0	44	24.3	31.2	0	5.6	116.7	9.7	12
2013	16.8	0	0	0	0	0	0	15.6	15.9	0	0	9.4	57.7	4.8	12
2014	0	0	0	0	0	0	0	5.2	60.5	6	0	5.8	77.5	6.5	12
2015	16	12.3	32.9	0	0	28.9	0	0	34.2	23.7	2.9	0	150.9	12.6	12
2016	3.9	0	10.4	0	0	0	0	0	0	0	0	22.5	36.8	3.1	12
2017	22.4	40.7	0	0	0	0	0	0	42.5	0	0	0	105.6	8.8	12
2018	0	6.1	0	4	0	0	0	5.8	0	21.5	0	0	37.4	3.1	12
2019	5.3	6.1	20.1	0	0	0	10	0	3	0	24.6	38.8	107.9	9	12
2021	0	0	0	0	0	0	0	51.6	0	0	0	50	101.6	8.5	12
2022	0	0	0	0	0	2.04	0	0	88.8	0	0	3.1	93.94	7.8	12
2023	10.9	19.5	1.1	0	0	0	0	36.4	3	0	0	0	70.9	5.9	12
2024	5.5	7.5	0	0									13	3.2	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	3
MÁXIMA	58	55.4	42	10	2	28.9	50	77	115.7	142.7	60	149.7	248.8	20.7	12
MEDIA	9.8	8.5	3.9	0.5	0	0.8	3.9	11.5	17.4	8.6	4.7	15.5	78.7	6.9	11.2
DESV.ST	15.3	12.6	9.8	1.8	0.3	4.3	10.5	20.1	29.7	23.6	11.4	26.7	60.9	5.2	1.9

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1974										71	125.4	105.9	302.3	100.8	3
