COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3103 
 NOMBRE    : SAN JOSE DE MAGDALENA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.06111111 ° 
 LONGITUD  : -112.2388889 ° 
 ALTITUD   : 230 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1974								10.5	0	0	11.5	6	28	5.6	5
1975	5.5	0	0	0	0	0	0	0	0	0	0	3	8.5	0.7	12
1976	0	6	0	0	0	0	10.5	50	80	0	4	2	152.5	12.7	12
1977	0	0	0	0	0	0	6	62	5	0	0	0	73	6.1	12
1978	0	10.5	4.5	0	0	0	13	8	13.5	50.4	6	8	113.9	9.5	12
1979	19.9	0	0	0	0	0	0	20	12.6	0	0	0	52.5	4.4	12
1980	0	1.5	0	0	0	0	17.9	0	0			27	46.4	4.6	10
1981	17.8	0	3.5	7	0	0	15.5	170.3		5	0	0	219.1	19.9	11
1982	0	0	0		0	0	40	11.3	30.5	0	34.5	2.4	118.7	10.8	11
1983				0	0	0	16.5	36.5	11.5	0	13.4	2	79.9	8.9	9
1984	36	0	0	0	0	0	48	16	51.5	11	7	16.2	185.7	15.5	12
1985	8.4	0	0	4.2	0	0	8	18.2	0	0	7.4	0	46.2	3.9	12
1986	0	0	0	0	0	0	20	14	19	0	19	13	85	7.1	12
1987	0	0	0	0	0	0	42	0	9.8	0	0	0	51.8	4.3	12
1988	0	0	0	0	0	0	60	14	0	0	0	13.3	87.3	7.3	12
1989	8	0	0	0	0	0	13.5	2	0	0	0	3	26.5	2.2	12
1990	0	0	0	0	0	0	32	65		32	0	71.5	200.5	18.2	11
1991	40	25	0	0	0	0	0	20	7.5	0	24.5	6	123	10.2	12
1992	39	3.5	25	11.5	0	0	12.6	23.5	0	0	0	20	135.1	11.3	12
1993	52	12	0	0	0	0	0	23	56	2	6	9.2	160.2	13.3	12
1994	0	0	0	0	0	1	0	20	120	0	57	26.3	224.3	18.7	12
1995	7	11.5	0	0	0	0	0	7	0	0	12	0	37.5	3.1	12
1996	0	7	0	0	0	0	0	19	31	0	7	0	64	5.3	12
1997	8	0	0	0	0	0.01	17	16.2	113.6	0	2.5	6	163.31	13.6	12
1998	0	3	0	0	0	0	11	126	0	0	0	0	140	11.7	12
1999	0	0	0	0	0	10.5	46	6	27.5	0	0	0	90	7.5	12
2000	0	0	0	0	0	0	0	49	7.2	0	0	0	56.2	4.7	12
2001	0	0	3	0	0	0	0	3	125	0	0	0	131	10.9	12
2002	0	6	5	0	0	0	0	3	18	0	4	32	68	5.7	12
2003	0	0	0	5.5	0	0	40	48.5	129.5	65.5	1	0	290	24.2	12
2004	5	8.5	3.8	0	0	0	20	17.3	53.5	0	2.5	1.5	112.1	9.3	12
2005	7.5	13.5	0	0	3.5	0	107	63.5	0	0	0	0	195	16.2	12
2006	0	0	0	0	0	0	14.5	4	313	96.5	0	0	428	35.7	12
2007	0	0	0	0		0	0	4.5	20	6.5	13.4	0	44.4	4	11
