COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3104 
 NOMBRE    : LOS ROBLES 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.03611111 ° 
 LONGITUD  : -110.125 ° 
 ALTITUD   : 665 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1976								14.2	298	62.2	2.2	11.5	388.1	77.6	5
1977	0	0	0	0	0	0	1.5	50.2	20	27.5	0	0	99.2	8.3	12
1978	0	12.2	0	0	0	0	3	20	44	21.5	0	10	110.7	9.2	12
1979	23	12.5	0	0	21.2	0	14.5	12	36.2	0	0	1	120.4	10	12
1980	0	0	0	0	0	0	17.5	12.5	39	11	0	2	82	6.8	12
1981	32.5	0	15	0	0	0	4.2	20	35	89	0	0	195.7	16.3	12
1982	0	0	0	0	0	0	11.2	36.2	235	0	19	54.5	355.9	29.7	12
1983	7	6.3	35.5	0	0	0	21.2	78	37.2	37.2	5.5	20	247.9	20.7	12
1984	32.5	0	0	0	0	8.5	3.8	53	29.5	12	0	33	172.3	14.4	12
1985	16.5	0	0.5	0	0	0	38.8	3	27	0	9.5	0	95.3	7.9	12
1986	0	1.5	0	9	0	0	19.3	42.5	58.5	86	0	23.7	240.5	20	12
1987	1	0	0	0	0.01	0	37	36.2	43	10.7	2.5	1.4	131.81	11	12
1988	0	0.01	0	0	0	0	10.5	7.5	59	9	0	9	95.01	7.9	12
1989	37.5	17.2	2.3	0	0	0	17.2	50	12.2	5.1	3.5	53.5	198.5	16.5	12
1990	1.3	2.8	1.5	0	0	0	95	33.7	31.5				165.8	18.4	9
1991	1.1	7.5	0	0	0	1.1	0	20	38.5	4.4	14	17	103.6	8.6	12
1992	13.6	13.1	7.2	1	0	0	2	10	4.8	0.01	0	2.6	54.31	4.5	12
1993	23.5	3.5	0	0	0	0	17.5	14.5	52	0.5	98	0.5	210	17.5	12
1994	0	0	0	0	0	0.5	2	25	40	40	45	64	216.5	18	12
1995	4.5	0.5	0	0	0	0					1	10	16	2	8
1996	0	0	0	4	0	0	1	50	129	0	11.5	0	195.5	16.3	12
1997	33	0	1	5.5	0	0	86.5	40	33	2.5	41.5	6	249	20.8	12
1998	0	6	0	0	0		7.5	36.5	74.5	2.5	0	0	127	11.5	11
1999	0	0	0	0	0	0	0	36.5	46	0	0	0	82.5	6.9	12
2000	0	0	2.5	0	0	0	5.5	106.5	15.5	30.5	4.5	2.5	167.5	14	12
2001	1	0	0	0	4.5	0	34.5		229	3.5	0	0	272.5	24.8	11
2002	0	5	0.6	0	8	0	10	24	119.5	0	2	1.5	170.6	14.2	12
2003	8	18	0	0	6	0		125	153.5	0	0	0	310.5	28.2	11
2004	35	0	11.5	0	0	0	33.5	18	10	9	0	5.5	122.5	10.2	12
2005	4	40.5	0	0	0	0	26	4.5	25.5	0	0	0	100.5	8.4	12
2006	8.5	0	0	0	0			21.5	160	22.5	0	0	212.5	21.2	10
2007	8.5	1.5	0	0	0	0	0	29.5	359	5.5	0		404	36.7	11
2008	0	0	0	0	0	0	27	28	22	17	0	0	94	7.8	12
2009	0	0	3.5	0	0	0	27	35	0	26.6	0	0	92.1	7.7	12
2010	2	8	2.5	0	0	0	0	35.5	61.5	25.6	0	0	135.1	11.3	12
2011	0	0	0	0	0	0	22.5	40	31	0	30	0	123.5	10.3	12
2012	0	0	0	0	0	0	7.5	21.5	40	22.5	0	24.5	116	9.7	12
2013	0	0	0	0	0	0	6	0	67	8	0	20.5	101.5	8.5	12
2014	0	0	0	0	0	0	19.5	46.5	86	9.6	2.5	0	164.1	13.7	12
2015	21	0	5.5	0	0	21	8.5	23	18.5	15.5	0	0	113	9.4	12
2016	0	0	13	0	1	0	6	173.5	44.5	5.5	0	0	243.5	20.3	12
2017	0	5	0	0	0	1	25	248	34	0	0	0	313	26.1	12
2018	1	3	0	0	0	15	9.5	45.5	45	0	0	52.5	171.5	14.3	12
2019	11.5	1	0.2	0	0	0	0	34.5	75	67	45	0	234.2	19.5	12
2020	1	26.01	4	1		0	2.5	8.5	51.5	13	0	7	114.51	10.4	11
2022	8		4	0		1.5	8.5	17	123	0	0	7	169	16.9	10
2023	23.5	3.5	0	0	0	0	0	0	0	282.5	0	0	309.5	25.8	12
2024	0	0	0	0	0								0	0	5
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MÁXIMA	37.5	40.5	35.5	9	21.2	21	95	248	359	282.5	98	64	404	77.6	12
MEDIA	7.7	4.2	2.3	0.4	0.9	1.1	16.1	39.7	69.4	21.9	7.3	9.8	171	15.6	11.4
DESV.ST	11.5	8	6	1.6	3.5	4	20.1	45.3	76.9	45.5	18.1	16.7	91	11.8	1.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1976								32.5	396.3	93.6	4.4	13.7	540.5	108.1	5
1977	0	0	0	0	0	0	1.5	74.7	21.5	51.9	0	0	149.6	12.5	12
1978	0	14.4	0	0	0	0	9.9	39.7	111.5	40.5	0	13	229	19.1	12
1979	43	25	0	0	21.2	0	15.5	27.5	112.9	0	0	1	246.1	20.5	12
1980	0	0	0	0	0	0	17.5	33.6	98.2	23	0	2	174.3	14.5	12
1981	62.2	0	16	0	0	0	10.6	65.2	82.2	144	0	0	380.2	31.7	12
1982	0	0	0	0	0	0	17.7	38.5	430.9	0	30	61.1	578.2	48.2	12
1983	16.4	11.8	41	0	0	0	30.2	167.3	87.2	61.7	8	20	443.6	37	12
1984	46.5	0	0	0	0	8.5	12.7	223.8	73.8	17	0	83.5	465.8	38.8	12
1985	21	0	0.5	0	0	0	74.7	10.6	75	0	18.3	0	200.1	16.7	12
1986	0	1.5	0	9.51	0	0	37.3	121.3	107.5	120.7	0	26.2	424.01	35.3	12
1987	1	0	0	0	0.01	0	56.3	44	75	26.4	2.5	4.61	209.82	17.5	12
1988	0	0.02	0	0	0	0	10.8	14	92.2	16	0	11	144.02	12	12
1989	55.5	19.8	2.3	0	0	0	17.2	118.3	34.5	10.6	4	56.7	318.9	26.6	12
1990	1.3	4.9	2.5	0	0	0	198.1	56.3	67.31				330.41	36.7	9
1991	2	16	0	0	0	1.1	0	56.5	130.8	8.9	22.6	45.9	283.8	23.7	12
1992	49	20.2	11	1	0	0	3.42	15.52	15.71	0.01	0	4.6	120.46	10	12
1993	50.6	5	0	0	0	0	35	53.3	102.6	0.8	104.5	0.5	352.3	29.4	12
1994	0	0	0	0	0	0.5	2	60	104.5	45	84	141	437	36.4	12
1995	6.5	0.5	0	0	0	0					2	10	19	2.4	8
1996	0	0	0	5	0	0	1	315.6	169.5	0	11.5	0	502.6	41.9	12
1997	53.5	0	1.5	5.5	0	0	129.5	69.5	120	2.5	86.1	16.1	484.2	40.4	12
1998	0	13	0	0	0		30.2	71.6	133	3	0	0	250.8	22.8	11
1999	0	0	0	0	0	0	0	60.5	77	0	0	0	137.5	11.5	12
2000	0	0	2.5	0	0	0	5.5	146.5	35	40.5	4.5	2.5	237	19.8	12
2001	1	0	0	0	4.5	0	43		474.5	6.5	0	0	529.5	48.1	11
2002	0	7	0.6	0	8	0	13.5	30.51	187	0	2	1.5	250.11	20.8	12
2003	10.5	20.5	0	0	6	0		244.6	304	0	0	0	585.6	53.2	11
2004	95.5	0	11.5	0	0	0	63	70	34.5	23	0	5.5	303	25.2	12
2005	5	87	0	0	0	0	44.5	4.5	28	0	0	0	169	14.1	12
2006	11.5	0	0	0	0			48.5	224	33.5	0	0	317.5	31.8	10
2007	27	1.5	0	0	0	0	0	39.03	421.5	5.5	0		494.53	45	11
2008	0	0	0	0	0	0	31.5	101	45.5	32.1	0	0	210.1	17.5	12
2009	0	0	3.5	0	0	0	31.5	157	0	98.6	0	0	290.6	24.2	12
2010	2	10.5	2.5	0	0	0	0	97	61.5	116.9	0	0	290.4	24.2	12
2011	0	0	0	0	0	0	28.51	61	43.5	0	45.5	0	178.51	14.9	12
