COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3105 
 NOMBRE    : SAN IGNACIO DE LOS ROMERO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.5875 ° 
 LONGITUD  : -111.6402778 ° 
 ALTITUD   : 140 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1976								9	8	0	11	2.5	30.5	6.1	5
1977	3	0	1.5	0	0	0	0	26.5	3	22	0.5	0	56.5	4.7	12
1978	0	20	0	0		0	44	0	0	29.5	4	4	101.5	9.2	11
1979	62	0	0	0	0	0	0	0	0	0	0		62	5.6	11
1980	0	0	0	0	0	0	3	0	0	2.5	0	0	5.5	0.5	12
1981	82	0	25	12	0	0	0	33.5	35	0	0	0	187.5	15.6	12
1982		0	0	0	0	15	15	0	6	0	19	0	55	5	11
1983	20	19.5	69					0		0	35		143.5	23.9	6
1984				2	0	0.01	37.5	70.5	26.5	1	7.5	31.5	176.51	19.6	9
1985	26.5	0.2	0.5	0.5	0	0	0.01	7.5	7	0.01	8	0	50.22	4.2	12
1986	0.8	2.4	0.9	5	0.1	0.01	4.5	48.8	27.5	0	0	15	105.01	8.8	12
1987	0.01	5	0.01	0.01	0.01	0	0.7	0.01	32	1.4	4.4	4	47.55	4	12
1988	0.6	0.01	0.01	0.2	0	0	7	29.9	0.7	0.01	0	15	53.43	4.5	12
1989	12.7	34.1	1	0	0	0	11.1	47.5	10.5	2.2	0.01	13	132.11	11	12
1990	0.01	1.4	0	0	0	0		21.5	11	13	30.5	39	116.41	10.6	11
1991	14.3	9	2	0	0	0	0	2	18.7	0	25.7	59	130.7	10.9	12
1992	21.2	9.5	17.5	1.3	0.01	0	19.8	12	13.5	0	0.01	34	128.82	10.7	12
