COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3106 
 NOMBRE    : SAN JOSE DEL PACIFICO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 27.5375 ° 
 LONGITUD  : -114.4722222 ° 
 ALTITUD   : 380 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975	0	0	0	3	0	0	0	0	0	0	0	7	10	0.8	12
1976	0	0	0	0	0	0	9	0	20	0	2	28	59	4.9	12
1977	21	0	8	1	0	0	0	38	0	99	0	4	171	14.2	12
1978	11	44	44	0	0	0	0	0	0	18	8	32	157	13.1	12
1979	36	0	7	0	0	0	0	0	0	0	4	0	47	3.9	12
1980	31	118	0	0	0	0	0	0	0	0	0	3	152	12.7	12
1981	3	2	9	0	0	0	0		0	2	0	0	16	1.5	11
1982	0	0	0		0	0	0	0		0	16	6	22	2.2	10
1983	0	0	52	4.2	0	0	0	12	6	12	0	12	98.2	8.2	12
1984	22	30	0	0	0	5	0	33	10	6	0	9.8	115.8	9.7	12
1985	13					0	0	0	0	0	0	0	13	1.6	8
1986	8	2	0	0	0	0	0	0.01	0	0	0	4	14.01	1.2	12
1987	0	4	0.4	0	0	0	0	0	0				4.4	0.5	9
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	4.4	0.5	8
MÁXIMA	36	118	52	4.2	0	5	9	38	20	99	16	32	171	14.2	12
MEDIA	11.2	16.7	10	0.7	0	0.4	0.7	6.9	3	11.4	2.5	8.8	67.6	5.7	11.2
DESV.ST	12.7	35	18.2	1.5	0	1.4	2.5	13.8	6.2	28.2	4.9	10.6	62.9	5.2	1.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975	0	0	0	3	0	0	0	0	0	0	0	12	15	1.2	12
1976	0	0	0	0	0	0	9	0	42	0	2	35.5	88.5	7.4	12
1977	21	0	9.5	1	0	0	0	70	0	143.5	0	4	249	20.8	12
1978	11	57	65	0	0	0	0	0	0	18	8	52.5	211.5	17.6	12
1979	49	0	12.5	0	0	0	0	0	0	0	4	0	65.5	5.5	12
1980	44	118	0	0	0	0	0	0	0	0	0	5.5	167.5	14	12
1981	3	2	21	0	0	0	0		0	2	0	0	28	2.5	11
1982	0	0	0		0	0	0	0		0	16	6	22	2.2	10
1983	0	0	73.5	4.2	0	0	0	19	6	19	0	17	138.7	11.6	12
1984	26	30	0	0	0	5	0	33	18	6	0	16.8	134.8	11.2	12
1985	13					0	0	0	0	0	0	0	13	1.6	8
1986	8.01	2	0	0	0	0	0	0.01	0	0	0	7	17.02	1.4	12
1987	0	9.7	0.4	0	0	0	0	0	0				10.1	1.1	9
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	10.1	1.1	8
MÁXIMA	49	118	73.5	4.2	0	5	9	70	42	143.5	16	52.5	249	20.8	12
MEDIA	13.5	18.2	15.2	0.7	0	0.4	0.7	10.2	5.5	15.7	2.5	13	89.3	7.5	11.2
DESV.ST	17	35.9	26.2	1.5	0	1.4	2.5	21.6	12.7	40.9	4.9	16	83	6.8	1.4

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975	70.6	102.9	123	155.4	177.8	206.1	255.4	226.9	218.1	152.8	123.5	112.4	1924.9	160.4	12
1976	97.5	128.6	140.3	159.5	144.9	229.3	172.1	175.2	146.8	147.7	117.2	123.9	1783	148.6	12
1977	90.3	139.3	157.5	166.5	182.3	186.1	222.5	215.8	163.8	120	73		1717.1	156.1	11
1978			66.3	157	228.1	189.2	198.8	189.1	181.4	134.9	90.4	93.3	1528.5	152.8	10
1979	126.4	102.8	159.1	187.5	176.2	210.4	243.5	221.7	193.4	197.2	184.3	134.9	2137.4	178.1	12
1980	89.8	95	127.1	183	176.4	207.5	197.6	253.3	211.9	156.1	100.1	103.6	1901.4	158.4	12
1981	86.2	137.8	138.1	153.5	165.8						114.1	103.9	899.4	128.5	7
1982	65.5	118.6											184.1	92.1	2
1983					171.8								171.8	171.8	1
1984	57.9	53.4	64.9	62.4	66.3								304.9	61	5
MÍNIMA	57.9	53.4	64.9	62.4	66.3	186.1	172.1	175.2	146.8	120	73	93.3	171.8	61	1
MÁXIMA	126.4	139.3	159.1	187.5	228.1	229.3	255.4	253.3	218.1	197.2	184.3	134.9	2137.4	178.1	12
MEDIA	85.5	109.8	122	153.1	165.5	204.8	215	213.7	185.9	151.4	114.7	112	1255.2	140.8	8.4
DESV.ST	21.5	28.2	37.1	38.8	43.1	15.7	31.3	27.9	27.6	26.1	35.3	15.2	786.1	37.1	4.4

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975	21.9	22	21.4	21.4	22.7	26.5	35.3	32.7	32.7	26.1	25.6	20.6		25.7	12
1976	23	22.8	26.7	25.6	26.5	31.8	34	34.8	29.4	27.9	28.2	22.4		27.8	12
1977	23.1	26.3	24.4	25.6	23.4	30.4	32.2	31.7	32.3	32.2	25.8	25.3		27.7	12
1978	24.6	24.2	25.4	23.9	26.6	30.4	32.4	32.7	31.4	31.8	22.5	19.9		27.1	12
1979	19.2	22.2	22	25.2	25.9	33.6	33.8	31.6	34	28.8	26.6	24.5		27.3	12
1980	22.6	22.9	22.2	28.7	27.7	32	35	34.3	32.5	31.9	26.3	24.5		28.4	12
1981	23.8	26.2	24.7	24.4	26	33.4	38.5		37.4	32	27.9	26.4		29.2	11
1982	25.1	29.1	27.6		30.5	31.8	36.4	36.4		34.5	30.6	26		30.8	10
1983	27.3	28.1	27.1	27.4	30.2	29.3	38.4	38	39.6	37.9	30.7	32.9		32.2	12
1984	27.5	27.9	29.6	31	32.7	29.4	34.7	38.4	37.1	34.4	24.9	23.9		31	12
1985	24.7					29.6	33.1	32.2	36.6	33.4	26	23.7		29.9	8
1986	28.6	24.4	25	28.1	26.4	29.4	33.5	34.6	31.4	29.3	26.8	20.7		28.2	12
1987	24.7	21.6	23.6	27.5	25.7	28.7	29.9	32.5	33.6					27.5	9
MÍNIMA	19.2	21.6	21.4	21.4	22.7	26.5	29.9	31.6	29.4	26.1	22.5	19.9		25.7	8
MÁXIMA	28.6	29.1	29.6	31	32.7	33.6	38.5	38.4	39.6	37.9	30.7	32.9		32.2	12
MEDIA	24.3	24.8	25	26.3	27	30.5	34.4	34.2	34	31.7	26.8	24.2		28.7	11.2
DESV.ST	2.5	2.6	2.5	2.6	2.9	2	2.4	2.4	3	3.3	2.3	3.5		1.8	1.4

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975	28	26	30	26	25	34	38	36	37	32	31	28		30.9	12
1976	30	28	33	31	32	37	39	42	36	33	34	26		33.4	12
1977	27	31	29	33	27	37	37	38	36	39	33	30		33.1	12
1978	31	29	30	30	32	35	38	36	39	38	30	26		32.8	12
1979	23	28	28	31	31	38	39	40	39	38	31	31		33.1	12
1980	31	30	27	35	34	39	42	39	39	36	33	31		34.7	12
1981	31	31	31	31	32	37	44		42	38	34	32		34.8	11
1982	30	34	34		35	34	43	42		38	37	34		36.1	10
1983	33	32	32	36	36	35	44	43	43	43	34	39		37.5	12
1984	32	32	33	36	39	32	39	43	42	42	31	30		35.9	12
1985	30					34	36	36	41	41	31	30		34.9	8
1986	35	34	34	36	34	34	42	40	36	35	33	24		34.8	12
1987	33	29	32	34	30	35	37	38	40					34.2	9
MÍNIMA	23	26	27	26	25	32	36	36	36	32	30	24		30.9	8
MÁXIMA	35	34	34	36	39	39	44	43	43	43	37	39		37.5	12
MEDIA	30.3	30.3	31.1	32.6	32.2	35.5	39.8	39.4	39.2	37.8	32.7	30.1		34.3	11.2
DESV.ST	3	2.5	2.3	3.2	3.8	2	2.8	2.7	2.5	3.4	2	4		1.7	1.4

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975	7.9	7.8	8.7	8	10.3	12.2	17.6	16.2	16.1	12.8	9.6	8.9		11.3	12
1976	7.4	8.8	9.1	10.4	11.3	13.7	13.4	16.5	17	15	12.1	9.6		12	12
1977	9	10.4	9.2	10.3	11	13.9	14.5	17.1	17.9	16.1	10.9	11.7		12.7	12
1978	10.4	10.5	12.2	11.2	11.7	14.1	15.6	16.9	17.3	15.4	11.2	8.6		12.9	12
1979	8.4	8.9	9.9	11.2	11.7	15.9	15.6	16.7	17.6	12.2	8.7	5.3		11.8	12
1980	5.5	5.6	7.2	6.5	7.6	8.1	12.5	16.4	11.1	10.6	8	5.1		8.7	12
1981	5.1	4.8	4.6	5.4	8.6	11.8	15		11.5	11	9.8	9		8.8	11
1982	7.4	9.2	10		11.5	11.4	15.2	13.3		11.5	10.2	7.6		10.7	10
1983	5.6	6.5	5.5	6.6	7.7	10.5	14.4	12	17.1	16.2	10.4	11.8		10.4	12
1984	8.8	9.4	8.7	10.2	11.3	9.9	13.7	16	14.4	14.2	10.5	8.4		11.3	12
1985	9					13	18	19.7	15.1	14.2	11	9		13.6	8
1986	9.6	8.2	10.5	11.8	11.2	12	15.5	16.6	13.7	12	10.9	7.2		11.6	12
1987	8.3	7.4	8.4	10.2	11.1	11.8	13	15.8	18.6					11.6	9
MÍNIMA	5.1	4.8	4.6	5.4	7.6	8.1	12.5	12	11.1	10.6	8	5.1		8.7	8
MÁXIMA	10.4	10.5	12.2	11.8	11.7	15.9	18	19.7	18.6	16.2	12.1	11.8		13.6	12
MEDIA	7.9	8.1	8.7	9.3	10.4	12.2	14.9	16.1	15.6	13.4	10.3	8.5		11.3	11.2
DESV.ST	1.6	1.8	2.1	2.2	1.5	2	1.6	1.9	2.5	2	1.1	2.1		1.4	1.4

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975	3	5	6	5	7	10	15	12	12	8	6	5		7.8	12
1976	3	4	5	7	8	11	9	13	15	11	7	7		8.3	12
1977	5	5	5	6	7	10	12	9	15	14	7	8		8.6	12
1978	7	7	9	7	10	10	12	11	12	11	7	3		8.8	12
1979	5	6	5	8	9	10	12	11	11	7	3	3		7.5	12
1980	2	2	5	3	6	4	6	12	8	7	5	2		5.2	12
1981	0	0	3	3	4	9	10		9	9	7	6		5.5	11
1982	4	6	6		8	9	12	10		10	6	0		7.1	10
1983	0	3	3	4	4	5	7	8	12	11	6	8		5.9	12
1984	6	7	6	7	7	7	9	12	11	9	6	5		7.7	12
1985	5					10	14	17	10	10	6	5		9.6	8
1986	7	3	7	9	8	10	13	14	9	9	9	4		8.5	12
1987	4	4	5	6	8	9	10	12	15					8.1	9
MÍNIMA	0	0	3	3	4	4	6	8	8	7	3	0		5.2	8
MÁXIMA	7	7	9	9	10	11	15	17	15	14	9	8		9.6	12
MEDIA	3.9	4.3	5.4	5.9	7.2	8.8	10.8	11.8	11.6	9.7	6.2	4.7		7.6	11.2
DESV.ST	2.3	2.1	1.6	2	1.8	2.1	2.6	2.3	2.4	2	1.4	2.4		1.3	1.4

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975	14.9	14.9	15	14.7	16.5	19.4	26.4	24.5	24.4	19.5	17.6	14.8		18.6	12
1976	15.2	15.8	17.9	18	18.9	22.8	23.7	25.6	23.2	21.4	20.1	16		19.9	12
1977	16	18.4	16.8	18	17.2	22.1	23.4	24.4	25.1	24.2	18.4	18.5		20.2	12
1978	17.5	17.4	18.8	17.5	19.1	22.2	24	24.8	24.4	23.6	16.9	14.2		20	12
1979	13.8	15.6	15.9	18.2	18.8	24.8	24.7	24.1	25.8	20.5	17.6	14.9		19.6	12
1980	14.1	14.2	14.7	17.6	17.6	20	23.8	25.3	21.8	21.2	17.1	14.8		18.5	12
1981	14.4	15.5	14.6	14.9	17.3	22.6	26.8		24.4	21.5	18.9	17.7		19	11
1982	16.2	19.1	18.8		21	21.6	25.8	24.9		23	20.4	16.8		20.8	10
1983	16.4	17.3	16.3	17	19	19.9	26.4	25	28.4	27	20.6	22.4		21.3	12
1984	18.1	18.6	19.1	20.6	22	19.6	24.2	27.2	25.8	24.3	17.7	16.1		21.1	12
1985	16.9					21.3	25.6	26	25.9	23.8	18.5	16.4		21.8	8
1986	19.1	16.3	17.8	20	18.8	20.7	24.5	25.6	22.5	20.6	18.9	13.9		19.9	12
1987	16.5	14.5	16	18.9	18.4	20.2	21.4	24.1	26.1					19.6	9
MÍNIMA	13.8	14.2	14.6	14.7	16.5	19.4	21.4	24.1	21.8	19.5	16.9	13.9		18.5	8
MÁXIMA	19.1	19.1	19.1	20.6	22	24.8	26.8	27.2	28.4	27	20.6	22.4		21.8	12
MEDIA	16.1	16.5	16.8	17.8	18.7	21.3	24.7	25.1	24.8	22.6	18.6	16.4		20	11.2
DESV.ST	1.6	1.7	1.6	1.8	1.6	1.6	1.5	0.9	1.8	2.1	1.3	2.4		1	1.4
