COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3107 
 NOMBRE    : SANTA AGUEDA 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.26 ° 
 LONGITUD  : -112.3508333 ° 
 ALTITUD   : 220 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1976									100	0	0	2.5	102.5	25.6	4
1977	3	0	1.5	0	0	0	0	45	0	5.3	0	0	54.8	4.6	12
1978	0	20	0	0	0	0	3	18.5	5	48	2	5.5	102	8.5	12
1979	14	0	0	0	0	0	0	12	10	0	0	0	36	3	12
1980	0	10	0	0	0	0	23	0	2	0	0	11	46	3.8	12
1981	11	3.5	7.5	2	0	0	15	2	4	6	0	0	51	4.2	12
1982	10	0	0	0	0	0	15	35	2.5	0	24	2	88.5	7.4	12
1983				3.5	0	0	15	90	40	0	3	0	151.5	16.8	9
1984	13	0	0	0	0	0	18	65	32	30	4	9	171	14.2	12
1985	8	0	0	3	0	0	5	20	2	1	13	0	52	4.3	12
1986	5	1	0	0	6	0	0	13	2.5	0	6	17	50.5	4.2	12
1987	2	2	0	0	1	0	39.9	0.01	26	0.01	0	2	72.92	6.1	12
1988	0	0	0	0	0	0	6	44	0.01	0	0	20	70.01	5.8	12
1989	9	1.5	0	0	0	0	0.01	2	1.5	12	0	8	34.01	2.8	12
1990	3	1.5	0.01	0		0	4.5	45	24	11.5	2	34	125.51	11.4	11
1991	33	14	3	0	0	0	0	12	7	0	78	18	165	13.8	12
1992	26	9.5	31	0	0	0	0	46	6	0	0	6	124.5	10.4	12
1993	40.2	9	0	0	0	0	0	30	20	0	4.5	23	126.7	10.6	12
1994	0	0	0	0	0	0	0	3	110	0	40	20	173	14.4	12
1995	8	27	0	0	0	0	14	0.01	0	0	11	0.01	60.02	5	12
1996	0	5	0	0	0	0	20	6	4	0	0	0	35	2.9	12
1997	5	0	0	0	0	0	25	37	184.3	0	2	13	266.3	22.2	12
1998	0	4	0	0	0	0	8	102	20	0	0	0	134	11.2	12
1999	0	0	0	0	0	2	0	8	9	0.01	0	0	19.01	1.6	12
2000	0	0	0.01	0	0	0	3	11	9.5				23.51	2.6	9
2001	1	0	0	1	0	0	10.5	1	80	0	0	0	93.5	7.8	12
2002	1	8	0	0	0	0	1	4.5	2	0	14	31	61.5	5.1	12
2003	0	0.01	0	0	0	0	44	74	131	76	2	0.01	327.02	27.3	12
2004	6	12	9	0	0	0	22	1.5	27	0	0.01	3	80.51	6.7	12
2005	4	11	0	0	0	0	13	15	0.01	4	0	0	47.01	3.9	12
2006	0	0	0	0	0	0	8	0	224	65	0	1	298	24.8	12
2007	4	0	0	0	0		0	6	14	5	10	1	40	3.6	11
2008	2	0	0	0	0	0	0	116	4	0		0	122	11.1	11
2009	2	0	0	0	0	0	0.01		276	7	0.01	0.01	285.03	25.9	11
2010	2	20	0	0.01	0	0	0	12	35	0	0	0	69.01	5.8	12
2011	0	0	0	0	0	0	8	6	52	0	13	0	79	6.6	12
2012	0	30	0	0	0	0	0	54	26	47	0		157	14.3	11
2013	9	0	0	0	0	0	2	40	3	15	2	2	73	6.1	12
2014	0	0	0.01	0	0	0	8	44	283	18	0	0	353.01	29.4	12
2015	12	34	0	13	0	115	13		132	7	0	0	326	29.6	11
2016	0.01	0	2	0	0	0	0.01	0.01	270	0	0	32	304.03	25.3	12
2017	1	11	0	0		0	12	12	36	200.4	0.01	2	274.41	24.9	11
2018	0	0.1	0	0	0	3	0.01	2	28	36	0	1	70.11	5.8	12
2019	10	1	3	0	0	0	0.01	7	29	0.01	31	12	93.02	7.8	12
2020	0	0	34	0	0	0			0	0	0	5	39	3.9	10
2021	21	0	0	0	0	2	1	0	0	0	6	22	52	4.3	12
2022	0	0	0	0	0	0	48	0.01	0		0	0	48.01	4.4	11
2023	1.5	3	0	0	0	0	0	173.5	3	0	0	0	181	15.1	12
2024	0	0.01	0										0.01	0	3
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	3
MÁXIMA	40.2	34	34	13	6	115	48	173.5	283	200.4	78	34	353.01	29.6	12
MEDIA	5.7	5.1	1.9	0.5	0.2	2.7	8.8	27.6	47.4	12.9	5.8	6.6	118.5	10.5	11.3
DESV.ST	8.8	8.6	6.8	2	0.9	16.9	12	36.8	77.5	33.4	13.8	9.7	94	8.4	1.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1976									155.7	0	0	4	159.7	39.9	4
1977	3.5	0	1.5	0	0	0	0	84	0	5.9	0	0	94.9	7.9	12
1978	0	25.5	0	0	0	0	3	19.5	5	57	2	11.5	123.5	10.3	12
1979	20.5	0	0	0	0	0	0	13	20	0	0	0	53.5	4.5	12
1980	0	10	0	0	0	0	23	0	2	0	0	21	56	4.7	12
1981	23.2	3.5	9.5	2	0	0	15	2	4	6	0	0	65.2	5.4	12
1982	12	0	0	0	0	0	21	35	2.5	0	29	5	104.5	8.7	12
1983				3.5	0	0	21.5	151	42	0	6	0	224	24.9	9
1984	19	0	0	0	0	0	61	104	58	46	4	25.5	317.5	26.5	12
1985	11	0	0	3	0	0	9	27	4	1	13	0	68	5.7	12
1986	5	1	0	0	6	0	0	20	2.5	0	10	20.02	64.52	5.4	12
1987	2	5	0	0	1	0	39.9	0.01	38.5	0.01	0	3.01	89.43	7.5	12
1988	0	0	0	0	0	0	9	56	0.01	0	0	20	85.01	7.1	12
1989	14	1.5	0	0	0	0	0.01	3.5	1.5	12	0	12.01	44.52	3.7	12
1990	4	1.5	0.01	0		0	9	83	39.5	16	2.01	53	208.02	18.9	11
1991	36	42	3	0	0	0	0	16	7.01	0	123	25	252.01	21	12
1992	34.02	21.01	45	0	0	0	0	139	6	0	0	11	256.03	21.3	12
1993	44.7	14	0	0	0	0	0	55.5	29	0	4.5	32	179.7	15	12
1994	0	0	0	0	0	0	0	4.5	112	0	47	41.52	205.02	17.1	12
1995	8	30.52	0	0	0	0	14.01	0.01	0	0	17	0.01	69.55	5.8	12
1996	0	5	0	0	0	0	26	17.01	6	0	0	0	54.01	4.5	12
1997	5	0	0	0	0	0	25.01	40.01	212.33	0	2.02	23.01	307.38	25.6	12
1998	0	4	0	0	0	0	8.01	126	26	0	0	0	164.01	13.7	12
1999	0	0	0	0	0	2.01	0	9	9.01	0.01	0	0	20.03	1.7	12
2000	0	0	0.01	0	0	0	4	22.01	32.01				58.03	6.4	9
2001	1	0	0	1	0	0	10.5	1.01	118	0	0	0	131.51	11	12
2002	1	14.51	0	0	0	0	1.01	4.5	5.51	0	14.02	31	71.55	6	12
2003	0	0.02	0	0	0	0	60.5	101.01	137.6	91.5	2.01	0.01	392.65	32.7	12
2004	6	21	9.01	0	0	0	24	1.5	45.5	0	0.03	3.01	110.05	9.2	12
2005	7.01	12.5	0	0	0	0	14	15	0.01	4	0	0	52.52	4.4	12
2006	0	0	0	0	0	0	8	0	232.01	116	0	1	357.01	29.8	12
2007	4	0	0	0	0		0	6.01	21	5	15.01	1	52.02	4.7	11
2008	3.5	0	0	0	0	0	0	174	4	0		0	181.5	16.5	11
2009	2	0	0	0	0	0	0.01		292.01	9	0.02	0.01	303.05	27.6	11
2010	2	21	0	0.01	0	0	0	13.5	37	0	0	0	73.51	6.1	12
2011	0	0	0	0	0	0	8	6	54	0	15	0	83	6.9	12
2012	0	32	0	0	0	0	0	120.01	78.01	47	0		277.02	25.2	11
2013	9	0	0	0	0	0	2	100	4.01	15	2	2	134.01	11.2	12
2014	0	0	0.01	0	0	0	16.04	73	365	20	0	0	474.05	39.5	12
2015	26	39	0	13	0	115	25		180.5	7.02	0	0	405.52	36.9	11
2016	0.01	0	2	0	0	0	0.01	0.01	291	0	0	43	336.03	28	12
2017	1.01	11	0	0		0	12	12	36	220.4	0.01	2	294.42	26.8	11
2018	0	0.1	0	0	0	3.01	0.03	2	36	36	0	1	78.14	6.5	12
2019	16	1.01	3	0	0	0	0.01	7	46	0.01	49.03	22	144.06	12	12
2020	0	0	56	0	0	0			0	0	0	5	61	6.1	10
2021	21.01	0	0	0	0	2	1	0	0	0	6.01	22	52.02	4.3	12
2022	0	0	0	0	0	0	59	0.01	0		0	0	59.01	5.4	11
2023	1.5	5	0	0	0	0	0	290	3	0	0	0	299.5	25	12
2024	0	0.01	0										0.01	0	3
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	3
MÁXIMA	44.7	42	56	13	6	115	61	290	365	220.4	123	53	474.05	39.9	12
MEDIA	7.3	6.8	2.7	0.5	0.2	2.7	11.5	44.4	58.3	15.5	7.9	9.6	158.1	14.2	11.3
DESV.ST	10.9	11.3	10.4	2	0.9	16.9	16.3	61.5	88.7	39.3	20.6	13.9	118.3	10.9	1.8

