COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3110 
 NOMBRE    : ALFREDO V. BONFIL 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.14861111 ° 
 LONGITUD  : -110.5677778 ° 
 ALTITUD   : 70 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977						0	0	40	6	18	3	0	67	9.6	7
1978	0	1	0	0	0	0	0	20	65	10	0	6	102	8.5	12
1979	29	18	0	0	19	0	20	0	20	0	0	0	106	8.8	12
1980	0	0	0	0	0	0	0	5	0	20	0	0	25	2.1	12
1981	10	2	4	0	0	0	0	0	15	44	0	0	75	6.2	12
1982	0	0	0	0	0	0	2	7	38	0	20	25	92	7.7	12
1983	3	0	20	0	0	0	47	173	15	0	0	5	263	21.9	12
1984	12	0	0	0	0	0	20	104	20	10	0	20	186	15.5	12
1985	6	0	0	0	0	0	20	20	0	0	2	0	48	4	12
1986	0	0	0	0	0	0	36	20	7	4	0	10	77	6.4	12
1987	0	0	0	3	0	0	40	8	11	1	3	0	66	5.5	12
1988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1989	36	8	0	0	0	0	5	65	20	0	0	15	149	12.4	12
1990	0	1	1	0	0	0	20	20	47	35	10	56	190	15.8	12
1991	1.5	6	0	0	0	0	0	0	20	0	11	40	78.5	6.5	12
1992	38	6	2	0	0	0	0	7	16			4	73	7.3	10
1993	30	11	0	0	0	0	0	30	4	0	18		93	8.5	11
1994	0	0	0	0	0	0	0	13	9	2	13	60	97	8.1	12
1995	0	0	0	0	0	0	0		28	0	0	2	30	2.7	11
1996	0	0	0	0	0	0	0	42	120	0	0	0	162	13.5	12
1997	0	8	0	0	0	0		165	17	0	4	8	202	18.4	11
1998	0	0	0	0	0	0	14	67	60	0	1	0	142	11.8	12
1999	0	0	0	0	0	10	0		13	0	0	0	23	2.1	11
2000	0	0	0	0	0	0	0	2	10	20	0	3	35	2.9	12
2001	0	0	0	0	1	0	2	0		0	0		3	0.3	10
2002	0	19	0	0	0	0	0		18	0	3	1	41	3.7	11
2003	4	10	0	0	0	0	0	60	90	5	0	0	169	14.1	12
2004	25	0	0	0	0	0	0	2	12	35	0.01	0	74.01	6.2	12
2005	4	24	3	0	0	0	0	1	20	12	0	0	64	5.3	12
2006	1	0	0	0	0	0	50	16	55	14	0	0	136	11.3	12
2007	14	0	0	0	0	0	0	0	140	0	5	14	173	14.4	12
2008	0	0	0	0	0	0	3	10	20	0	0	0	33	2.8	12
2009	0	0	0	0		0	5	50	54	36	0	1	146	13.3	11
2010	1	3	0	0	0	0	0	2	26	0	0	0	32	2.7	12
2011	1	0	0	0	0	0	18	2	5	0	13	0	39	3.2	12
2012	0	0	0	0	0	0	0	11	40	44	0		95	8.6	11
2013	0	0	0	0	0	0	0	2	6	41	0	2	51	4.2	12
2014	0	0	0	0	0	0	52		144	47	0	1	244	22.2	11
2015	6	18	23	0	2	35	26	18	29	30	0	0	187	15.6	12
2016	0	0	4	7	1	4	2	4	60	0	0	1	83	6.9	12
2017	0	10	0	0	0	0	0	18	16	0	0	0	44	3.7	12
2020	2	4	0	0	0	0	0	10	15	3	0	2	36	3	12
2022	0	0	0	0	0	0	0	36	18	0	0	0	54	4.5	12
2023	0.01	0	0	0	0	0	2	18	27	147	0	0	194.01	16.2	12
2024	0	0	0										0	0	3
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MÁXIMA	38	24	23	7	19	35	52	173	144	147	20	60	263	22.2	12
MEDIA	5.1	3.4	1.3	0.2	0.5	1.1	8.9	26.7	31.5	13.4	2.5	6.7	95.1	8.2	11.4
