COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3112 
 NOMBRE    : EL CARDON 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 26.79805556 ° 
 LONGITUD  : -113.1511111 ° 
 ALTITUD   : 4 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977					0	0	0	20	0	2.6	0	0	22.6	2.8	8
1978	2.5	63.8	5	0	0			0	17.5	25	18.5	14.5	146.8	14.7	10
1979			3	0	0	0	0					0	3	0.5	6
1980	2.5	4	0	0	0	0	6.5	4	0	2	0	9	28	2.3	12
1981	17	6.5	6.5	0	0.5	0	2	0	0	1.5	0	0	34	2.8	12
1982	5	0	0	0	0	0	132	11	0	0	3	30	181	15.1	12
1983	8.5	24.5	31					20	4.5	2	0	5	95.5	11.9	8
MÍNIMA	2.5	0	0	0	0	0	0	0	0	0	0	0	3	0.5	6
MÁXIMA	17	63.8	31	0	0.5	0	132	20	17.5	25	18.5	30	181	15.1	12
MEDIA	7.1	19.8	7.6	0	0.1	0	28.1	9.2	3.7	5.5	3.6	8.4	73	7.2	9.7
DESV.ST	6.1	26.3	11.8	0	0.2	0	58.1	9.3	7	9.6	7.4	11	69	6.4	2.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977					0	0	0	36.8	0	5.1	0	0	41.9	5.2	8
1978	4.5	89.8	5	0	0			0	42.5	25	25.5	33	225.3	22.5	10
1979			3	0	0	0	0					0	3	0.5	6
1980	3.5	4	0	0	0	0	8	4	0	2	0	17	38.5	3.2	12
1981	40	6.5	8	0	0.5	0	2	0	0	1.5	0	0	58.5	4.9	12
1982	8	0	0	0	0	0	139.01	11	0	0	4.6	34	196.61	16.4	12
1983	10.5	26.5	46					36.5	6.5	2	0	5	133	16.6	8
MÍNIMA	3.5	0	0	0	0	0	0	0	0	0	0	0	3	0.5	6
MÁXIMA	40	89.8	46	0	0.5	0	139.01	36.8	42.5	25	25.5	34	225.3	22.5	12
MEDIA	13.3	25.4	10.3	0	0.1	0	29.8	14.7	8.2	5.9	5	12.7	99.5	9.9	9.7
DESV.ST	15.2	37.4	17.7	0	0.2	0	61.1	17.5	17	9.5	10.2	15.4	86	8.4	2.4

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977					148.2	198.5	231.1	139.9	187.4	154.6	102	128.8	1290.5	161.3	8
1978	123.7	108.1	169.3	193.3	199.8			216.9	198.7	179.6	134.5	106.6	1630.5	163.1	10
1979			157.8	216.3	224	165.9	224.8					55.7	1044.5	174.1	6
1980	136.8	171.7	166	65.8									540.3	135.1	4
MÍNIMA	123.7	108.1	157.8	65.8	148.2	165.9	224.8	139.9	187.4	154.6	102	55.7	540.3	135.1	4
MÁXIMA	136.8	171.7	169.3	216.3	224	198.5	231.1	216.9	198.7	179.6	134.5	128.8	1630.5	174.1	10
MEDIA	130.2	139.9	164.4	158.5	190.7	182.2	227.9	178.4	193.1	167.1	118.2	97	1126.4	158.4	7
DESV.ST	9.3	45	5.9	81.1	38.7	23.1	4.5	54.4	8	17.7	23	37.5	458.7	16.5	2.6

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977					25.6	28.1	30.2	31.1	30.9	29.8	26.9	25.1		28.5	8
1978	23	22.4	26.3	25.9	24.9			34	33.5	30.5	27.9	24.9		27.3	10
1979			24.5	25.5	25.7	26.5	30.7					22.9		26	6
1980	22.9	25.3	24.3	26.8	24.6	30.6	32.6	31.9	30.7	28	26	24.2		27.3	12
1981	23	23.3	23.7	25.6	23.7	25.5	30.7	32.7	31.7	28.6	26.5	25.7		26.7	12
1982	21.4	24.9	23.8	28.6	24.1	27.1	30.8	30.2	31	29.2	25.1	22.3		26.5	12
1983	22.6	23.1	22.3					32.6	32.1	27.7	27	22.6		26.2	8
MÍNIMA	21.4	22.4	22.3	25.5	23.7	25.5	30.2	30.2	30.7	27.7	25.1	22.3		26	6
MÁXIMA	23	25.3	26.3	28.6	25.7	30.6	32.6	34	33.5	30.5	27.9	25.7		28.5	12
MEDIA	22.6	23.8	24.1	26.5	24.8	27.6	31	32.1	31.6	29	26.6	24		26.9	9.7
DESV.ST	0.7	1.2	1.3	1.3	0.8	1.9	0.9	1.3	1.1	1.1	1	1.4		0.9	2.4

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977					34	34.5	35	35	36	34	33	30		33.9	8
1978	26	29	32	31	31			36	36	33	30.5	27		31.1	10
1979			27	32	37	32	38					27		32.2	6
1980	29	32	29	36	29	41	39	35	37	32	33	31		33.6	12
1981	27	30	30	33	30	31	34	38	38	34	33	33		32.6	12
1982	29	28	31	38	32	31	34	34	39	33	31	30		32.5	12
1983	28	29	27					36	34	30	29	26		29.9	8
MÍNIMA	26	28	27	31	29	31	34	34	34	30	29	26		29.9	6
MÁXIMA	29	32	32	38	37	41	39	38	39	34	33	33		33.9	12
MEDIA	27.8	29.6	29.3	34	32.2	33.9	36	35.7	36.7	32.7	31.6	29.1		32.3	9.7
DESV.ST	1.3	1.5	2.1	2.9	2.9	4.2	2.3	1.4	1.8	1.5	1.7	2.5		1.4	2.4

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977					14	15.7	19	20.2	20.2	17.9	13.8	12.3		16.6	8
1978	11.5	11.2	13.4	12.6	13.7			20.7	21.4	16.4	13.7	11.1		14.6	10
1979			10.9	12.1	13.8	16	18.8					9.4		13.5	6
1980	10.8	11.5	11.9	11.8	12.9	15.8	19.6	20.7	17.7	16.7	11.8	11.6		14.4	12
1981	12.5	10.4	10.9	12.3	13.9	16.8	21.5	21.3	18.9	13.8	12.7	10.5		14.6	12
1982	9.3	10.9	11.9	12.8	13.8	14	18.3	18.8	17.6	14.8	12.8	9.9		13.7	12
1983	9.2	9.2	11.7					20.6	22.4	18.4	15.5	11.2		14.8	8
MÍNIMA	9.2	9.2	10.9	11.8	12.9	14	18.3	18.8	17.6	13.8	11.8	9.4		13.5	6
MÁXIMA	12.5	11.5	13.4	12.8	14	16.8	21.5	21.3	22.4	18.4	15.5	12.3		16.6	12
MEDIA	10.7	10.6	11.8	12.3	13.7	15.7	19.4	20.4	19.7	16.3	13.4	10.9		14.6	9.7
DESV.ST	1.4	0.9	0.9	0.4	0.4	1	1.2	0.9	2	1.8	1.3	1		1	2.4

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977					12	14	15	18	17.5	15	12.5	10		14.2	8
