COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3115 
 NOMBRE    : LOS LAURELES 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 27.6 ° 
 LONGITUD  : -113.55 ° 
 ALTITUD   : 70 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977							0	17.5	0	2	0	0	19.5	3.2	6
1978	1	20	5	0	0	0	2	0	7.6	16	25	23	99.6	8.3	12
1979	8	1	3	0	0	0	10						22	3.1	7
1980	13	3	0	0	0	0	11	0		0			27	3	9
1981	12	2.5	0	0	0	0	0	3	15	0		0	32.5	3	11
1982	22				0	0	30	0	0	0	0	38	90	10	9
1983	9			0	0	0	0	100	23	14	11	23	180	18	10
1984	20		0	0									20	6.7	3
1986						4	7.5	20.5	0	0	5	14.5	51.5	7.4	7
1987		10				0	0		4	9		7	30	5	6
1988	0	0		0							0	18	18	3.6	5
1990	8.5	0	0	0	0	0	9.5	0	8				26	2.9	9
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	18	2.9	3
MÁXIMA	22	20	5	0	0	4	30	100	23	16	25	38	180	18	12
MEDIA	10.4	5.2	1.3	0	0	0.4	7	17.6	7.2	5.1	6.8	15.4	51.3	6.2	7.8
DESV.ST	7.4	7.4	2.2	0	0	1.3	9.3	34.3	8.3	6.8	9.9	13	49	4.5	2.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977							0	35	0	3.5	0	0	38.5	6.4	6
1978	1.5	69.5	6.5	0	0	0	2	0	7.6	16	25	47.8	175.9	14.7	12
1979	18	1.5	3	0	0	0	10						32.5	4.6	7
1980	13	3	0	0	0	0	17	0		0			33	3.7	9
1981	25	2.5	0	0	0	0	0	3	15	0		0	45.5	4.1	11
1982	23				0	0	34	0	0	0	0	59	116	12.9	9
1983	9			0	0	0	0	113.6	62	14	15.6	26	240.2	24	10
1984	26.2		0	0									26.2	8.7	3
1986						4	9.5	20.5	0	0	12	24.5	70.5	10.1	7
1987		20				0	0		4	9		10.5	43.5	7.2	6
1988	0	0		0							0	24	24	4.8	5
1990	10.5	0	0	0	0	0	9.5	0	13.01				33.01	3.7	9
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	24	3.7	3
MÁXIMA	26.2	69.5	6.5	0	0	4	34	113.6	62	16	25	59	240.2	24	12
