COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3116 
 NOMBRE    : LOS CERRITOS 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : COMONDÚ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 25.18888889 ° 
 LONGITUD  : -111.4111111 ° 
 ALTITUD   : 130 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977						0	0	0	0	0	0	0	0	0	7
1978	0	0	0	0	0	0	10	0	80.7	8.5	0	20.1	119.3	9.9	12
1979	43	4	0	0	0	0	60.1	0	200.2	0	0	0	307.3	25.6	12
1980	0	7	5	0	0	0	0.3	10	60.3	0			82.6	8.3	10
1981	40.1	4	9	13	10	0	0	20	0	4.6	0	0	100.7	8.4	12
1982	3	8	0	0	0	16.3	16.3	1.6	10.4	0	3.6	13.5	72.7	6.1	12
1983	15.4	0	28.6	0	0		67.5	64.1	16.3		0	37	228.9	22.9	10
1984	46.6	0	0	0	0	12.5	50.8	30	8	40.5	0.6	30	219	18.2	12
1985	9.1	1	8	0	0	0	23.5	27.2	56.7	0	3.9	0	129.4	10.8	12
1986	9	20.3	3	0	0	0	22.4		7.3	0		13.8	75.8	7.6	10
1987	0	2.8	0	1.5	0	0	8	22	13.6	0.7	3.3	1.5	53.4	4.4	12
1988	0	0	0	0	0	0	5	10	7	0	0	4	26	2.2	12
1989	4	29	1	0	0	0	23	70	47	0	6	38	218	18.2	12
1990	0	1	0	0	0	0	0	41	55	0	42	60	199	16.6	12
1991	17	10	13	0	0	0	0	18	0	0	23	64	145	12.1	12
1992	42	52	3	19	0	0	0	23	25	0	0	20	184	15.3	12
1993	0	18	1	0	0	0	0	41	41	1	12	1	115	9.6	12
1994	0	0	0	0	0	0	0	36	24	47	13	63	183	15.2	12
1995	0	25	0	0	0	0	0	17	60	0	20	1	123	10.2	12
1996	0	1	0	0	0	0	0	32	13	0	0	0	46	3.8	12
1997	18	0	0	0	12	0	3	97	40	0	13	6	189	15.8	12
1998	0	6	0	0	0	0	65	42	17	0	0	0	130	10.8	12
1999	0	0	0	0	0	58	2	5	17	0	0	0	82	6.8	12
2000	0	0	3	0	0			20	63	38	1	4	129	12.9	10
2001	0	0	0	0	0	0	84	20	35	0	0	0	139	11.6	12
2002	1	11	0	0	0	0	0	0	94	0	15	13	134	11.2	12
2003	1	40	0	1	0	0	1	100	36	1	0	0	180	15	12
2004	20	10	2	0	0	0	0	40	26	18	1	3	120	10	12
2005	57	15	14	0	0	0	8	51.2	77	0	0	0	222.2	18.5	12
2006	0	0	0	0	0	0	13	66	41	49	0	0	169	14.1	12
2007	3	2	0	0	0	0	0	7	15	17.5	6	18	68.5	5.7	12
2008	2	0	0	0	0	0	0	45	28	115	13	0	203	16.9	12
2009	0	0	0	0	0	3	1	40	71	68	0	3	186	15.5	12
2010	12	7	0	0	0	0	0	8	44	0	0	0	71	5.9	12
2011	0	0	0	0	0	0	4	7	2	0	42	0	55	4.6	12
2012	0	15	0	0	0	0	0	30	32	71	0		148	13.5	11
2013	0	0	0	0	0	0	1	22	13	50	0	3	89	7.4	12
2014	0	0	0	0	0	0	86	48	120	75	0	0	329	27.4	12
2015	5	14	10	5	2	6	16	18	49	15	0	0	140	11.7	12
2016	0	0	2	5	0	0	4	49	49	18	9	3	139	11.6	12
2017	0	0	0	0	0	0	55	13	42	0	0	0	110	9.2	12
2018	0	0	0	0	0	17	0	13	0	0	0	0	30	2.5	12
2019	0	0	0	0	0	0	0	90	14	60	36	4	204	17	12
2020	1	0	6	0	0	0	0	21	27	0	0		55	5	11
2021	13	0	0	0	0	0	20	12	13	0	8	12	78	6.5	12
2022	0	0	0	0	0	0	0	16	45	0	0	0	61	5.1	12
2023	14.5	0	0	0	0	0	10	21	8.5	9	2.5	0	65.5	5.5	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MÁXIMA	57	52	28.6	19	12	58	86	100	200.2	115	42	64	329	27.4	12
MEDIA	8.2	6.6	2.4	1	0.5	2.5	14.3	29.7	37.1	15.4	6.1	9.9	130.9	11.1	11.7
DESV.ST	14.6	11.3	5.3	3.5	2.3	9.3	24.1	25.2	36.3	27	10.9	17.4	71.1	6	0.9

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977						0	0	0	0	0	0	0	0	0	7
1978	0	0	0	0	0	0	18	0	119.5	8.9	0	49.6	196	16.3	12
1979	96	4	0	0	0	0	60.1	0	271.1	0	0	0	431.2	35.9	12
1980	0	10.1	5	0	0	0	0.3	10	83.5	0			108.9	10.9	10
1981	42.3	7	24	13	10	0	0	26	0	7	0	0	129.3	10.8	12
1982	5.8	8	0	0	0	19.3	16.3	1.6	11.5	0	3.6	13.5	79.6	6.6	12
1983	26.8	0	45.2	0	0		197.8	142.7	18.6		0	37	468.1	46.8	10
1984	65.91	0	0	0	0	12.5	116.5	121.2	29.2	48.5	0.6	58.8	453.21	37.8	12
