COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3117 
 NOMBRE    : BAHIA ASUNCION 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.1425 ° 
 LONGITUD  : -114.3 ° 
 ALTITUD   : 10 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980			0	0	0	0	11.9	0	0	0	0	21.1	33	3.3	10
1981	3.4	1.5	11	0	0	1	0	0	0	3	5	0	24.9	2.1	12
1982	3	1	1	0	1.5	0	18	0	0	0	16	8	48.5	4	12
1983	5	25	55	0	0	0	0	27	0	30	15	15	172	14.3	12
1984	18	0	0	0	0	0	6	0	2	0	3	43	72	6	12
1985	0	0	0	0	0	0	0	0	0	0	31	0	31	2.6	12
1986	0	5	0	2	0	0	0	0	0	0	18	2	27	2.2	12
1987	0	4	0	0	0	0	0	0	2	3	5	6.5	20.5	1.7	12
1988	2.5	2.5	0	0	0	0	1	0	1	1.5	1.5	1.5	11.5	1	12
1989			0								0.5	14	14.5	4.8	3
1990	1	2	0	1.5	0	0	0	0	41.5				46	5.1	9
1991	16	26	4	0	0	0	0	0	1	0	1	5	53	4.4	12
1992	2	3	26	0	0	0	0	40	0	0	0	4	75	6.2	12
1993	0.01	5	0	0	0	0	0	0	0	0.4	8	15.1	28.51	2.4	12
1994	0	4.2	34	0	0	0	0	3.6	0	0	1.1	14.6	57.5	4.8	12
1997	0.01	0.8	0	0	0	0.01	0		62	0	14.5	12.7	90.02	8.2	11
1998	1.9	17.4	5	0	0	0	0	17	0	0	10	0	51.3	4.3	12
1999	0	0	4	2	0	18	0	0	34	0	0	0	58	4.8	12
2000	0.01	1	9.4	0.01	0.01	0.01	0.8	0.01	0.01	38	0	0.01	49.27	4.1	12
