COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3119 
 NOMBRE    : BENITO JUAREZ 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.88472222 ° 
 LONGITUD  : -113.7777778 ° 
 ALTITUD   : 55 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979									0	0	0	0	0	0	4
1980	11	64	0	0	0	0	20	0	0	0	0	6	101	8.4	12
1981	26	2	3	0	0	0		0	3.5	18	0	0	52.5	4.8	11
1982	3	2	0	0	2	0	1	0	0	0	0	46	54	4.5	12
1983		0	39	3.5	0	0	0	77	47.5	45	14	28	254	23.1	11
1984	14.7	0	0.01	0.01	0	0	31.5	10	60.5	4	12	35	167.72	14	12
1985	2.5	2	0	0	0		18	5	0	2	10.5	0.01	40.01	3.6	11
1986	0.01	6.5	2	0	0	0	0.01	8.8	0.01	1	4	4	26.33	2.2	12
1987	3	7.1	0.01	0.01	0	0.01	0.01	0	0.01	3.8	0.01	14.4	28.36	2.4	12
1988	0.01	0.01	3	2.3	0.01	0	0	0	0				5.33	0.6	9
1989	7.2	0.01	0	0.01	3	0	0	0.01	4.5	35.1		45.1	94.93	8.6	11
1990	2	0.01	0	0.01	0	0	3	0	0.01	2	7.5	13.6	28.13	2.3	12
1991	12.5	23	7	0	0	0	0	8	0.01	0.01	0.01	48	98.53	8.2	12
1992	20.8	15.5	26	0	0	0	0.01	17.2	15.2	0	3	4.5	102.21	8.5	12
1993	16.5	13.5	4.5	0	0	0	0	0	0	7.3	15	6.4	63.2	5.3	12
1994	0.01	4.1	6.7	0.01	0	0	0	13.3	0.01	0.01	18.3	88.2	130.64	10.9	12
1995	42.5	4.5	0.01	0	0	0.01	0	0	0	0	8.4	0.01	55.43	4.6	12
1996	0	3.7	0	0	0	0	0	25.5	0	0	0	0	29.2	2.4	12
1997	0.01	0.01	0.01	3.8	0	0	0	3.8	35.5	0	2.8	8.8	54.73	4.6	12
1998	0.01	18.5	2	0	0	0	0	4.2	0	0	0	0.01	24.72	2.1	12
1999	0.01	0.01	0.2	0.01	0	0	0.01	0	30	0.01	2.9	0	33.15	2.8	12
2000	0	0	17.5	0.01	0	0	0	0.01	0	9	5.5	0.01	32.03	2.7	12
2001	5	4.2	0.01	13.5	0	0	0	0	0.01	0	0	0	22.72	1.9	12
2002	0.01	3.5	0	0	0	0	0.01	0	0	0	8.8	11.5	23.82	2	12
2003	0.01	12.8	6.5	0.01	0	0	0.01	3.5	11.3	5	0.01	0.01	39.15	3.3	12
2004	0.01	9.7	10	0.01	0	0	0	0	53	0	0.01	10.8	83.53	7	12
2005	8.8	44.5	0	0.01	0	0	0	0	0	0.01	0.01	0.01	53.34	4.4	12
2006	0	7.6	0	0	0	0	0	0	0	44	0	12.5	64.1	5.3	12
2007	10.1	0	0.01	0.01	0	0.01	0	0.01	0	0	80.5	3.8	94.44	7.9	12
2008	8	0.01	0.01	0	0	0	0	0.01	0	0	16.8	4	28.83	2.4	12
2009	0.01	2	0	0	0.01	0.01	0	2	2	2	0.01	0.01	8.05	0.7	12
2010	3.8	10	6	0.01	0	0.2	0	0.01	11.5	0.01	0	2.8	34.33	2.9	12
2011	0	3	0	2	0.01	0	0	0	0	0.01	8.5	6.8	20.32	1.7	12
2012	0.01	13	2.5	0.01	0	0	0	29.5	17	0.01	0.01		62.04	5.6	11
2013	0.01	4.5	1	0	0.01	0.01	0	8.5	0	0.01	7.5	6	27.54	2.3	12
2014	0.01	0.01	15	0.01	0	0	0.01	2.3	58	13	0.01	0.01	88.36	7.4	12
2015	3	20	0.01	8	0	21.5	0.01	0	15.3	7.2	2	3	80.02	6.7	12
2016	0	0	4	0	0	0	0	0	2	0	0	20	26	2.2	12
2017	20	31	0	0	0	0	0	0	0	0	0	0	51	4.2	12
2018	0	8	0	0	0	0	10	0	3	22	0	4	47	3.9	12
2019	0	3.7	0	0	0	0	0	0	0	12	10.5	11	37.2	3.1	12
2020	12	2	39	0	0	0	0	0	0	0	0	0	53	4.4	12
2021	0.5	0	0	0	0	0	0	0	0	0	0	22	22.5	1.9	12
2022	12	2	39	0	0	0	0	0	0	0	0	0	53	4.4	12
2023	10	2	0	0	0	0	0	33	0	0	0.01	0	45.01	3.8	12
2024	15	35	0	0									50	12.5	4
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MÁXIMA	42.5	64	39	13.5	3	21.5	31.5	77	60.5	45	80.5	88.2	254	23.1	12
MEDIA	6.1	8.6	5.2	0.7	0.1	0.5	1.9	5.7	8.2	5.3	5.5	10.8	56.3	5	11.5
DESV.ST	8.9	13.1	10.5	2.4	0.5	3.3	6.3	13.6	16.7	11.1	12.9	17.8	44.9	4.1	1.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979									0	0	0	0	0	0	4
1980	13	64	0	0	0	0	31	0	0	0	0	6	114	9.5	12
1981	36	2	9.5	0	0	0		0	3.5	18	0	0	69	6.3	11
1982	8	2	0	0	2	0	1	0	0	0	0	98	111	9.2	12
1983		0	63.2	3.5	0	0	0	77	47.5	45	16	28	280.2	25.5	11
1984	15.7	0	0.03	0.02	0	0	35.5	10	60.51	4.01	12.01	58.54	196.32	16.4	12
1985	2.53	4.02	0	0	0		18	7	0	2.01	18.51	0.05	52.12	4.7	11
1986	0.03	10.5	2.02	0	0	0	0.01	8.8	0.01	1.03	7.04	8.84	38.28	3.2	12
1987	3.05	15.42	0.05	0.04	0	0.01	0.01	0	0.01	3.82	0.07	25.07	47.55	4	12
1988	0.09	0.05	6.03	2.33	0.03	0	0	0	0				8.53	0.9	9
1989	7.26	0.04	0	0.01	3	0	0	0.02	4.52	43		62.46	120.31	10.9	11
1990	2.05	0.01	0	0.01	0	0	3.01	0	0.01	2	7.5	27.65	42.24	3.5	12
1991	12.53	40.5	7	0	0	0	0	8.01	0.04	0.02	0.07	73.09	141.26	11.8	12
1992	33.34	24.53	53.53	0	0	0	0.02	17.2	15.2	0	3	10.53	157.35	13.1	12
1993	45.8	30.8	4.5	0	0	0	0	0	0	7.3	17.5	9	114.9	9.6	12
1994	0.07	8.08	6.72	0.01	0	0	0	17.4	0.02	0.01	18.3	210.24	260.85	21.7	12
1995	42.56	8.23	0.03	0	0	0.01	0	0	0	0	8.51	0.04	59.38	4.9	12
1996	0	6.9	0	0	0	0	0	25.5	0	0	0	0	32.4	2.7	12
1997	0.14	0.07	0.03	3.82	0	0	0	3.8	64	0	5.33	26.83	104.02	8.7	12
1998	0.04	22.82	2.02	0	0	0	0	4.2	0	0	0	0.01	29.09	2.4	12
1999	0.02	0.01	0.24	0.05	0	0	0.01	0	30.01	0.03	2.91	0	33.28	2.8	12
2000	0	0	31.5	0.01	0	0	0	0.01	0	20.52	5.5	0.01	57.55	4.8	12
2001	5.03	4.21	0.02	13.5	0	0	0	0	0.01	0	0	0	22.77	1.9	12
2002	0.05	3.55	0	0	0	0	0.01	0	0	0	14.8	17.04	35.45	3	12
2003	0.08	25.33	6.52	0.01	0	0	0.04	3.5	17.7	5.06	0.03	0.01	58.28	4.9	12
2004	0.02	12.22	17.81	0.01	0	0	0	0	53.03	0	0.03	28.94	112.06	9.3	12
2005	15.32	74.87	0	0.03	0	0	0	0	0	0.02	0.05	0.06	90.35	7.5	12
2006	0	7.6	0	0	0	0	0	0	0	47.5	0	12.56	67.66	5.6	12
2007	10.15	0	0.02	0.05	0	0.01	0	0.01	0	0	100.05	3.86	114.15	9.5	12
2008	8.09	0.02	0.03	0	0	0	0	0.01	0	0	20.87	4	33.02	2.8	12
2009	0.02	2.02	0	0	0.01	0.02	0	2	2.02	2.03	0.07	0.03	8.22	0.7	12
2010	7.83	16.59	6.05	0.01	0	0.2	0	0.01	11.5	0.03	0	2.88	45.1	3.8	12
2011	0	3.03	0	2.05	0.01	0	0	0	0	0.05	8.53	10.62	24.29	2	12
2012	0.04	15.51	2.52	0.01	0	0	0	53.51	20.03	0.02	0.04		91.68	8.3	11
