COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3120 
 NOMBRE    : COLONIA PLUTARCO ELIAS CALLES 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : LA PAZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.22083333 ° 
 LONGITUD  : -110.1444444 ° 
 ALTITUD   : 10 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979								12	19.5	0	0	6	37.5	7.5	5
1980	0	0			0	0	0	0	5	0	0	0	5	0.5	10
1981	45	1	5	0	0	0	1	120	44	0	0	0	216	18	12
1982	0	0	0	0	0	0	12	3	30	0	1.5	36	82.5	6.9	12
1983	2	4	17	0	0	0	25	34.5	12.5		5.5	18	118.5	10.8	11
1984	15.5	0	0	0	0	0	11.5	6.5	17.5	7.5	0	33	91.5	7.6	12
1985	44	0	0	0	0	0	28	9					81	10.1	8
1986					0	0	5	42.5	0	7	0	9.5	64	8	8
1987	0	0	0	0	0	0		7	62.2	17.5	0	9	95.7	8.7	11
1988	0	0	0	0	0	0	0	27.5	1	0	0	0	28.5	2.4	12
1989	47.9	11.5	0	0	0	0	30.3		10.2	2.1	10.4		112.4	11.2	10
1990		0	0			0	30.3	8	20.5	34	12.5	75	180.3	20	9
1991	0	0	1	0	0	0	0	10.4	1	0	40.2	50.6	103.2	8.6	12
1992	12	2.5	9	0	0	0	0						23.5	3.4	7
1994					0	0.3	1	18.3					19.6	4.9	4
1996	0	0	0	0	0	0	0.01	137	125	0.01	3	0	265.02	22.1	12
1997	25.5	0	0.01	5	2.5	0.01	38.2	30	47.5	1	8.2	0.01	157.93	13.2	12
1998	0	9	0	0.01	0	0	4.8	49	150.5	0.01	0	0	213.32	17.8	12
1999	0	0	0	0	0	4	11	44	14.5	0	0	0	73.5	6.1	12
2000	0	0	0.01	0	0	2.5	17	9.5	12	4	7	0.01	52.02	4.3	12
2001	0.01	0.01	8	0	1.5	0	2.5	4	246	2.5	0	0.01	264.53	22	12
2002	0.01	7.5	0	0	0.01	0	10	0	5.5	0	7	0.01	30.03	2.5	12
2003	2	6	0	0	0	0	0.01	41.5	85	4	0	0	138.51	11.5	12
2004	38	1	1	0	0	0	1.5	9	39	8	0	0	97.5	8.1	12
2005	4	27	0	0	0	0	3	5	0	0	0	0	39	3.2	12
2006	0	0	0	0	0	0	59	16.5	46	2	0		123.5	11.2	11
2007	0.01	0.01	0	0	0	0	0.01	5	35	0	0.01	13.5	53.54	4.5	12
2008	0	0	0	0	0	0	4	51	28	9	0	0	92	7.7	12
2009	0	0	0.01	0	0	0	3		13	25	0	35	76.01	6.9	11
2010	0.01	3	3.5	0	0	0.01	6	5	0	0	25	0	42.52	3.5	12
2011	0.01	0	0	0	0	0.01	8	2.5	0	2	0.01	0	12.53	1	12
2012	0.01			0	0	0.01	0.01	42	18	45	0	29	134.03	13.4	10
2013	0	0	0	0	0	0.01	5	45	20	20	0.01	0	90.02	7.5	12
2014	0.01	0	0	0.01	0.01	0.01	23.5	10.5	118	0	0.01	1.5	153.55	12.8	12
2015	5.5	0	2.5	0	6	10	0.01	17.6	24.5	82.3	1.2	0	149.61	12.5	12
2016	0	0.01	0.01	0.01	2.7	1	0.01	27.8	133	0	0	0	164.54	13.7	12
2017	0	9.5	2	0	0	0	0	79.5	34	0.01	0	5.3	130.31	10.9	12
2018	3	17.5	1.7	1.5	0	2.7	23.8	9.5	48.5	64.7	58	0	230.9	19.2	12
2019	21.5	0	4.5	0	0				1.5	67	285.5	2.5	382.5	42.5	9
2020	0	32.5	3	16.1	0	0.01	0.01	44	53	3.5	0	0.01	152.13	12.7	12
2021	7	0	0	0	0	0.01	0	59	0	10.6	5	18.3	99.91	8.3	12
2022	0	0.01	0	0	0	13	0.01	5	10	0	0	0	28.02	2.3	12
2023	0	0	0	0	0	0	0	17.5	9	65.5	0.01	0	92.01	7.7	12
2024	0	0	0	0	0								0	0	5
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MÁXIMA	47.9	32.5	17	16.1	6	13	59	137	246	82.3	285.5	75	382.5	42.5	12
MEDIA	6.8	3.3	1.5	0.6	0.3	0.8	9.1	27.3	38.5	12.4	11.8	9	109	9.9	10.8
DESV.ST	13.8	7.3	3.4	2.7	1.1	2.6	13.4	30.7	51.3	22.2	45.9	17	79.8	7.6	2.1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979								15	56	0	0	6.5	77.5	15.5	5
1980	0	0			0	0	0	0	5	0	0	0	5	0.5	10
1981	68	1	8	0	0	0	1	149	65	0	0	0	292	24.3	12
1982	0	0	0	0	0	0	18	3	57	0	1.5	36	115.5	9.6	12
1983	3.5	4	31	0	0	0	48	113	24		5.5	18	247	22.5	11
1984	23.6	0	0	0	0	0	39.6	18	53.2	7.5	0	54.2	196.1	16.3	12
1985	49.5	0	0	0	0	0	34.5	16					100	12.5	8
1986					0	0	8.2	61.5	0	7	0	9.5	86.2	10.8	8
1987	0	0	0	0	0	0		7	96.7	48.5	0	15.2	167.4	15.2	11
1988	0	0	0	0	0	0	0	48.5	1	0	0	0	49.5	4.1	12
1989	50.4	17	0	0	0	0	34.1		21.5	2.1	12.4		137.5	13.8	10
1990		0	0			0	30.3	19	59.8	34	14.5	119.51	277.11	30.8	9
1991	0	0	1	0	0	0	0	10.4	1	0	53.7	51.6	117.7	9.8	12
1992	35.6	5.5	9	0	0	0	0						50.1	7.2	7
1994					0	0.3	1	92					93.3	23.3	4
1996	0	0	0	0	0	0	0.02	164.56	198.04	0.02	3	0	365.64	30.5	12
1997	42.51	0	0.03	7.01	2.5	0.02	38.23	49.54	124.23	1.01	17.71	0.03	282.82	23.6	12
1998	0	13.02	0	0.01	0	0	12.35	105.04	156	0.01	0	0	286.43	23.9	12
1999	0	0	0	0	0	4.02	20.52	86.04	24.53	0	0	0	135.11	11.3	12
2000	0	0	0.01	0	0	4.02	20	14	29.51	11	17.02	0.01	95.57	8	12
2001	0.01	0.02	8	0	1.51	0	2.52	7.52	438	2.5	0	0.01	460.09	38.3	12
2002	0.01	7.5	0	0	0.01	0	14.51	0	11.03	0	7.01	0.03	40.1	3.3	12
2003	3.8	7.5	0	0	0	0	0.01	73.51	122.5	4	0	0	211.32	17.6	12
2004	88.51	1.02	1	0	0	0	1.51	15.01	77.51	25	0	0	209.56	17.5	12
2005	4.01	32.51	0	0	0	0	3	5	0	0	0	0	44.52	3.7	12
2006	0	0	0	0	0	0	65.02	23.51	155.5	2.02	0		246.05	22.4	11
2007	0.01	0.02	0	0	0	0	0.01	7.01	70	0	0.03	13.51	90.59	7.5	12
2008	0	0	0	0	0	0	4	82.04	82.01	12	0	0	180.05	15	12
2009	0	0	0.01	0	0	0	5.51		17	66.01	0	35.01	123.54	11.2	11
2010	0.01	6.01	3.51	0	0	0.01	6	5.01	0	0	40.01	0	60.56	5	12
2011	0.01	0	0	0	0	0.01	11.01	2.54	0	2.01	0.01	0	15.59	1.3	12
2012	0.01			0	0	0.01	0.03	104.01	43.53	90	0	35.51	273.1	27.3	10
2013	0	0	0	0	0	0.01	9.01	71.52	26.55	38	0.01	0	145.1	12.1	12
2014	0.02	0	0	0.01	0.02	0.02	27.52	28.81	160.2	0	0.01	1.5	218.11	18.2	12
2015	10.52	0	4.02	0	6.02	10	0.02	42.51	100.11	98.81	1.2	0	273.21	22.8	12
2016	0	0.01	0.01	0.01	2.71	1	0.01	48.12	142	0	0	0	193.87	16.2	12
2017	0	9.5	2.01	0	0	0	0	118.52	50.6	0.01	0	7.62	188.26	15.7	12
2018	3	17.5	1.7	1.5	0	2.7	61.2	12.3	120.4	99.7	125.4	0	445.4	37.1	12
2019	22.5	0	4.5	0	0				1.5	85.5	297.81	2.5	414.31	46	9
2020	0	42.5	3.01	17.6	0	0.01	0.02	53.91	87	5.5	0	0.01	209.56	17.5	12
2021	11.5	0	0	0	0	0.02	0	71.01	0	12.1	9.52	18.3	122.45	10.2	12
2022	0	0.01	0	0	0	13	0.02	6.5	25.81	0	0	0	45.34	3.8	12
2023	0	0	0	0	0	0	0	34.5	9.01	103.02	0.02	0	146.55	12.2	12
2024	0	0	0	0	0								0	0	5
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MÁXIMA	88.51	42.5	31	17.6	6.02	13	65.02	164.56	438	103.02	297.81	119.51	460.09	46	12
MEDIA	10.4	4.1	2	0.7	0.3	0.9	12.9	45.8	67.8	19.4	15.2	11.2	171.2	15.8	10.8
DESV.ST	21.2	9.1	5.3	3	1.1	2.6	17.9	44.4	81.1	33.1	50.9	23.4	115.5	10.4	2.1

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979								188.4	137.8	173.4	134.9	104.8	739.3	147.9	5
1980	117.1	120.8			124.4	90.1	182.2	182.7	173.5	72.2	142.5	113.4	1318.9	131.9	10
1981	104.3	108.3	139.5	184.5	153.9	129.3	174.7	170.2	145.9	118.1	141.5	142.9	1713.1	142.8	12
1982	118.7	84.2	125.9	77.2	102.9			197	174	169.8	121	141.9	1312.6	131.3	10
1983	110.3	95.4	131.6	148	219.3	226.8	225.2	194.8	162.4		145.1	119.8	1778.7	161.7	11
