COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3121 
 NOMBRE    : EL DATIL 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 26.885 ° 
 LONGITUD  : -112.6161111 ° 
 ALTITUD   : 440 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980			0	0	0	0	19	31	31	0	0	40	121	12.1	10
1981	19	7	23	5	5	0	15	28	25	9.5	3	0	139.5	11.6	12
1982	9	0	0	0	0	0	12.4	14.5	2	0	14.5	28	80.4	6.7	12
1983	13.3	27	40	1.5	0	0	43.3	42.5	27.3	0	17	5	216.9	18.1	12
1984	34.4	0	0	6	0	3	59	162	27.9		4.8	34.5	331.6	30.1	11
1985	21	5.7	0	7.5	0	0	9.5	30.5	0	1.6	31.5	0	107.3	8.9	12
1986	7.6	8	0	0	1.1	0	32						48.7	7	7
1987			0	0	0	0	0	0	6.4	5.3	3	20	34.7	3.5	10
1988	5	2	4	2	0	0	8	29	50	1	0	37.3	138.3	11.5	12
1989	18		8	0	6	0	38.6	16.1	12.1	20.5	0	25	144.3	13.1	11
1990	8.8	5.3	2	0		0.01	7.4	58.6	57.7	27.5	12.5	67.5	247.31	22.5	11
1991	7.5	27.5	4.5	0	7.5	0	0	34.5	16.5	4.5	33.5	18	154	12.8	12
1992	57.5	21.5	41.5	11	0	0			16	5.5	1	80	234	23.4	10
1993	75.5	34	2	0	5	0	0	17	20	5	7	11.5	177	14.8	12
1994	0	4	4	0	0	2	0	20	3.5	3	20	20	76.5	6.4	12
1995				0	0	0				0	0	0	0	0	6
1996		9	0	0	0	0	0	0	0	0	0	0	9	0.8	11
1997	5.7	0	0	4.5	0	0	0	20		0	11.8	23.3	65.3	5.9	11
1998	0	33.3	7.5	0	0	0	32.7	41	5.5	0	0	0.5	120.5	10	12
1999	0	1	0	0	0	8.9	3.8	12.9	29.5	1.9	0	0	58	4.8	12
2000	0	0	32.2	0	0	0	30.5	9	33.3	3.8	1.3	0	110.1	9.2	12
2001	2.7	5	0	2.5	0	0	15.5	17.6	18	6	0	0	67.3	5.6	12
2002	1	8	0	0	0	0	0	0	4.5	0	4.5	28.5	46.5	3.9	12
2003	1	15.7	6.8	0	0	0	2.1	39.1	72	20	2.2	0	158.9	13.2	12
2004	6.8	34	17	0	0	0	34	9.5	80	4.5	18.5	14.5	218.8	18.2	12
2005	31.4	18	3	0	5.8	0	3.5	11	0	24.2	0	1.2	98.1	8.2	12
2006	0	0	0	5	0	0	13.5	43	53.1	103	0	0	217.6	18.1	12
2007	9	0	0	0	0	0	6.2	22	10.5	0	10	28	85.7	7.1	12
2008	2.6	1	0	0	0	0	8	70	23	0	15	6.5	126.1	10.5	12
2009	1	4	0	0	0	0	11.4	7.4	80	12.6	0	2	118.4	9.9	12
2010	31	6.5	0.01	0.01	0	0	0	33.8	0.01	0	0	0.7	72.03	6	12
2011	1.5	1	0	0	0	0	5.5	4.5	0.01	0	33.8	8	54.31	4.5	12
