COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 3122 
 NOMBRE    : GUILLERMO PRIETO 
 ESTADO    : BAJA CALIFORNIA SUR 
 MUNICIPIO : MULEGÉ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.83888889 ° 
 LONGITUD  : -113.3208333 ° 
 ALTITUD   : 200 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979									3	0.5	0.3	3	6.8	1.7	4
1980	15	0	0	0	0	0	0	0	0				15	1.7	9
1981	19	0	9	0	4	0	0	0	8	0	0	0	40	3.3	12
1982	17	0	0	0	2	0	29.5	0	0	0	0.8	8	57.3	4.8	12
1983	20	13	51	5.5	0	0	0	25.5	15	20	44	36	230	19.2	12
1984	23	0	0	0	0	0	65	15	40	8	4	35	190	15.8	12
1985	8	3	0	2.5	0	0	17	13	0	1.8	9.2	0	54.5	4.5	12
1986	2	2	2	0	0	0	20	12	0	0	3	9.5	50.5	4.2	12
1987	2	9	0	0	0	0	0	0	0	0	0	20	31	2.6	12
1988	3	0	0	1	0	0	14	0	0	0	0		18	1.6	11
1989	6	0	0	0									6	1.5	4
1990										0	0	16	16	5.3	3
1991	0	34	3.5	0	0	0	0	19	11.5	0	5.5	22	95.5	8	12
1992	28	11	31	7	0	0	7	64.5	4	0		5	157.5	14.3	11
1993	19.5	14	0	0	0	0	0	0	5.5	13.5	0	14.5	67	5.6	12
1994	0	0	5	0	0	0	0	3.5	13	5	20.5	119.5	166.5	13.9	12
1995	23.5	10.5	6	0	1	0	9.5	15.5	16	0	3.5		85.5	7.8	11
1996	0	7	0	0	0	0	0	12.5	19	0	0	0	38.5	3.2	12
1997	4	13	0	2	0	0	0	33	22.1	0	4.5	26	104.6	8.7	12
1998	1.5	25	0	0	0	0	17.5	14	0	0	0	0	58	4.8	12
1999	0	0	22	0.5	0	1.5	0	0	0	0	0	0	24	2	12
2000	0	0	27	0	0	0	0	12	17	15	0	0	71	5.9	12
2001	7.5	2.5	3	11	0	0	2.5	0	1.5	7.5	0	0.5	36	3	12
2002	1.5	15	0	0	0	0	0.5	0	6	0	11	14	48	4	12
2003	0	0	0	0	0	0	0	35	0			30	65	6.5	10
2004	0	10.5	9	0	0	0	18.6	0	84	0	0	14.6	136.7	11.4	12
